UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
31-Dec;CASA; 1.081 ; 976 ; 1.411 ; 1.378 ; 849 ; 1.325 ; 1.448 ; 1.263 ; 1.597 ; 1.953 ; 931 ; 1.432 ; 1.822 ; 1.138 ; 1.124 ; 1.025 ; 1.176 ; 1.917 ; 1.359 ; 1.051 ; 1.175 ; 890 ; 1.804 ; 3.364 ; 949 ; 1.220 ; 901 ; 727 ; 755 ; 5.145 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;CASA; 1.169 ; 1.087 ; 1.566 ; 1.396 ; 994 ; 1.386 ; 1.595 ; 1.329 ; 1.652 ; 1.989 ; 999 ; 1.540 ; 1.993 ; 1.243 ; 1.258 ; 1.096 ; 1.285 ; 2.063 ; 1.478 ; 1.108 ; 1.215 ; 805 ; 1.338 ; 3.174 ; 878 ; 1.114 ; 892 ; 824 ; 879 ; 4.740 
02-Jan;CASA; 1.166 ; 1.070 ; 1.554 ; 1.387 ; 988 ; 1.380 ; 1.586 ; 1.325 ; 1.646 ; 1.988 ; 992 ; 1.533 ; 1.990 ; 1.244 ; 1.251 ; 1.092 ; 1.286 ; 2.232 ; 1.470 ; 1.103 ; 1.207 ; 1.049 ; 1.332 ; 3.371 ; 863 ; 1.238 ; 870 ; 1.189 ; 1.102 ; 4.743 
03-Jan;CASA; 1.163 ; 1.062 ; 1.548 ; 1.381 ; 985 ; 1.376 ; 1.580 ; 1.323 ; 1.643 ; 1.984 ; 989 ; 1.529 ; 1.986 ; 1.241 ; 1.246 ; 1.088 ; 1.283 ; 2.284 ; 1.465 ; 1.101 ; 1.203 ; 1.043 ; 1.328 ; 3.338 ; 856 ; 1.233 ; 864 ; 1.183 ; 1.094 ; 4.743 
04-Jan;CASA; 1.160 ; 1.057 ; 1.544 ; 1.377 ; 981 ; 1.373 ; 1.575 ; 1.321 ; 1.641 ; 1.980 ; 985 ; 1.525 ; 1.982 ; 1.238 ; 1.242 ; 1.086 ; 1.280 ; 2.307 ; 1.461 ; 1.100 ; 1.200 ; 1.040 ; 1.326 ; 3.322 ; 852 ; 1.228 ; 862 ; 1.180 ; 1.090 ; 4.743 
05-Jan;CASA; 1.159 ; 1.052 ; 1.542 ; 1.376 ; 977 ; 1.370 ; 1.573 ; 1.320 ; 1.639 ; 1.976 ; 983 ; 1.518 ; 1.976 ; 1.232 ; 1.240 ; 1.084 ; 1.277 ; 2.239 ; 1.455 ; 1.097 ; 1.199 ; 1.037 ; 1.324 ; 3.473 ; 849 ; 1.221 ; 908 ; 1.168 ; 1.056 ; 4.900 
06-Jan;CASA; 1.159 ; 1.052 ; 1.536 ; 1.375 ; 974 ; 1.368 ; 1.571 ; 1.319 ; 1.640 ; 1.976 ; 980 ; 1.515 ; 1.970 ; 1.227 ; 1.236 ; 1.081 ; 1.275 ; 2.192 ; 1.450 ; 1.093 ; 1.197 ; 1.052 ; 1.323 ; 3.589 ; 847 ; 1.215 ; 909 ; 1.159 ; 1.029 ; 5.007 
07-Jan;CASA; 1.158 ; 1.052 ; 1.532 ; 1.376 ; 970 ; 1.366 ; 1.569 ; 1.318 ; 1.638 ; 1.974 ; 977 ; 1.513 ; 1.964 ; 1.223 ; 1.234 ; 1.078 ; 1.272 ; 2.158 ; 1.443 ; 1.095 ; 1.195 ; 1.059 ; 1.321 ; 3.688 ; 844 ; 1.207 ; 909 ; 1.153 ; 1.008 ; 5.075 
08-Jan;CASA; 1.157 ; 1.052 ; 1.529 ; 1.378 ; 970 ; 1.364 ; 1.568 ; 1.316 ; 1.637 ; 1.973 ; 975 ; 1.511 ; 1.961 ; 1.221 ; 1.232 ; 1.077 ; 1.270 ; 2.132 ; 1.438 ; 1.095 ; 1.194 ; 1.061 ; 1.317 ; 3.747 ; 842 ; 1.201 ; 910 ; 1.148 ; 991 ; 5.127 
09-Jan;CASA; 1.155 ; 1.054 ; 1.526 ; 1.380 ; 969 ; 1.363 ; 1.567 ; 1.316 ; 1.635 ; 1.973 ; 973 ; 1.510 ; 1.959 ; 1.218 ; 1.231 ; 1.076 ; 1.269 ; 2.112 ; 1.438 ; 1.096 ; 1.193 ; 1.060 ; 1.314 ; 3.802 ; 839 ; 1.196 ; 909 ; 1.144 ; 978 ; 5.220 
10-Jan;CASA; 1.153 ; 1.054 ; 1.523 ; 1.380 ; 967 ; 1.362 ; 1.566 ; 1.316 ; 1.634 ; 1.972 ; 972 ; 1.509 ; 1.957 ; 1.216 ; 1.229 ; 1.074 ; 1.268 ; 2.095 ; 1.437 ; 1.097 ; 1.191 ; 1.060 ; 1.312 ; 3.845 ; 836 ; 1.190 ; 909 ; 1.141 ; 967 ; 5.294 
11-Jan;CASA; 1.152 ; 1.054 ; 1.520 ; 1.381 ; 966 ; 1.360 ; 1.564 ; 1.315 ; 1.633 ; 1.971 ; 970 ; 1.507 ; 1.955 ; 1.214 ; 1.228 ; 1.073 ; 1.268 ; 2.080 ; 1.436 ; 1.097 ; 1.190 ; 1.060 ; 1.310 ; 3.879 ; 834 ; 1.185 ; 909 ; 1.138 ; 958 ; 5.355 
12-Jan;CASA; 1.150 ; 1.058 ; 1.518 ; 1.382 ; 965 ; 1.359 ; 1.562 ; 1.314 ; 1.631 ; 1.971 ; 969 ; 1.506 ; 1.952 ; 1.212 ; 1.227 ; 1.072 ; 1.266 ; 2.067 ; 1.434 ; 1.096 ; 1.189 ; 1.056 ; 1.308 ; 3.896 ; 832 ; 1.182 ; 910 ; 1.135 ; 952 ; 5.407 
13-Jan;CASA; 1.149 ; 1.060 ; 1.515 ; 1.382 ; 963 ; 1.359 ; 1.561 ; 1.313 ; 1.630 ; 1.970 ; 968 ; 1.504 ; 1.950 ; 1.210 ; 1.226 ; 1.071 ; 1.265 ; 2.057 ; 1.433 ; 1.094 ; 1.188 ; 1.051 ; 1.308 ; 3.939 ; 830 ; 1.180 ; 908 ; 1.132 ; 945 ; 5.452 
14-Jan;CASA; 1.148 ; 1.062 ; 1.512 ; 1.382 ; 962 ; 1.359 ; 1.560 ; 1.313 ; 1.629 ; 1.969 ; 967 ; 1.502 ; 1.949 ; 1.209 ; 1.225 ; 1.070 ; 1.263 ; 2.048 ; 1.431 ; 1.092 ; 1.187 ; 1.046 ; 1.308 ; 3.963 ; 828 ; 1.177 ; 907 ; 1.127 ; 939 ; 5.501 
15-Jan;CASA; 1.148 ; 1.064 ; 1.510 ; 1.383 ; 961 ; 1.359 ; 1.558 ; 1.313 ; 1.628 ; 1.968 ; 965 ; 1.501 ; 1.947 ; 1.207 ; 1.224 ; 1.069 ; 1.262 ; 2.040 ; 1.428 ; 1.091 ; 1.186 ; 1.042 ; 1.309 ; 3.984 ; 828 ; 1.176 ; 906 ; 1.123 ; 933 ; 5.573 
16-Jan;CASA; 1.148 ; 1.066 ; 1.507 ; 1.383 ; 960 ; 1.359 ; 1.557 ; 1.312 ; 1.626 ; 1.966 ; 964 ; 1.499 ; 1.945 ; 1.206 ; 1.223 ; 1.068 ; 1.261 ; 2.033 ; 1.425 ; 1.091 ; 1.184 ; 1.039 ; 1.309 ; 4.001 ; 827 ; 1.174 ; 906 ; 1.119 ; 928 ; 5.635 
17-Jan;CASA; 1.147 ; 1.067 ; 1.504 ; 1.383 ; 959 ; 1.358 ; 1.555 ; 1.311 ; 1.625 ; 1.965 ; 963 ; 1.498 ; 1.943 ; 1.204 ; 1.222 ; 1.067 ; 1.260 ; 2.026 ; 1.422 ; 1.091 ; 1.183 ; 1.036 ; 1.309 ; 4.016 ; 826 ; 1.171 ; 906 ; 1.115 ; 923 ; 5.689 
18-Jan;CASA; 1.146 ; 1.068 ; 1.501 ; 1.382 ; 957 ; 1.358 ; 1.553 ; 1.311 ; 1.624 ; 1.963 ; 962 ; 1.497 ; 1.941 ; 1.202 ; 1.221 ; 1.066 ; 1.259 ; 2.020 ; 1.419 ; 1.090 ; 1.182 ; 1.034 ; 1.309 ; 4.030 ; 825 ; 1.168 ; 906 ; 1.112 ; 920 ; 5.738 
19-Jan;CASA; 1.146 ; 1.068 ; 1.499 ; 1.381 ; 956 ; 1.357 ; 1.552 ; 1.310 ; 1.623 ; 1.962 ; 961 ; 1.495 ; 1.939 ; 1.200 ; 1.220 ; 1.064 ; 1.257 ; 2.014 ; 1.417 ; 1.090 ; 1.180 ; 1.030 ; 1.309 ; 4.042 ; 824 ; 1.166 ; 907 ; 1.108 ; 916 ; 5.784 
20-Jan;CASA; 1.145 ; 1.068 ; 1.497 ; 1.380 ; 955 ; 1.357 ; 1.550 ; 1.308 ; 1.622 ; 1.962 ; 960 ; 1.494 ; 1.936 ; 1.199 ; 1.219 ; 1.063 ; 1.256 ; 2.009 ; 1.413 ; 1.090 ; 1.179 ; 1.028 ; 1.309 ; 4.064 ; 824 ; 1.165 ; 906 ; 1.105 ; 914 ; 5.821 
21-Jan;CASA; 1.144 ; 1.069 ; 1.495 ; 1.379 ; 953 ; 1.356 ; 1.548 ; 1.307 ; 1.621 ; 1.961 ; 959 ; 1.492 ; 1.934 ; 1.197 ; 1.218 ; 1.062 ; 1.255 ; 2.003 ; 1.410 ; 1.089 ; 1.178 ; 1.026 ; 1.308 ; 4.113 ; 823 ; 1.163 ; 906 ; 1.103 ; 911 ; 5.847 
22-Jan;CASA; 1.143 ; 1.069 ; 1.494 ; 1.379 ; 952 ; 1.355 ; 1.546 ; 1.305 ; 1.620 ; 1.960 ; 958 ; 1.491 ; 1.932 ; 1.197 ; 1.217 ; 1.061 ; 1.254 ; 1.998 ; 1.407 ; 1.088 ; 1.176 ; 1.024 ; 1.308 ; 4.133 ; 822 ; 1.164 ; 906 ; 1.101 ; 908 ; 5.864 
