UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
31-Dec;DEPO; 329 ; 185 ; 259 ; 138 ; 96 ; 362 ; 207 ; 233 ; 262 ; 578 ; 199 ; 171 ; 344 ; 141 ; 136 ; 169 ; 265 ; 666 ; 312 ; 226 ; 237 ; 470 ; 660 ; 631 ; 379 ; 433 ; 776 ; 538 ; 560 ; 802 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;DEPO; 255 ; 174 ; 237 ; 136 ; 98 ; 372 ; 161 ; 222 ; 250 ; 554 ; 180 ; 145 ; 267 ; 135 ; 157 ; 160 ; 178 ; 664 ; 250 ; 206 ; 206 ; 298 ; 408 ; 206 ; 309 ; 254 ; 641 ; 345 ; 208 ; 1.217 
02-Jan;DEPO; 255 ; 174 ; 236 ; 136 ; 99 ; 370 ; 161 ; 220 ; 251 ; 554 ; 179 ; 145 ; 267 ; 135 ; 157 ; 160 ; 179 ; 657 ; 251 ; 205 ; 206 ; 371 ; 408 ; 278 ; 309 ; 294 ; 640 ; 449 ; 291 ; 1.217 
03-Jan;DEPO; 255 ; 174 ; 236 ; 136 ; 99 ; 370 ; 161 ; 220 ; 251 ; 554 ; 179 ; 146 ; 267 ; 135 ; 157 ; 160 ; 179 ; 657 ; 251 ; 205 ; 206 ; 371 ; 408 ; 278 ; 309 ; 294 ; 640 ; 450 ; 291 ; 1.217 
04-Jan;DEPO; 255 ; 174 ; 236 ; 136 ; 99 ; 370 ; 161 ; 220 ; 251 ; 555 ; 180 ; 146 ; 268 ; 135 ; 157 ; 160 ; 178 ; 657 ; 252 ; 205 ; 206 ; 371 ; 408 ; 277 ; 309 ; 294 ; 640 ; 449 ; 291 ; 1.217 
05-Jan;DEPO; 254 ; 173 ; 236 ; 136 ; 99 ; 370 ; 161 ; 220 ; 250 ; 555 ; 180 ; 144 ; 268 ; 135 ; 158 ; 159 ; 179 ; 657 ; 250 ; 205 ; 206 ; 371 ; 408 ; 278 ; 308 ; 294 ; 645 ; 448 ; 291 ; 419 
06-Jan;DEPO; 257 ; 172 ; 235 ; 136 ; 105 ; 369 ; 161 ; 221 ; 251 ; 555 ; 180 ; 144 ; 268 ; 135 ; 158 ; 159 ; 178 ; 654 ; 249 ; 205 ; 206 ; 371 ; 410 ; 383 ; 308 ; 293 ; 645 ; 452 ; 291 ; 411 
07-Jan;DEPO; 257 ; 173 ; 235 ; 136 ; 106 ; 369 ; 161 ; 220 ; 250 ; 555 ; 179 ; 143 ; 269 ; 137 ; 157 ; 159 ; 178 ; 684 ; 250 ; 189 ; 205 ; 372 ; 410 ; 383 ; 308 ; 292 ; 646 ; 452 ; 291 ; 370 
08-Jan;DEPO; 256 ; 174 ; 236 ; 136 ; 105 ; 367 ; 161 ; 220 ; 250 ; 555 ; 179 ; 143 ; 269 ; 137 ; 157 ; 159 ; 179 ; 684 ; 250 ; 190 ; 205 ; 372 ; 410 ; 383 ; 308 ; 293 ; 633 ; 452 ; 292 ; 372 
