UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
31-Dec;DPK; 1.410 ; 1.161 ; 1.671 ; 1.516 ; 945 ; 1.687 ; 1.655 ; 1.496 ; 1.859 ; 2.531 ; 1.130 ; 1.602 ; 2.166 ; 1.279 ; 1.259 ; 1.194 ; 1.441 ; 2.583 ; 1.671 ; 1.277 ; 1.413 ; 1.360 ; 2.465 ; 3.995 ; 1.329 ; 1.653 ; 1.677 ; 1.265 ; 1.315 ; 5.947 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;DPK; 1.424 ; 1.260 ; 1.803 ; 1.532 ; 1.092 ; 1.757 ; 1.756 ; 1.551 ; 1.902 ; 2.543 ; 1.179 ; 1.684 ; 2.260 ; 1.378 ; 1.415 ; 1.256 ; 1.463 ; 2.727 ; 1.729 ; 1.314 ; 1.420 ; 1.103 ; 1.746 ; 3.380 ; 1.187 ; 1.368 ; 1.532 ; 1.169 ; 1.087 ; 5.957 
02-Jan;DPK; 1.419 ; 1.226 ; 1.779 ; 1.514 ; 1.082 ; 1.745 ; 1.737 ; 1.540 ; 1.892 ; 2.541 ; 1.166 ; 1.672 ; 2.254 ; 1.379 ; 1.402 ; 1.247 ; 1.466 ; 3.059 ; 1.712 ; 1.303 ; 1.406 ; 1.403 ; 1.735 ; 3.562 ; 1.157 ; 1.519 ; 1.489 ; 1.624 ; 1.375 ; 5.962 
03-Jan;DPK; 1.411 ; 1.221 ; 1.771 ; 1.505 ; 1.076 ; 1.738 ; 1.729 ; 1.538 ; 1.887 ; 2.529 ; 1.160 ; 1.667 ; 2.245 ; 1.369 ; 1.393 ; 1.242 ; 1.455 ; 3.045 ; 1.706 ; 1.303 ; 1.401 ; 1.401 ; 1.728 ; 3.550 ; 1.151 ; 1.518 ; 1.493 ; 1.622 ; 1.368 ; 5.962 
04-Jan;DPK; 1.407 ; 1.215 ; 1.768 ; 1.502 ; 1.071 ; 1.732 ; 1.723 ; 1.534 ; 1.885 ; 2.524 ; 1.156 ; 1.660 ; 2.238 ; 1.363 ; 1.387 ; 1.238 ; 1.450 ; 3.035 ; 1.700 ; 1.301 ; 1.398 ; 1.401 ; 1.729 ; 3.550 ; 1.149 ; 1.505 ; 1.495 ; 1.620 ; 1.368 ; 5.961 
05-Jan;DPK; 1.410 ; 1.208 ; 1.772 ; 1.508 ; 1.061 ; 1.729 ; 1.724 ; 1.537 ; 1.884 ; 2.516 ; 1.154 ; 1.634 ; 2.219 ; 1.345 ; 1.389 ; 1.234 ; 1.443 ; 2.620 ; 1.681 ; 1.290 ; 1.398 ; 1.397 ; 1.725 ; 4.353 ; 1.146 ; 1.486 ; 1.552 ; 1.570 ; 1.214 ; 5.943 
06-Jan;DPK; 1.415 ; 1.222 ; 1.743 ; 1.504 ; 1.060 ; 1.725 ; 1.721 ; 1.537 ; 1.893 ; 2.528 ; 1.144 ; 1.644 ; 2.209 ; 1.339 ; 1.378 ; 1.226 ; 1.442 ; 2.611 ; 1.674 ; 1.283 ; 1.393 ; 1.499 ; 1.725 ; 4.553 ; 1.143 ; 1.482 ; 1.561 ; 1.566 ; 1.181 ; 5.953 
07-Jan;DPK; 1.408 ; 1.223 ; 1.743 ; 1.521 ; 1.058 ; 1.721 ; 1.720 ; 1.530 ; 1.877 ; 2.519 ; 1.141 ; 1.639 ; 2.201 ; 1.337 ; 1.375 ; 1.222 ; 1.433 ; 2.643 ; 1.653 ; 1.293 ; 1.390 ; 1.468 ; 1.718 ; 4.666 ; 1.137 ; 1.447 ; 1.554 ; 1.567 ; 1.174 ; 5.853 
08-Jan;DPK; 1.407 ; 1.230 ; 1.739 ; 1.523 ; 1.072 ; 1.722 ; 1.720 ; 1.523 ; 1.879 ; 2.524 ; 1.139 ; 1.640 ; 2.204 ; 1.340 ; 1.377 ; 1.226 ; 1.439 ; 2.633 ; 1.654 ; 1.285 ; 1.388 ; 1.446 ; 1.703 ; 4.539 ; 1.135 ; 1.453 ; 1.552 ; 1.560 ; 1.166 ; 5.868 
