UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
31-Dec;GIRO; 146 ; 61 ; 95 ; 34 ; 45 ; 92 ; 46 ; 84 ; 62 ; 237 ; 53 ; 116 ; 118 ; 60 ; 45 ; 101 ; 82 ; 126 ; 58 ; 79 ; 28 ; 201 ; 155 ; 2.728 ; 104 ; 232 ; 113 ; 218 ; 118 ; 4.201 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;GIRO; 168 ; 67 ; 117 ; 37 ; 66 ; 61 ; 99 ; 108 ; 68 ; 250 ; 50 ; 118 ; 142 ; 84 ; 58 ; 98 ; 95 ; 126 ; 67 ; 66 ; 20 ; 169 ; 150 ; 2.382 ; 109 ; 325 ; 128 ; 224 ; 156 ; 3.638 
02-Jan;GIRO; 170 ; 66 ; 113 ; 35 ; 67 ; 61 ; 98 ; 107 ; 66 ; 258 ; 52 ; 115 ; 146 ; 88 ; 59 ; 101 ; 97 ; 318 ; 64 ; 67 ; 20 ; 163 ; 149 ; 2.307 ; 105 ; 318 ; 108 ; 217 ; 141 ; 3.643 
03-Jan;GIRO; 170 ; 65 ; 112 ; 33 ; 66 ; 61 ; 98 ; 107 ; 65 ; 260 ; 51 ; 115 ; 147 ; 89 ; 59 ; 102 ; 96 ; 382 ; 63 ; 68 ; 19 ; 163 ; 149 ; 2.280 ; 104 ; 316 ; 104 ; 215 ; 135 ; 3.647 
04-Jan;GIRO; 170 ; 65 ; 112 ; 33 ; 65 ; 60 ; 98 ; 107 ; 65 ; 262 ; 51 ; 115 ; 148 ; 90 ; 60 ; 103 ; 95 ; 414 ; 62 ; 67 ; 20 ; 163 ; 150 ; 2.267 ; 104 ; 314 ; 104 ; 215 ; 132 ; 3.650 
05-Jan;GIRO; 172 ; 65 ; 112 ; 32 ; 65 ; 61 ; 98 ; 107 ; 65 ; 261 ; 52 ; 112 ; 139 ; 87 ; 60 ; 103 ; 95 ; 352 ; 64 ; 67 ; 20 ; 163 ; 150 ; 2.428 ; 104 ; 312 ; 104 ; 214 ; 132 ; 3.811 
06-Jan;GIRO; 174 ; 69 ; 108 ; 32 ; 65 ; 60 ; 98 ; 108 ; 67 ; 262 ; 52 ; 111 ; 133 ; 85 ; 60 ; 102 ; 94 ; 311 ; 67 ; 67 ; 20 ; 178 ; 150 ; 2.548 ; 104 ; 311 ; 106 ; 211 ; 131 ; 3.921 
07-Jan;GIRO; 174 ; 72 ; 107 ; 33 ; 65 ; 60 ; 98 ; 108 ; 66 ; 262 ; 51 ; 110 ; 129 ; 83 ; 60 ; 101 ; 93 ; 283 ; 68 ; 68 ; 20 ; 188 ; 150 ; 2.649 ; 105 ; 307 ; 107 ; 211 ; 130 ; 3.995 
08-Jan;GIRO; 175 ; 74 ; 105 ; 33 ; 68 ; 61 ; 98 ; 107 ; 66 ; 263 ; 51 ; 109 ; 126 ; 82 ; 60 ; 101 ; 93 ; 260 ; 69 ; 68 ; 20 ; 193 ; 152 ; 2.710 ; 106 ; 305 ; 108 ; 213 ; 128 ; 4.051 
09-Jan;GIRO; 174 ; 75 ; 104 ; 33 ; 68 ; 61 ; 98 ; 107 ; 64 ; 263 ; 50 ; 109 ; 124 ; 81 ; 60 ; 100 ; 92 ; 243 ; 68 ; 68 ; 20 ; 196 ; 152 ; 2.767 ; 107 ; 303 ; 107 ; 215 ; 126 ; 4.151 
10-Jan;GIRO; 174 ; 76 ; 103 ; 33 ; 68 ; 61 ; 97 ; 107 ; 63 ; 263 ; 50 ; 109 ; 123 ; 80 ; 60 ; 99 ; 92 ; 230 ; 68 ; 68 ; 20 ; 199 ; 153 ; 2.812 ; 108 ; 301 ; 107 ; 217 ; 125 ; 4.231 
