UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
31-Dec;TABUNGAN; 935 ; 915 ; 1.316 ; 1.344 ; 804 ; 1.233 ; 1.402 ; 1.179 ; 1.536 ; 1.716 ; 878 ; 1.315 ; 1.704 ; 1.078 ; 1.078 ; 924 ; 1.094 ; 1.792 ; 1.302 ; 972 ; 1.147 ; 689 ; 1.649 ; 636 ; 845 ; 989 ; 788 ; 509 ; 637 ; 945 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;TABUNGAN; 1.001 ; 1.020 ; 1.449 ; 1.359 ; 928 ; 1.324 ; 1.496 ; 1.221 ; 1.584 ; 1.739 ; 949 ; 1.421 ; 1.851 ; 1.159 ; 1.200 ; 998 ; 1.190 ; 1.937 ; 1.411 ; 1.042 ; 1.194 ; 636 ; 1.188 ; 792 ; 769 ; 790 ; 763 ; 600 ; 723 ; 1.102 
02-Jan;TABUNGAN; 992 ; 988 ; 1.434 ; 1.346 ; 915 ; 1.314 ; 1.479 ; 1.215 ; 1.577 ; 1.721 ; 933 ; 1.415 ; 1.836 ; 1.152 ; 1.184 ; 982 ; 1.188 ; 1.890 ; 1.401 ; 1.030 ; 1.181 ; 875 ; 1.179 ; 1.052 ; 746 ; 914 ; 760 ; 965 ; 960 ; 1.097 
03-Jan;TABUNGAN; 987 ; 982 ; 1.424 ; 1.339 ; 913 ; 1.308 ; 1.470 ; 1.212 ; 1.572 ; 1.709 ; 930 ; 1.407 ; 1.828 ; 1.143 ; 1.176 ; 977 ; 1.183 ; 1.878 ; 1.394 ; 1.030 ; 1.176 ; 869 ; 1.171 ; 1.048 ; 740 ; 912 ; 757 ; 961 ; 955 ; 1.090 
04-Jan;TABUNGAN; 982 ; 976 ; 1.420 ; 1.335 ; 908 ; 1.303 ; 1.464 ; 1.207 ; 1.570 ; 1.703 ; 924 ; 1.399 ; 1.820 ; 1.137 ; 1.170 ; 973 ; 1.178 ; 1.868 ; 1.387 ; 1.029 ; 1.172 ; 865 ; 1.170 ; 1.046 ; 737 ; 903 ; 753 ; 958 ; 952 ; 1.084 
05-Jan;TABUNGAN; 977 ; 969 ; 1.423 ; 1.341 ; 898 ; 1.299 ; 1.466 ; 1.207 ; 1.568 ; 1.706 ; 920 ; 1.391 ; 1.847 ; 1.132 ; 1.168 ; 973 ; 1.171 ; 1.857 ; 1.358 ; 1.018 ; 1.172 ; 863 ; 1.167 ; 1.002 ; 735 ; 890 ; 801 ; 912 ; 790 ; 1.072 
06-Jan;TABUNGAN; 973 ; 962 ; 1.417 ; 1.339 ; 890 ; 1.297 ; 1.462 ; 1.208 ; 1.566 ; 1.704 ; 913 ; 1.397 ; 1.838 ; 1.130 ; 1.161 ; 969 ; 1.173 ; 1.854 ; 1.347 ; 1.013 ; 1.167 ; 877 ; 1.163 ; 1.023 ; 732 ; 883 ; 802 ; 914 ; 764 ; 1.072 
07-Jan;TABUNGAN; 974 ; 962 ; 1.411 ; 1.346 ; 885 ; 1.293 ; 1.463 ; 1.203 ; 1.567 ; 1.699 ; 913 ; 1.391 ; 1.830 ; 1.128 ; 1.158 ; 966 ; 1.166 ; 1.848 ; 1.326 ; 1.029 ; 1.165 ; 849 ; 1.156 ; 1.030 ; 715 ; 873 ; 797 ; 906 ; 762 ; 1.039 
08-Jan;TABUNGAN; 972 ; 965 ; 1.409 ; 1.351 ; 883 ; 1.290 ; 1.460 ; 1.198 ; 1.565 ; 1.700 ; 913 ; 1.390 ; 1.831 ; 1.131 ; 1.160 ; 970 ; 1.170 ; 1.846 ; 1.333 ; 1.028 ; 1.162 ; 848 ; 1.134 ; 1.022 ; 713 ; 868 ; 801 ; 885 ; 759 ; 1.052 
