UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
01-Dec;CASA; 461 ; 355 ; 490 ; 239 ; 307 ; 308 ; 350 ; 276 ; 420 ; 839 ; 400 ; 494 ; 582 ; 302 ; 199 ; 230 ; 384 ; 666 ; 336 ; 281 ; 243 ; 357 ; 853 ; 918 ; 351 ; 722 ; 240 ; 637 ; 630 ; 1.263 
02-Dec;CASA; 447 ; 345 ; 476 ; 233 ; 299 ; 300 ; 340 ; 268 ; 408 ; 816 ; 388 ; 480 ; 566 ; 293 ; 193 ; 223 ; 373 ; 648 ; 327 ; 273 ; 236 ; 346 ; 830 ; 892 ; 341 ; 700 ; 233 ; 620 ; 612 ; 1.228 
03-Dec;CASA; 441 ; 339 ; 468 ; 228 ; 294 ; 294 ; 334 ; 264 ; 401 ; 802 ; 382 ; 472 ; 557 ; 289 ; 190 ; 220 ; 367 ; 636 ; 321 ; 268 ; 231 ; 341 ; 814 ; 878 ; 335 ; 691 ; 229 ; 608 ; 603 ; 1.206 
04-Dec;CASA; 438 ; 337 ; 465 ; 227 ; 292 ; 292 ; 332 ; 263 ; 398 ; 797 ; 380 ; 469 ; 553 ; 287 ; 189 ; 218 ; 364 ; 632 ; 319 ; 266 ; 230 ; 339 ; 809 ; 873 ; 333 ; 687 ; 228 ; 604 ; 599 ; 1.199 
05-Dec;CASA; 435 ; 336 ; 463 ; 226 ; 290 ; 291 ; 330 ; 261 ; 397 ; 793 ; 377 ; 467 ; 550 ; 285 ; 188 ; 217 ; 363 ; 630 ; 318 ; 265 ; 230 ; 337 ; 807 ; 867 ; 332 ; 681 ; 226 ; 602 ; 595 ; 1.194 
06-Dec;CASA; 434 ; 335 ; 462 ; 226 ; 290 ; 290 ; 329 ; 260 ; 396 ; 791 ; 376 ; 465 ; 549 ; 284 ; 187 ; 217 ; 362 ; 628 ; 317 ; 265 ; 229 ; 336 ; 804 ; 865 ; 331 ; 680 ; 226 ; 600 ; 594 ; 1.190 
07-Dec;CASA; 434 ; 334 ; 461 ; 225 ; 289 ; 290 ; 329 ; 260 ; 395 ; 791 ; 376 ; 465 ; 548 ; 284 ; 187 ; 217 ; 361 ; 627 ; 316 ; 264 ; 228 ; 336 ; 803 ; 865 ; 330 ; 680 ; 226 ; 600 ; 594 ; 1.189 
08-Dec;CASA; 433 ; 333 ; 459 ; 224 ; 288 ; 289 ; 328 ; 259 ; 394 ; 788 ; 375 ; 463 ; 546 ; 283 ; 187 ; 216 ; 360 ; 624 ; 315 ; 263 ; 227 ; 335 ; 800 ; 862 ; 329 ; 678 ; 225 ; 597 ; 592 ; 1.184 
09-Dec;CASA; 428 ; 328 ; 453 ; 221 ; 284 ; 284 ; 324 ; 256 ; 388 ; 777 ; 371 ; 457 ; 540 ; 280 ; 184 ; 213 ; 355 ; 615 ; 310 ; 260 ; 224 ; 331 ; 788 ; 851 ; 325 ; 671 ; 222 ; 589 ; 585 ; 1.168 
10-Dec;CASA; 428 ; 329 ; 454 ; 222 ; 285 ; 285 ; 324 ; 256 ; 389 ; 778 ; 371 ; 458 ; 540 ; 280 ; 184 ; 213 ; 356 ; 617 ; 311 ; 260 ; 225 ; 331 ; 790 ; 851 ; 325 ; 670 ; 222 ; 590 ; 584 ; 1.170 
