UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
31-Dec;DEPO; 91 ; 72 ; 111 ; 51 ; 63 ; 58 ; 50 ; 87 ; 132 ; 393 ; 144 ; 74 ; 142 ; 32 ; 37 ; 64 ; 63 ; 394 ; 98 ; 81 ; 50 ; 152 ; 270 ; 174 ; 173 ; 140 ; 510 ; 258 ; 129 ; 291 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;DEPO; 91 ; 71 ; 108 ; 50 ; 69 ; 57 ; 48 ; 85 ; 129 ; 388 ; 140 ; 71 ; 140 ; 31 ; 37 ; 63 ; 63 ; 406 ; 94 ; 63 ; 48 ; 151 ; 267 ; 258 ; 169 ; 136 ; 494 ; 256 ; 123 ; 277 
02-Jan;DEPO; 91 ; 71 ; 107 ; 50 ; 69 ; 57 ; 48 ; 84 ; 129 ; 387 ; 140 ; 71 ; 140 ; 31 ; 37 ; 63 ; 63 ; 405 ; 94 ; 63 ; 47 ; 150 ; 266 ; 258 ; 169 ; 136 ; 492 ; 255 ; 123 ; 276 
03-Jan;DEPO; 91 ; 71 ; 107 ; 50 ; 69 ; 57 ; 48 ; 84 ; 129 ; 387 ; 140 ; 71 ; 140 ; 31 ; 37 ; 63 ; 63 ; 405 ; 94 ; 63 ; 47 ; 150 ; 266 ; 258 ; 169 ; 136 ; 493 ; 255 ; 123 ; 276 
04-Jan;DEPO; 91 ; 71 ; 107 ; 50 ; 69 ; 57 ; 48 ; 84 ; 129 ; 387 ; 140 ; 71 ; 140 ; 31 ; 37 ; 63 ; 63 ; 405 ; 94 ; 63 ; 47 ; 150 ; 266 ; 258 ; 169 ; 136 ; 492 ; 255 ; 123 ; 276 
05-Jan;DEPO; 91 ; 70 ; 107 ; 50 ; 69 ; 56 ; 47 ; 84 ; 128 ; 386 ; 139 ; 71 ; 140 ; 31 ; 37 ; 63 ; 63 ; 404 ; 93 ; 63 ; 47 ; 150 ; 265 ; 257 ; 168 ; 136 ; 491 ; 254 ; 123 ; 275 
06-Jan;DEPO; 93 ; 72 ; 109 ; 51 ; 70 ; 58 ; 48 ; 86 ; 131 ; 394 ; 142 ; 72 ; 143 ; 31 ; 38 ; 64 ; 64 ; 413 ; 95 ; 64 ; 48 ; 153 ; 271 ; 262 ; 172 ; 139 ; 501 ; 260 ; 125 ; 281 
07-Jan;DEPO; 93 ; 72 ; 110 ; 51 ; 70 ; 58 ; 49 ; 86 ; 131 ; 395 ; 143 ; 72 ; 143 ; 31 ; 38 ; 64 ; 64 ; 413 ; 96 ; 65 ; 48 ; 153 ; 271 ; 263 ; 172 ; 139 ; 502 ; 260 ; 126 ; 281 
08-Jan;DEPO; 92 ; 72 ; 110 ; 51 ; 70 ; 58 ; 48 ; 86 ; 131 ; 394 ; 143 ; 72 ; 143 ; 31 ; 38 ; 64 ; 64 ; 413 ; 96 ; 65 ; 48 ; 153 ; 271 ; 263 ; 172 ; 139 ; 489 ; 260 ; 126 ; 283 
09-Jan;DEPO; 92 ; 72 ; 109 ; 51 ; 70 ; 58 ; 48 ; 86 ; 131 ; 395 ; 143 ; 72 ; 142 ; 32 ; 38 ; 64 ; 64 ; 412 ; 96 ; 65 ; 48 ; 153 ; 271 ; 264 ; 171 ; 139 ; 479 ; 260 ; 126 ; 304 
10-Jan;DEPO; 92 ; 72 ; 109 ; 51 ; 70 ; 57 ; 48 ; 86 ; 131 ; 395 ; 143 ; 72 ; 142 ; 32 ; 38 ; 64 ; 64 ; 412 ; 96 ; 65 ; 48 ; 153 ; 271 ; 264 ; 172 ; 139 ; 479 ; 259 ; 126 ; 304 
11-Jan;DEPO; 92 ; 72 ; 110 ; 51 ; 70 ; 57 ; 48 ; 86 ; 131 ; 395 ; 143 ; 72 ; 142 ; 32 ; 38 ; 64 ; 64 ; 412 ; 95 ; 65 ; 48 ; 153 ; 271 ; 264 ; 171 ; 139 ; 479 ; 259 ; 126 ; 304 
12-Jan;DEPO; 92 ; 72 ; 109 ; 51 ; 70 ; 57 ; 48 ; 86 ; 131 ; 394 ; 143 ; 71 ; 142 ; 32 ; 38 ; 64 ; 64 ; 412 ; 95 ; 81 ; 48 ; 153 ; 271 ; 289 ; 171 ; 139 ; 479 ; 259 ; 126 ; 303 
13-Jan;DEPO; 92 ; 72 ; 108 ; 51 ; 70 ; 57 ; 48 ; 86 ; 131 ; 396 ; 143 ; 72 ; 142 ; 32 ; 38 ; 64 ; 64 ; 409 ; 96 ; 81 ; 48 ; 152 ; 271 ; 289 ; 171 ; 139 ; 454 ; 259 ; 126 ; 304 
14-Jan;DEPO; 92 ; 72 ; 108 ; 51 ; 70 ; 57 ; 48 ; 86 ; 130 ; 395 ; 143 ; 72 ; 142 ; 32 ; 37 ; 65 ; 64 ; 409 ; 96 ; 81 ; 48 ; 152 ; 271 ; 289 ; 171 ; 139 ; 454 ; 259 ; 127 ; 304 
