UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
01-Dec;DPK; 554 ; 429 ; 603 ; 291 ; 372 ; 367 ; 400 ; 365 ; 555 ; 1.241 ; 547 ; 570 ; 728 ; 334 ; 236 ; 295 ; 448 ; 1.068 ; 436 ; 363 ; 294 ; 511 ; 1.128 ; 1.096 ; 527 ; 864 ; 760 ; 900 ; 762 ; 1.560 
02-Dec;DPK; 535 ; 415 ; 583 ; 281 ; 359 ; 356 ; 387 ; 351 ; 535 ; 1.194 ; 526 ; 551 ; 703 ; 323 ; 228 ; 285 ; 433 ; 1.026 ; 421 ; 350 ; 284 ; 492 ; 1.089 ; 1.060 ; 507 ; 834 ; 723 ; 867 ; 735 ; 1.507 
03-Dec;DPK; 536 ; 414 ; 583 ; 281 ; 359 ; 354 ; 386 ; 355 ; 539 ; 1.211 ; 532 ; 549 ; 705 ; 321 ; 228 ; 286 ; 432 ; 1.045 ; 422 ; 352 ; 283 ; 499 ; 1.095 ; 1.059 ; 515 ; 836 ; 760 ; 876 ; 737 ; 1.509 
04-Dec;DPK; 533 ; 412 ; 580 ; 280 ; 357 ; 353 ; 384 ; 353 ; 536 ; 1.206 ; 530 ; 546 ; 701 ; 319 ; 227 ; 285 ; 430 ; 1.041 ; 420 ; 350 ; 282 ; 497 ; 1.089 ; 1.054 ; 513 ; 832 ; 758 ; 873 ; 733 ; 1.501 
05-Dec;DPK; 529 ; 411 ; 578 ; 279 ; 356 ; 352 ; 382 ; 351 ; 534 ; 1.201 ; 527 ; 544 ; 698 ; 318 ; 226 ; 283 ; 428 ; 1.038 ; 419 ; 349 ; 282 ; 494 ; 1.086 ; 1.048 ; 511 ; 826 ; 755 ; 870 ; 728 ; 1.495 
06-Dec;DPK; 529 ; 410 ; 577 ; 278 ; 355 ; 351 ; 381 ; 350 ; 533 ; 1.199 ; 526 ; 542 ; 696 ; 317 ; 225 ; 283 ; 427 ; 1.036 ; 418 ; 348 ; 281 ; 493 ; 1.084 ; 1.046 ; 510 ; 825 ; 755 ; 868 ; 727 ; 1.492 
07-Dec;DPK; 529 ; 409 ; 576 ; 278 ; 355 ; 350 ; 381 ; 350 ; 533 ; 1.199 ; 526 ; 542 ; 696 ; 317 ; 225 ; 283 ; 427 ; 1.035 ; 418 ; 348 ; 280 ; 493 ; 1.083 ; 1.046 ; 510 ; 825 ; 755 ; 867 ; 727 ; 1.491 
08-Dec;DPK; 527 ; 408 ; 574 ; 277 ; 353 ; 349 ; 379 ; 349 ; 531 ; 1.194 ; 524 ; 540 ; 694 ; 316 ; 224 ; 282 ; 425 ; 1.031 ; 416 ; 347 ; 279 ; 492 ; 1.078 ; 1.042 ; 508 ; 822 ; 752 ; 864 ; 725 ; 1.485 
09-Dec;DPK; 523 ; 403 ; 568 ; 273 ; 350 ; 345 ; 376 ; 346 ; 525 ; 1.184 ; 520 ; 534 ; 687 ; 312 ; 222 ; 279 ; 421 ; 1.023 ; 411 ; 343 ; 275 ; 488 ; 1.067 ; 1.032 ; 504 ; 815 ; 750 ; 856 ; 719 ; 1.469 
10-Dec;DPK; 522 ; 404 ; 569 ; 274 ; 350 ; 345 ; 376 ; 346 ; 526 ; 1.185 ; 520 ; 534 ; 687 ; 312 ; 222 ; 279 ; 421 ; 1.024 ; 412 ; 343 ; 276 ; 488 ; 1.069 ; 1.032 ; 504 ; 814 ; 750 ; 857 ; 718 ; 1.471 
11-Dec;DPK; 520 ; 402 ; 566 ; 273 ; 349 ; 344 ; 374 ; 345 ; 524 ; 1.180 ; 518 ; 533 ; 685 ; 311 ; 221 ; 278 ; 419 ; 1.020 ; 411 ; 342 ; 275 ; 486 ; 1.065 ; 1.028 ; 502 ; 811 ; 746 ; 853 ; 715 ; 1.466 
12-Dec;DPK; 521 ; 403 ; 567 ; 273 ; 349 ; 345 ; 375 ; 345 ; 525 ; 1.183 ; 519 ; 533 ; 686 ; 312 ; 222 ; 279 ; 420 ; 1.022 ; 411 ; 343 ; 275 ; 487 ; 1.067 ; 1.030 ; 503 ; 813 ; 749 ; 855 ; 717 ; 1.468 
13-Dec;DPK; 521 ; 403 ; 567 ; 273 ; 349 ; 344 ; 375 ; 345 ; 525 ; 1.182 ; 519 ; 533 ; 686 ; 312 ; 222 ; 278 ; 420 ; 1.022 ; 411 ; 343 ; 275 ; 487 ; 1.066 ; 1.029 ; 503 ; 813 ; 749 ; 855 ; 717 ; 1.467 
14-Dec;DPK; 522 ; 402 ; 567 ; 273 ; 349 ; 344 ; 375 ; 346 ; 524 ; 1.182 ; 519 ; 533 ; 686 ; 312 ; 222 ; 278 ; 420 ; 1.021 ; 411 ; 342 ; 274 ; 487 ; 1.065 ; 1.029 ; 503 ; 813 ; 749 ; 854 ; 717 ; 1.466 
15-Dec;DPK; 523 ; 402 ; 566 ; 273 ; 349 ; 344 ; 376 ; 346 ; 523 ; 1.178 ; 518 ; 533 ; 686 ; 313 ; 222 ; 278 ; 420 ; 1.016 ; 410 ; 342 ; 274 ; 486 ; 1.063 ; 1.030 ; 501 ; 815 ; 741 ; 852 ; 718 ; 1.466 
