UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
01-Dec;GIRO; 151 ; 57 ; 85 ; 32 ; 59 ; 39 ; 89 ; 84 ; 73 ; 172 ; 110 ; 99 ; 135 ; 75 ; 51 ; 54 ; 81 ; 90 ; 46 ; 55 ; 13 ; 94 ; 119 ; 219 ; 67 ; 224 ; 57 ; 98 ; 185 ; 228 
02-Dec;GIRO; 145 ; 54 ; 82 ; 31 ; 57 ; 38 ; 85 ; 81 ; 70 ; 165 ; 106 ; 95 ; 130 ; 71 ; 49 ; 52 ; 78 ; 86 ; 44 ; 53 ; 13 ; 90 ; 114 ; 210 ; 64 ; 215 ; 55 ; 94 ; 178 ; 218 
03-Dec;GIRO; 147 ; 55 ; 83 ; 31 ; 57 ; 38 ; 86 ; 81 ; 71 ; 166 ; 106 ; 96 ; 131 ; 72 ; 49 ; 53 ; 78 ; 87 ; 44 ; 53 ; 13 ; 91 ; 115 ; 212 ; 64 ; 217 ; 55 ; 95 ; 179 ; 220 
04-Dec;GIRO; 146 ; 54 ; 82 ; 31 ; 57 ; 38 ; 85 ; 81 ; 71 ; 165 ; 106 ; 95 ; 130 ; 72 ; 49 ; 52 ; 78 ; 86 ; 44 ; 53 ; 13 ; 90 ; 114 ; 210 ; 64 ; 215 ; 55 ; 94 ; 178 ; 219 
05-Dec;GIRO; 141 ; 53 ; 80 ; 30 ; 55 ; 37 ; 83 ; 78 ; 69 ; 160 ; 103 ; 92 ; 126 ; 70 ; 48 ; 51 ; 75 ; 84 ; 43 ; 51 ; 12 ; 88 ; 111 ; 204 ; 62 ; 209 ; 53 ; 92 ; 173 ; 212 
06-Dec;GIRO; 142 ; 53 ; 80 ; 30 ; 56 ; 37 ; 83 ; 79 ; 69 ; 161 ; 103 ; 93 ; 127 ; 70 ; 48 ; 51 ; 76 ; 84 ; 43 ; 51 ; 12 ; 88 ; 111 ; 205 ; 62 ; 210 ; 54 ; 92 ; 174 ; 213 
07-Dec;GIRO; 143 ; 54 ; 81 ; 30 ; 56 ; 37 ; 84 ; 79 ; 69 ; 162 ; 104 ; 93 ; 128 ; 70 ; 48 ; 51 ; 76 ; 85 ; 43 ; 52 ; 12 ; 89 ; 112 ; 206 ; 63 ; 211 ; 54 ; 93 ; 175 ; 215 
08-Dec;GIRO; 143 ; 54 ; 81 ; 30 ; 56 ; 37 ; 84 ; 79 ; 69 ; 162 ; 104 ; 93 ; 128 ; 70 ; 48 ; 51 ; 76 ; 85 ; 43 ; 52 ; 12 ; 89 ; 112 ; 207 ; 63 ; 211 ; 54 ; 93 ; 175 ; 215 
09-Dec;GIRO; 144 ; 54 ; 81 ; 30 ; 56 ; 37 ; 84 ; 80 ; 70 ; 163 ; 105 ; 94 ; 129 ; 71 ; 49 ; 52 ; 77 ; 85 ; 43 ; 52 ; 13 ; 89 ; 113 ; 208 ; 63 ; 213 ; 54 ; 93 ; 176 ; 216 
10-Dec;GIRO; 141 ; 53 ; 80 ; 30 ; 55 ; 37 ; 83 ; 78 ; 69 ; 160 ; 103 ; 92 ; 126 ; 70 ; 48 ; 51 ; 75 ; 84 ; 42 ; 51 ; 12 ; 88 ; 111 ; 204 ; 62 ; 209 ; 53 ; 92 ; 173 ; 212 
11-Dec;GIRO; 141 ; 53 ; 79 ; 30 ; 55 ; 36 ; 82 ; 78 ; 68 ; 160 ; 102 ; 92 ; 126 ; 69 ; 47 ; 51 ; 75 ; 83 ; 42 ; 51 ; 12 ; 87 ; 111 ; 203 ; 62 ; 208 ; 53 ; 91 ; 172 ; 211 
12-Dec;GIRO; 141 ; 53 ; 80 ; 30 ; 55 ; 37 ; 83 ; 78 ; 69 ; 161 ; 103 ; 92 ; 126 ; 70 ; 48 ; 51 ; 76 ; 84 ; 43 ; 51 ; 12 ; 88 ; 111 ; 204 ; 62 ; 209 ; 53 ; 92 ; 173 ; 213 
