UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
31-Dec;TABUNGAN; 300 ; 290 ; 393 ; 201 ; 241 ; 261 ; 253 ; 187 ; 336 ; 648 ; 281 ; 383 ; 434 ; 221 ; 143 ; 170 ; 294 ; 559 ; 282 ; 219 ; 223 ; 255 ; 712 ; 679 ; 276 ; 483 ; 177 ; 523 ; 432 ; 1.005 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Jan;TABUNGAN; 314 ; 269 ; 412 ; 218 ; 239 ; 271 ; 265 ; 199 ; 364 ; 681 ; 287 ; 409 ; 475 ; 229 ; 150 ; 181 ; 316 ; 561 ; 272 ; 234 ; 228 ; 245 ; 747 ; 708 ; 292 ; 491 ; 188 ; 513 ; 267 ; 1.068 
02-Jan;TABUNGAN; 308 ; 264 ; 405 ; 214 ; 234 ; 266 ; 260 ; 195 ; 357 ; 668 ; 282 ; 401 ; 466 ; 225 ; 147 ; 177 ; 310 ; 550 ; 267 ; 230 ; 224 ; 241 ; 733 ; 695 ; 287 ; 482 ; 185 ; 503 ; 262 ; 1.048 
03-Jan;TABUNGAN; 306 ; 262 ; 401 ; 212 ; 233 ; 264 ; 258 ; 194 ; 354 ; 663 ; 279 ; 398 ; 463 ; 223 ; 146 ; 176 ; 308 ; 546 ; 265 ; 228 ; 222 ; 239 ; 728 ; 689 ; 284 ; 478 ; 183 ; 499 ; 260 ; 1.040 
04-Jan;TABUNGAN; 304 ; 261 ; 400 ; 211 ; 232 ; 262 ; 256 ; 193 ; 353 ; 660 ; 278 ; 396 ; 460 ; 222 ; 146 ; 175 ; 307 ; 544 ; 264 ; 227 ; 221 ; 238 ; 724 ; 686 ; 283 ; 476 ; 182 ; 497 ; 259 ; 1.035 
05-Jan;TABUNGAN; 296 ; 254 ; 389 ; 205 ; 225 ; 255 ; 250 ; 188 ; 343 ; 642 ; 271 ; 386 ; 448 ; 216 ; 142 ; 170 ; 298 ; 529 ; 257 ; 221 ; 215 ; 231 ; 705 ; 668 ; 275 ; 463 ; 178 ; 484 ; 252 ; 1.007 
06-Jan;TABUNGAN; 296 ; 253 ; 388 ; 205 ; 225 ; 255 ; 249 ; 187 ; 343 ; 641 ; 270 ; 385 ; 447 ; 216 ; 141 ; 170 ; 298 ; 528 ; 256 ; 220 ; 214 ; 231 ; 703 ; 666 ; 275 ; 462 ; 177 ; 483 ; 251 ; 1.005 
07-Jan;TABUNGAN; 293 ; 251 ; 385 ; 203 ; 223 ; 253 ; 247 ; 186 ; 340 ; 636 ; 268 ; 382 ; 443 ; 214 ; 140 ; 169 ; 295 ; 523 ; 254 ; 219 ; 213 ; 229 ; 698 ; 661 ; 273 ; 458 ; 176 ; 479 ; 249 ; 997 
08-Jan;TABUNGAN; 291 ; 257 ; 381 ; 208 ; 221 ; 252 ; 247 ; 182 ; 339 ; 636 ; 267 ; 380 ; 446 ; 218 ; 139 ; 167 ; 296 ; 523 ; 262 ; 218 ; 212 ; 228 ; 676 ; 654 ; 271 ; 455 ; 177 ; 459 ; 248 ; 1.009 
09-Jan;TABUNGAN; 290 ; 263 ; 385 ; 213 ; 224 ; 251 ; 246 ; 180 ; 341 ; 638 ; 265 ; 384 ; 444 ; 213 ; 139 ; 161 ; 297 ; 516 ; 292 ; 221 ; 212 ; 213 ; 674 ; 651 ; 258 ; 450 ; 180 ; 455 ; 247 ; 973 
10-Jan;TABUNGAN; 287 ; 259 ; 380 ; 210 ; 221 ; 249 ; 243 ; 180 ; 342 ; 636 ; 265 ; 383 ; 442 ; 211 ; 138 ; 161 ; 296 ; 513 ; 291 ; 220 ; 213 ; 209 ; 671 ; 649 ; 255 ; 447 ; 180 ; 455 ; 246 ; 969 
11-Jan;TABUNGAN; 286 ; 257 ; 376 ; 212 ; 220 ; 247 ; 242 ; 179 ; 342 ; 634 ; 265 ; 383 ; 440 ; 211 ; 137 ; 161 ; 296 ; 510 ; 290 ; 219 ; 212 ; 208 ; 669 ; 649 ; 255 ; 443 ; 179 ; 454 ; 246 ; 967 
12-Jan;TABUNGAN; 283 ; 262 ; 377 ; 212 ; 221 ; 247 ; 238 ; 183 ; 333 ; 634 ; 265 ; 379 ; 435 ; 212 ; 134 ; 165 ; 296 ; 505 ; 280 ; 207 ; 212 ; 207 ; 670 ; 647 ; 257 ; 445 ; 177 ; 459 ; 246 ; 959 
13-Jan;TABUNGAN; 281 ; 258 ; 374 ; 214 ; 222 ; 252 ; 236 ; 191 ; 331 ; 631 ; 265 ; 374 ; 435 ; 217 ; 133 ; 164 ; 295 ; 507 ; 284 ; 203 ; 209 ; 207 ; 671 ; 644 ; 253 ; 451 ; 176 ; 450 ; 247 ; 959 
14-Jan;TABUNGAN; 280 ; 257 ; 368 ; 211 ; 222 ; 250 ; 233 ; 194 ; 332 ; 632 ; 260 ; 375 ; 433 ; 216 ; 132 ; 164 ; 295 ; 505 ; 283 ; 200 ; 208 ; 202 ; 669 ; 670 ; 254 ; 447 ; 178 ; 448 ; 241 ; 956 
15-Jan;TABUNGAN; 283 ; 262 ; 371 ; 215 ; 219 ; 251 ; 232 ; 195 ; 334 ; 637 ; 262 ; 378 ; 430 ; 214 ; 133 ; 162 ; 293 ; 505 ; 256 ; 203 ; 208 ; 205 ; 672 ; 670 ; 261 ; 447 ; 179 ; 439 ; 235 ; 952 
16-Jan;TABUNGAN; 281 ; 261 ; 367 ; 213 ; 218 ; 247 ; 232 ; 195 ; 332 ; 635 ; 263 ; 376 ; 429 ; 211 ; 133 ; 162 ; 292 ; 504 ; 256 ; 204 ; 208 ; 202 ; 669 ; 671 ; 259 ; 444 ; 178 ; 437 ; 234 ; 950 
17-Jan;TABUNGAN; 280 ; 259 ; 364 ; 209 ; 218 ; 247 ; 231 ; 194 ; 333 ; 634 ; 260 ; 380 ; 427 ; 209 ; 132 ; 162 ; 292 ; 500 ; 255 ; 204 ; 208 ; 202 ; 668 ; 670 ; 258 ; 434 ; 178 ; 436 ; 234 ; 951 
18-Jan;TABUNGAN; 278 ; 258 ; 363 ; 209 ; 216 ; 246 ; 231 ; 194 ; 333 ; 631 ; 259 ; 378 ; 425 ; 208 ; 131 ; 163 ; 291 ; 497 ; 254 ; 204 ; 207 ; 203 ; 668 ; 669 ; 258 ; 429 ; 178 ; 436 ; 232 ; 949 
19-Jan;TABUNGAN; 276 ; 254 ; 365 ; 201 ; 218 ; 244 ; 230 ; 188 ; 334 ; 627 ; 259 ; 373 ; 422 ; 206 ; 130 ; 165 ; 290 ; 495 ; 256 ; 208 ; 205 ; 200 ; 667 ; 668 ; 260 ; 438 ; 198 ; 427 ; 234 ; 917 
20-Jan;TABUNGAN; 275 ; 253 ; 364 ; 201 ; 215 ; 241 ; 225 ; 178 ; 332 ; 633 ; 257 ; 370 ; 419 ; 205 ; 129 ; 164 ; 291 ; 490 ; 252 ; 204 ; 204 ; 200 ; 664 ; 696 ; 261 ; 442 ; 197 ; 431 ; 237 ; 923 
21-Jan;TABUNGAN; 276 ; 253 ; 364 ; 207 ; 216 ; 241 ; 222 ; 177 ; 333 ; 634 ; 257 ; 368 ; 414 ; 205 ; 127 ; 163 ; 289 ; 488 ; 251 ; 205 ; 206 ; 199 ; 655 ; 692 ; 264 ; 441 ; 207 ; 428 ; 237 ; 920 
22-Jan;TABUNGAN; 282 ; 256 ; 369 ; 209 ; 216 ; 242 ; 218 ; 178 ; 332 ; 630 ; 257 ; 368 ; 425 ; 213 ; 128 ; 162 ; 289 ; 493 ; 248 ; 205 ; 210 ; 200 ; 655 ; 681 ; 263 ; 440 ; 215 ; 429 ; 235 ; 921 
23-Jan;TABUNGAN; 283 ; 254 ; 368 ; 211 ; 217 ; 245 ; 223 ; 175 ; 338 ; 634 ; 256 ; 370 ; 423 ; 210 ; 134 ; 163 ; 330 ; 502 ; 260 ; 213 ; 213 ; 204 ; 707 ; 686 ; 268 ; 441 ; 227 ; 448 ; 231 ; 948 
24-Jan;TABUNGAN; 281 ; 255 ; 362 ; 207 ; 217 ; 243 ; 222 ; 174 ; 338 ; 630 ; 255 ; 374 ; 420 ; 208 ; 132 ; 163 ; 330 ; 500 ; 255 ; 212 ; 212 ; 202 ; 703 ; 686 ; 263 ; 440 ; 227 ; 446 ; 230 ; 940 
25-Jan;TABUNGAN; 278 ; 253 ; 359 ; 203 ; 217 ; 242 ; 218 ; 173 ; 338 ; 629 ; 255 ; 374 ; 419 ; 206 ; 130 ; 163 ; 329 ; 496 ; 255 ; 210 ; 211 ; 202 ; 701 ; 686 ; 262 ; 434 ; 225 ; 445 ; 229 ; 937 
26-Jan;TABUNGAN; 281 ; 252 ; 350 ; 216 ; 216 ; 247 ; 216 ; 171 ; 332 ; 628 ; 251 ; 373 ; 417 ; 207 ; 129 ; 164 ; 295 ; 509 ; 256 ; 210 ; 206 ; 199 ; 644 ; 683 ; 266 ; 450 ; 232 ; 447 ; 232 ; 938 
27-Jan;TABUNGAN; 284 ; 251 ; 338 ; 207 ; 217 ; 246 ; 217 ; 180 ; 332 ; 633 ; 249 ; 371 ; 421 ; 208 ; 129 ; 160 ; 295 ; 511 ; 267 ; 210 ; 206 ; 197 ; 641 ; 720 ; 267 ; 500 ; 283 ; 468 ; 434 ; 922 
28-Jan;TABUNGAN; 282 ; 249 ; 352 ; 211 ; 218 ; 246 ; 218 ; 174 ; 333 ; 641 ; 252 ; 365 ; 416 ; 209 ; 129 ; 160 ; 295 ; 511 ; 262 ; 205 ; 208 ; 197 ; 641 ; 755 ; 272 ; 513 ; 282 ; 474 ; 460 ; 932 
29-Jan;TABUNGAN; 282 ; 273 ; 352 ; 219 ; 219 ; 246 ; 218 ; 171 ; 338 ; 640 ; 253 ; 395 ; 419 ; 210 ; 130 ; 163 ; 292 ; 511 ; 261 ; 206 ; 209 ; 227 ; 641 ; 757 ; 279 ; 524 ; 288 ; 499 ; 457 ; 940 
30-Jan;TABUNGAN; 288 ; 277 ; 372 ; 226 ; 222 ; 256 ; 224 ; 240 ; 346 ; 730 ; 253 ; 394 ; 418 ; 208 ; 132 ; 170 ; 322 ; 567 ; 285 ; 228 ; 220 ; 264 ; 670 ; 825 ; 291 ; 529 ; 233 ; 578 ; 467 ; 1.036 
31-Jan;TABUNGAN; 288 ; 287 ; 365 ; 232 ; 220 ; 260 ; 223 ; 244 ; 348 ; 731 ; 256 ; 399 ; 425 ; 209 ; 136 ; 170 ; 320 ; 568 ; 295 ; 229 ; 219 ; 270 ; 676 ; 825 ; 287 ; 533 ; 232 ; 577 ; 466 ; 1.033 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Feb;TABUNGAN; 297 ; 289 ; 369 ; 229 ; 219 ; 264 ; 228 ; 247 ; 354 ; 740 ; 260 ; 410 ; 433 ; 215 ; 141 ; 174 ; 330 ; 590 ; 293 ; 235 ; 222 ; 270 ; 682 ; 840 ; 295 ; 538 ; 232 ; 582 ; 471 ; 1.079 
02-Feb;TABUNGAN; 291 ; 279 ; 371 ; 217 ; 220 ; 257 ; 226 ; 245 ; 350 ; 732 ; 253 ; 403 ; 429 ; 212 ; 135 ; 169 ; 300 ; 532 ; 276 ; 233 ; 212 ; 264 ; 680 ; 789 ; 292 ; 532 ; 228 ; 545 ; 470 ; 999 
03-Feb;TABUNGAN; 286 ; 277 ; 359 ; 213 ; 220 ; 256 ; 223 ; 252 ; 353 ; 729 ; 254 ; 404 ; 426 ; 221 ; 135 ; 169 ; 299 ; 536 ; 263 ; 227 ; 212 ; 243 ; 674 ; 788 ; 287 ; 537 ; 173 ; 515 ; 267 ; 988 
04-Feb;TABUNGAN; 283 ; 275 ; 356 ; 215 ; 220 ; 254 ; 222 ; 249 ; 352 ; 730 ; 252 ; 403 ; 416 ; 221 ; 135 ; 167 ; 296 ; 532 ; 260 ; 220 ; 212 ; 238 ; 670 ; 794 ; 284 ; 515 ; 172 ; 489 ; 263 ; 986 
05-Feb;TABUNGAN; 283 ; 275 ; 357 ; 209 ; 220 ; 249 ; 219 ; 254 ; 352 ; 726 ; 247 ; 402 ; 431 ; 213 ; 138 ; 167 ; 297 ; 527 ; 258 ; 222 ; 212 ; 241 ; 671 ; 793 ; 278 ; 509 ; 172 ; 496 ; 239 ; 982 
06-Feb;TABUNGAN; 283 ; 274 ; 355 ; 207 ; 221 ; 251 ; 221 ; 180 ; 355 ; 761 ; 250 ; 398 ; 427 ; 212 ; 140 ; 167 ; 321 ; 524 ; 265 ; 220 ; 219 ; 248 ; 650 ; 836 ; 292 ; 505 ; 223 ; 508 ; 239 ; 975 
07-Feb;TABUNGAN; 280 ; 272 ; 351 ; 199 ; 221 ; 249 ; 220 ; 179 ; 354 ; 758 ; 250 ; 400 ; 424 ; 210 ; 139 ; 166 ; 321 ; 519 ; 266 ; 219 ; 216 ; 247 ; 646 ; 831 ; 289 ; 501 ; 224 ; 505 ; 238 ; 972 
08-Feb;TABUNGAN; 278 ; 271 ; 349 ; 198 ; 220 ; 247 ; 219 ; 178 ; 355 ; 756 ; 249 ; 400 ; 422 ; 210 ; 139 ; 167 ; 321 ; 515 ; 264 ; 219 ; 217 ; 245 ; 646 ; 831 ; 286 ; 498 ; 223 ; 504 ; 237 ; 968 
09-Feb;TABUNGAN; 280 ; 254 ; 347 ; 195 ; 215 ; 247 ; 218 ; 178 ; 344 ; 763 ; 249 ; 401 ; 416 ; 208 ; 133 ; 167 ; 297 ; 513 ; 261 ; 215 ; 217 ; 204 ; 647 ; 767 ; 288 ; 494 ; 223 ; 503 ; 237 ; 956 
