Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 59,00 ; 10,44 ; 69,46 ; 138,90 
542; KCP Pangandaran; 14,26 ; 4,94 ; 85,44 ; 104,63 
543; KCP Pelabuhan Ratu; 6,48 ; 32,28 ; 48,13 ; 86,88 
593; KCP ITB; 89,94 ; 92,56 ; 58,72 ; 241,22 
598; KCP BRI JATINANGOR; 17,84 ; 9,28 ; 126,87 ; 153,99 
599; KCP Patrol; 5,30 ; 7,74 ; 63,89 ; 76,93 
600; KCP SUMBER SARI; 8,08 ; 20,74 ; 67,39 ; 96,21 
601; KCP Weru; 37,98 ; 29,28 ; 117,30 ; 184,56 
650; KCP OTTO ISKANDARDINATA; 33,82 ; 3,99 ; 61,83 ; 99,65 
655; KCP SETRASARI; 53,35 ; 14,89 ; 93,53 ; 161,77 
656; KCP PADALARANG; 19,18 ; 7,85 ; 63,04 ; 90,08 
673; KCP PASIR KALIKI; -   ; 0,00 ; 0,00 ; 0,00 
674; KCP PASAR BARU BANDUNG DS; -   ; -   ; 0,00 ; 0,00 
675; KCP RAJAWALI BANDUNG; 29,65 ; 11,45 ; 54,63 ; 95,74 
1070; KCP CIJERAH; 38,55 ; 11,23 ; 68,80 ; 118,59 
1071; KCP CIMINDI; 21,42 ; 14,55 ; 72,90 ; 108,87 
1077; KCP PETA; -   ; -   ; 0,09 ; 0,09 
1078; KCP SUMBER; 17,68 ; 4,32 ; 93,30 ; 115,30 
1107; KCP METRO TRADE CENTER; 22,53 ; 6,94 ; 72,00 ; 101,47 
1108; KCP ABDUL FATAH; -   ; -   ; 0,01 ; 0,01 
1139; KCP RANCAEKEK; 25,12 ; 2,96 ; 38,65 ; 66,72 
1140; KCP BANJARAN; 17,31 ; 8,72 ; 55,16 ; 81,19 
1141; KCP SUMMARECON BANDUNG; 24,72 ; 30,47 ; 62,25 ; 117,44 
1337; KCP CIKURUBUK; -   ; -   ; 0,00 ; 0,00 
1345; KCP GUNTUR; -   ; 0,00 ; 0,01 ; 0,02 
1346; KCP CIKAJANG; 10,90 ; 4,32 ; 67,98 ; 83,20 
1355; KCP CICURUG; 6,12 ; 22,86 ; 43,19 ; 72,17 
1437; KCP CIAWI TASIKMALAYA; 4,69 ; 5,47 ; 50,63 ; 60,79 
1596; KCP TELKOM BANDUNG; 9,19 ; 106,19 ; 44,98 ; 160,36 
2000; KCP CIHAMPELAS; -   ; 0,00 ; 0,01 ; 0,01 
2016; KCP LEMBANG; 26,29 ; 8,20 ; 61,33 ; 95,83 
2058; KCP BATUNUNGGAL; 50,20 ; 31,49 ; 69,78 ; 151,48 
2103; KCP Mekarwangi; -   ; -   ; 0,00 ; 0,00 
2104; KCP RIAU; 33,91 ; 11,54 ; 80,09 ; 125,53 
2105; KCP SUCI; 49,19 ; 14,58 ; 61,15 ; 124,92 
2128; KCP CILEDUG CIREBON; 10,21 ; 4,33 ; 101,42 ; 115,95 
2154; KCP ANTAPANI; 14,71 ; 6,89 ; 48,27 ; 69,87 
2155; KCP TAMAN KOPO INDAH; 14,25 ; 2,48 ; 61,07 ; 77,80 
2184; KCP TAMAN KOPO INDAH II; 20,30 ; 9,39 ; 70,93 ; 100,63 
2229; KCP SURADE; 4,97 ; 3,20 ; 33,43 ; 41,60 
2230; KCP CIRANJANG; 9,68 ; 2,38 ; 35,72 ; 47,78 
2231; KCP SUKANAGARA; 1,04 ; 1,66 ; 36,41 ; 39,11 
Grand Total;Grand Total; 808 ; 560 ; 2.240 ; 3.607 
