Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 59,00 ; 11,87 ; 71,78 ; 142,65 
542; KCP Pangandaran; 14,26 ; 5,41 ; 84,29 ; 103,97 
543; KCP Pelabuhan Ratu; 6,63 ; 32,04 ; 57,41 ; 96,09 
593; KCP ITB; 89,39 ; 96,90 ; 66,73 ; 253,02 
598; KCP BRI JATINANGOR; 17,98 ; 10,90 ; 124,35 ; 153,23 
599; KCP Patrol; 5,30 ; 8,07 ; 67,40 ; 80,77 
600; KCP SUMBER SARI; 8,19 ; 14,72 ; 67,05 ; 89,95 
601; KCP Weru; 38,00 ; 27,84 ; 119,03 ; 184,87 
650; KCP OTTO ISKANDARDINATA; 33,63 ; 3,98 ; 65,24 ; 102,85 
655; KCP SETRASARI; 52,85 ; 16,31 ; 102,02 ; 171,19 
656; KCP PADALARANG; 19,45 ; 8,01 ; 65,48 ; 92,93 
673; KCP PASIR KALIKI; -   ; 0,00 ; 0,00 ; 0,00 
674; KCP PASAR BARU BANDUNG DS; -   ; -   ; 0,00 ; 0,00 
675; KCP RAJAWALI BANDUNG; 29,35 ; 12,96 ; 57,22 ; 99,53 
1070; KCP CIJERAH; 38,55 ; 12,89 ; 72,60 ; 124,03 
1071; KCP CIMINDI; 21,33 ; 18,45 ; 74,87 ; 114,65 
1077; KCP PETA; -   ; -   ; 0,09 ; 0,09 
1078; KCP SUMBER; 17,41 ; 5,44 ; 99,77 ; 122,62 
1107; KCP METRO TRADE CENTER; 21,10 ; 7,71 ; 77,49 ; 106,30 
1108; KCP ABDUL FATAH; -   ; -   ; 0,01 ; 0,01 
1139; KCP RANCAEKEK; 25,16 ; 3,10 ; 40,72 ; 68,98 
1140; KCP BANJARAN; 21,40 ; 8,56 ; 57,41 ; 87,37 
1141; KCP SUMMARECON BANDUNG; 24,62 ; 29,50 ; 67,35 ; 121,46 
1337; KCP CIKURUBUK; -   ; -   ; 0,00 ; 0,00 
1345; KCP GUNTUR; -   ; 0,00 ; 0,01 ; 0,02 
1346; KCP CIKAJANG; 10,90 ; 4,72 ; 68,30 ; 83,91 
1355; KCP CICURUG; 6,13 ; 23,58 ; 43,18 ; 72,89 
1437; KCP CIAWI TASIKMALAYA; 4,84 ; 5,34 ; 52,16 ; 62,34 
1596; KCP TELKOM BANDUNG; 9,21 ; 106,34 ; 42,82 ; 158,37 
1809; KCP MANGUNSARKORO; -   ; -   ; -   ; -   
2000; KCP CIHAMPELAS; -   ; 0,00 ; 0,01 ; 0,01 
2016; KCP LEMBANG; 26,29 ; 8,36 ; 66,16 ; 100,81 
2058; KCP BATUNUNGGAL; 50,20 ; 33,69 ; 69,41 ; 153,30 
2103; KCP Mekarwangi; -   ; -   ; 0,00 ; 0,00 
2104; KCP RIAU; 33,71 ; 12,71 ; 81,98 ; 128,40 
2105; KCP SUCI; 49,24 ; 14,02 ; 63,85 ; 127,11 
2128; KCP CILEDUG CIREBON; 10,21 ; 6,66 ; 102,99 ; 119,86 
2154; KCP ANTAPANI; 14,91 ; 7,37 ; 48,36 ; 70,64 
2155; KCP TAMAN KOPO INDAH; 14,27 ; 2,49 ; 65,63 ; 82,39 
2184; KCP TAMAN KOPO INDAH II; 20,30 ; 9,10 ; 71,68 ; 101,09 
2229; KCP SURADE; 5,32 ; 4,18 ; 35,77 ; 45,28 
2230; KCP CIRANJANG; 9,68 ; 4,13 ; 43,70 ; 57,51 
2231; KCP SUKANAGARA; 1,04 ; 3,10 ; 36,23 ; 40,37 
Grand Total;Grand Total; 810 ; 580 ; 2.331 ; 3.721 
