Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 59,00 ; 10,39 ; 70,53 ; 139,93 
542; KCP Pangandaran; 14,31 ; 5,18 ; 83,78 ; 103,27 
543; KCP Pelabuhan Ratu; 6,63 ; 30,88 ; 52,23 ; 89,75 
593; KCP ITB; 89,40 ; 95,43 ; 67,16 ; 251,99 
598; KCP BRI JATINANGOR; 17,95 ; 9,28 ; 128,14 ; 155,38 
599; KCP Patrol; 5,12 ; 8,04 ; 65,92 ; 79,09 
600; KCP SUMBER SARI; 8,11 ; 16,56 ; 66,43 ; 91,10 
601; KCP Weru; 38,02 ; 28,84 ; 121,77 ; 188,63 
650; KCP OTTO ISKANDARDINATA; 33,63 ; 4,05 ; 65,66 ; 103,35 
655; KCP SETRASARI; 52,88 ; 13,82 ; 95,55 ; 162,26 
656; KCP PADALARANG; 19,45 ; 7,24 ; 64,36 ; 91,04 
673; KCP PASIR KALIKI; -   ; 0,00 ; 0,00 ; 0,00 
674; KCP PASAR BARU BANDUNG DS; -   ; -   ; 0,00 ; 0,00 
675; KCP RAJAWALI BANDUNG; 29,17 ; 10,42 ; 51,72 ; 91,31 
1070; KCP CIJERAH; 38,46 ; 11,15 ; 70,83 ; 120,44 
1071; KCP CIMINDI; 21,33 ; 16,96 ; 76,32 ; 114,61 
1077; KCP PETA; -   ; -   ; 0,09 ; 0,09 
1078; KCP SUMBER; 17,11 ; 3,75 ; 99,41 ; 120,27 
1107; KCP METRO TRADE CENTER; 21,12 ; 7,26 ; 76,31 ; 104,69 
1108; KCP ABDUL FATAH; -   ; -   ; 0,01 ; 0,01 
1139; KCP RANCAEKEK; 25,16 ; 2,07 ; 40,54 ; 67,77 
1140; KCP BANJARAN; 21,40 ; 9,00 ; 55,19 ; 85,59 
1141; KCP SUMMARECON BANDUNG; 26,55 ; 29,17 ; 62,71 ; 118,43 
1337; KCP CIKURUBUK; -   ; -   ; 0,00 ; 0,00 
1345; KCP GUNTUR; -   ; 0,00 ; 0,01 ; 0,02 
1346; KCP CIKAJANG; 10,90 ; 3,56 ; 67,95 ; 82,40 
1355; KCP CICURUG; 6,12 ; 22,78 ; 43,52 ; 72,42 
1437; KCP CIAWI TASIKMALAYA; 4,84 ; 5,92 ; 51,52 ; 62,27 
1596; KCP TELKOM BANDUNG; 9,21 ; 106,62 ; 41,81 ; 157,64 
1809; KCP MANGUNSARKORO; -   ; -   ; -   ; -   
2000; KCP CIHAMPELAS; -   ; 0,00 ; 0,01 ; 0,01 
2016; KCP LEMBANG; 26,29 ; 8,27 ; 62,28 ; 96,85 
2058; KCP BATUNUNGGAL; 50,20 ; 32,51 ; 70,54 ; 153,25 
2103; KCP Mekarwangi; -   ; -   ; 0,00 ; 0,00 
2104; KCP RIAU; 33,82 ; 10,59 ; 107,81 ; 152,21 
2105; KCP SUCI; 49,28 ; 13,81 ; 61,53 ; 124,61 
2128; KCP CILEDUG CIREBON; 10,21 ; 3,76 ; 97,18 ; 111,15 
2154; KCP ANTAPANI; 14,91 ; 6,38 ; 49,17 ; 70,46 
2155; KCP TAMAN KOPO INDAH; 13,74 ; 2,31 ; 65,40 ; 81,45 
2184; KCP TAMAN KOPO INDAH II; 20,06 ; 8,75 ; 72,58 ; 101,39 
2229; KCP SURADE; 5,28 ; 3,89 ; 33,81 ; 42,98 
2230; KCP CIRANJANG; 9,68 ; 2,96 ; 39,35 ; 51,99 
2231; KCP SUKANAGARA; 1,04 ; 2,20 ; 37,16 ; 40,40 
Grand Total;Grand Total; 810 ; 554 ; 2.316 ; 3.680 
