Row L;uker;Deposito;Giro;Tabungan;Grand Total
517; KCP Cipanas;59,40;8,86;55,28;123,54
542; KCP Pangandaran;15,83;2,66;75,81;94,31
543; KCP Pelabuhan Ratu;6,86;28,05;47,50;82,41
593; KCP ITB;83,68;49,14;59,20;192,02
598; KCP BRI JATINANGOR;16,95;13,14;114,09;144,19
599; KCP Patrol;4,08;5,21;59,00;68,29
600; KCP SUMBER SARI;7,97;10,90;62,71;81,58
601; KCP Weru;16,89;39,54;97,42;153,84
650; KCP OTTO ISKANDARDINATA;36,45;9,77;51,77;97,98
655; KCP SETRASARI;37,91;17,88;80,28;136,08
656; KCP PADALARANG;19,16;9,77;61,78;90,72
673; KCP PASIR KALIKI;;0,00;;0,00
674; KCP PASAR BARU BANDUNG DS;;;0,00;0,00
675; KCP RAJAWALI BANDUNG;28,53;14,69;50,95;94,17
1070; KCP CIJERAH;33,14;5,30;63,27;101,71
1071; KCP CIMINDI;12,98;14,17;61,66;88,81
1077; KCP PETA;;;0,08;0,08
1078; KCP SUMBER;16,79;3,18;89,46;109,43
1107; KCP METRO TRADE CENTER;20,13;12,57;85,27;117,98
1108; KCP ABDUL FATAH;;;0,00;0,00
1139; KCP RANCAEKEK;8,09;2,44;33,58;44,11
1140; KCP BANJARAN;11,21;6,65;55,31;73,18
1141; KCP SUMMARECON BANDUNG;37,16;40,02;72,35;149,53
1337; KCP CIKURUBUK;;;0,00;0,00
1345; KCP GUNTUR;;0,00;0,00;0,00
1346; KCP CIKAJANG;9,44;7,12;51,34;67,90
1355; KCP CICURUG;8,30;11,92;39,55;59,76
1437; KCP CIAWI TASIKMALAYA;3,77;4,81;46,91;55,49
1596; KCP TELKOM BANDUNG;13,23;219,32;39,39;271,94
1809; KCP MANGUNSARKORO;;;0,00;0,00
2000; KCP CIHAMPELAS;;0,00;0,00;0,00
2016; KCP LEMBANG;26,94;9,65;54,22;90,81
2058; KCP BATUNUNGGAL;49,32;41,94;56,30;147,56
2103; KCP Mekarwangi;;;0,00;0,00
2104; KCP RIAU;35,42;22,77;86,63;144,83
2105; KCP SUCI;45,80;16,52;55,14;117,45
2128; KCP CILEDUG CIREBON;14,59;5,37;66,44;86,41
2154; KCP ANTAPANI;13,38;6,48;46,10;65,96
2155; KCP TAMAN KOPO INDAH;14,21;2,69;70,48;87,39
2184; KCP TAMAN KOPO INDAH II;18,86;6,77;62,76;88,38
2229; KCP SURADE;8,34;2,43;28,94;39,70
2230; KCP CIRANJANG;2,46;2,33;33,85;38,64
2231; KCP SUKANAGARA;0,86;1,22;22,17;24,25
