kode Uker;nama uker; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 59,422 ; 7,838 ; 56,635 ; 123,895 
542; KCP Pangandaran; 15,847 ; 2,603 ; 71,775 ; 90,225 
543; KCP Pelabuhan Ratu; 5,875 ; 23,106 ; 50,645 ; 79,626 
593; KCP ITB; 85,673 ; 62,555 ; 56,215 ; 204,443 
598; KCP BRI JATINANGOR; 18,284 ; 11,511 ; 118,312 ; 148,107 
599; KCP Patrol; 4,154 ; 6,079 ; 62,079 ; 72,312 
600; KCP SUMBER SARI; 7,515 ; 6,455 ; 67,895 ; 81,865 
601; KCP Weru; 17,053 ; 30,386 ; 100,188 ; 147,627 
650; KCP OTTO ISKANDARDINATA; 27,500 ; 10,068 ; 53,201 ; 90,770 
655; KCP SETRASARI; 37,673 ; 17,006 ; 68,749 ; 123,427 
656; KCP PADALARANG; 18,677 ; 9,227 ; 60,706 ; 88,610 
673; KCP PASIR KALIKI;; 0,000 ;; 0,000 
674; KCP PASAR BARU BANDUNG DS;;; 0,001 ; 0,001 
675; KCP RAJAWALI BANDUNG; 27,851 ; 12,062 ; 47,137 ; 87,049 
1070; KCP CIJERAH; 32,002 ; 4,679 ; 63,889 ; 100,570 
1071; KCP CIMINDI; 13,787 ; 12,207 ; 54,344 ; 80,338 
1077; KCP PETA;;; 0,078 ; 0,078 
1078; KCP SUMBER; 16,883 ; 2,645 ; 92,735 ; 112,263 
1107; KCP METRO TRADE CENTER; 19,061 ; 11,276 ; 76,532 ; 106,869 
1108; KCP ABDUL FATAH;;; 0,004 ; 0,004 
1139; KCP RANCAEKEK; 8,098 ; 2,603 ; 36,955 ; 47,657 
1140; KCP BANJARAN; 11,077 ; 9,787 ; 55,923 ; 76,787 
1141; KCP SUMMARECON BANDUNG; 30,760 ; 41,254 ; 75,828 ; 147,842 
1337; KCP CIKURUBUK;;; 0,000 ; 0,000 
1345; KCP GUNTUR;; 0,000 ; 0,005 ; 0,005 
1346; KCP CIKAJANG; 9,583 ; 7,511 ; 54,434 ; 71,528 
1355; KCP CICURUG; 8,333 ; 28,154 ; 33,278 ; 69,766 
1437; KCP CIAWI TASIKMALAYA; 3,469 ; 4,416 ; 47,952 ; 55,837 
1596; KCP TELKOM BANDUNG; 13,022 ; 106,201 ; 38,806 ; 158,029 
1809; KCP MANGUNSARKORO;;; -   ; -   
2000; KCP CIHAMPELAS;; 0,000 ; 0,003 ; 0,003 
2016; KCP LEMBANG; 26,689 ; 8,849 ; 49,249 ; 84,787 
2058; KCP BATUNUNGGAL; 49,381 ; 29,652 ; 55,950 ; 134,983 
2103; KCP Mekarwangi;;; 0,000 ; 0,000 
2104; KCP RIAU; 30,679 ; 13,771 ; 86,074 ; 130,524 
2105; KCP SUCI; 44,760 ; 15,568 ; 58,370 ; 118,698 
2128; KCP CILEDUG CIREBON; 14,179 ; 5,367 ; 66,391 ; 85,938 
2154; KCP ANTAPANI; 13,061 ; 6,555 ; 47,791 ; 67,406 
2155; KCP TAMAN KOPO INDAH; 14,096 ; 12,567 ; 66,350 ; 93,012 
2184; KCP TAMAN KOPO INDAH II; 19,215 ; 6,053 ; 62,615 ; 87,883 
2229; KCP SURADE; 8,097 ; 1,283 ; 31,774 ; 41,153 
2230; KCP CIRANJANG; 2,321 ; 2,972 ; 36,996 ; 42,288 
2231; KCP SUKANAGARA; 0,815 ; 1,054 ; 23,934 ; 25,803 
