Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 59,45 ; 9,43 ; 67,95 ; 136,82 
542; KCP Pangandaran; 15,77 ; 2,91 ; 70,81 ; 89,49 
543; KCP Pelabuhan Ratu; 5,60 ; 24,43 ; 49,74 ; 79,78 
593; KCP ITB; 85,89 ; 59,11 ; 76,94 ; 221,94 
598; KCP BRI JATINANGOR; 18,35 ; 10,93 ; 115,97 ; 145,26 
599; KCP Patrol; 4,14 ; 4,50 ; 63,35 ; 71,99 
600; KCP SUMBER SARI; 7,62 ; 5,12 ; 70,10 ; 82,83 
601; KCP Weru; 17,15 ; 28,65 ; 100,08 ; 145,88 
650; KCP OTTO ISKANDARDINATA; 33,55 ; 3,49 ; 53,41 ; 90,45 
655; KCP SETRASARI; 38,88 ; 14,69 ; 92,81 ; 146,37 
656; KCP PADALARANG; 18,69 ; 7,70 ; 63,03 ; 89,42 
673; KCP PASIR KALIKI;; 0,00 ;; 0,00 
674; KCP PASAR BARU BANDUNG DS;;; 0,00 ; 0,00 
675; KCP RAJAWALI BANDUNG; 27,75 ; 12,50 ; 54,79 ; 95,03 
1070; KCP CIJERAH; 32,08 ; 5,70 ; 64,42 ; 102,20 
1071; KCP CIMINDI; 13,45 ; 14,05 ; 56,33 ; 83,82 
1077; KCP PETA;;; 0,08 ; 0,08 
1078; KCP SUMBER; 17,11 ; 4,25 ; 91,06 ; 112,42 
1107; KCP METRO TRADE CENTER; 18,88 ; 12,53 ; 80,68 ; 112,09 
1108; KCP ABDUL FATAH;;; 0,00 ; 0,00 
1139; KCP RANCAEKEK; 7,97 ; 2,53 ; 38,64 ; 49,15 
1140; KCP BANJARAN; 11,08 ; 10,11 ; 52,97 ; 74,16 
1141; KCP SUMMARECON BANDUNG; 28,24 ; 41,42 ; 83,45 ; 153,11 
1337; KCP CIKURUBUK;;; 0,00 ; 0,00 
1345; KCP GUNTUR;; 0,00 ; 0,00 ; 0,01 
1346; KCP CIKAJANG; 9,49 ; 7,47 ; 52,98 ; 69,94 
1355; KCP CICURUG; 8,34 ; 34,88 ; 39,46 ; 82,69 
1437; KCP CIAWI TASIKMALAYA; 3,20 ; 5,30 ; 48,68 ; 57,18 
1596; KCP TELKOM BANDUNG; 13,02 ; 109,55 ; 40,48 ; 163,05 
1809; KCP MANGUNSARKORO;;; 0,00 ; 0,00 
2000; KCP CIHAMPELAS;; 0,00 ; 0,00 ; 0,00 
2016; KCP LEMBANG; 27,28 ; 6,99 ; 53,05 ; 87,32 
2058; KCP BATUNUNGGAL; 48,32 ; 19,58 ; 65,56 ; 133,47 
2103; KCP Mekarwangi;;; 0,00 ; 0,00 
2104; KCP RIAU; 30,63 ; 15,55 ; 91,44 ; 137,62 
2105; KCP SUCI; 44,99 ; 14,67 ; 60,15 ; 119,80 
2128; KCP CILEDUG CIREBON; 14,28 ; 5,63 ; 66,62 ; 86,53 
2154; KCP ANTAPANI; 13,07 ; 6,49 ; 54,04 ; 73,60 
2155; KCP TAMAN KOPO INDAH; 14,27 ; 12,51 ; 65,98 ; 92,77 
2184; KCP TAMAN KOPO INDAH II; 18,98 ; 7,65 ; 61,73 ; 88,36 
2229; KCP SURADE; 7,72 ; 2,26 ; 31,58 ; 41,55 
2230; KCP CIRANJANG; 2,32 ; 2,90 ; 43,20 ; 48,42 
2231; KCP SUKANAGARA; 0,86 ; 1,18 ; 25,54 ; 27,59 
