Row L;uker;Deposito;Giro;Tabungan;Grand Total
517; KCP Cipanas;59,40;9,81;69,15;138,36
542; KCP Pangandaran;15,86;2,79;76,33;94,98
543; KCP Pelabuhan Ratu;6,81;23,11;54,09;84,01
593; KCP ITB;83,68;45,64;70,51;199,83
598; KCP BRI JATINANGOR;17,00;11,16;113,91;142,07
599; KCP Patrol;4,08;5,48;61,09;70,65
600; KCP SUMBER SARI;7,50;7,72;64,63;79,84
601; KCP Weru;16,99;39,76;96,44;153,19
650; KCP OTTO ISKANDARDINATA;36,45;9,68;53,00;99,12
655; KCP SETRASARI;37,97;18,09;88,06;144,12
656; KCP PADALARANG;19,16;11,91;63,05;94,12
673; KCP PASIR KALIKI;;0,00;;0,00
674; KCP PASAR BARU BANDUNG DS;;;0,00;0,00
675; KCP RAJAWALI BANDUNG;28,53;14,20;53,78;96,51
1070; KCP CIJERAH;33,14;6,04;65,29;104,47
1071; KCP CIMINDI;13,61;14,17;61,04;88,82
1077; KCP PETA;;;0,08;0,08
1078; KCP SUMBER;16,79;3,17;87,47;107,43
1107; KCP METRO TRADE CENTER;20,13;14,41;88,38;122,92
1108; KCP ABDUL FATAH;;;0,00;0,00
1139; KCP RANCAEKEK;8,09;2,48;35,21;45,79
1140; KCP BANJARAN;11,21;7,70;55,13;74,04
1141; KCP SUMMARECON BANDUNG;37,13;38,38;77,52;153,03
1337; KCP CIKURUBUK;;;0,00;0,00
1345; KCP GUNTUR;;0,00;0,00;0,00
1346; KCP CIKAJANG;9,44;6,75;52,13;68,32
1355; KCP CICURUG;8,30;12,62;39,69;60,61
1437; KCP CIAWI TASIKMALAYA;3,77;4,90;47,47;56,15
1596; KCP TELKOM BANDUNG;13,23;196,20;41,20;250,63
1809; KCP MANGUNSARKORO;;;0,00;0,00
2000; KCP CIHAMPELAS;;0,00;0,00;0,00
2016; KCP LEMBANG;26,64;9,33;55,46;91,44
2058; KCP BATUNUNGGAL;49,32;35,21;56,49;141,02
2103; KCP Mekarwangi;;;0,00;0,00
2104; KCP RIAU;35,46;23,29;93,31;152,06
2105; KCP SUCI;45,76;14,89;57,92;118,57
2128; KCP CILEDUG CIREBON;14,59;5,42;66,86;86,87
2154; KCP ANTAPANI;13,22;6,41;49,83;69,45
2155; KCP TAMAN KOPO INDAH;14,21;3,20;70,98;88,39
2184; KCP TAMAN KOPO INDAH II;18,86;6,95;62,66;88,47
2229; KCP SURADE;8,34;2,22;31,45;42,01
2230; KCP CIRANJANG;2,46;2,70;40,15;45,32
2231; KCP SUKANAGARA;0,86;1,16;24,32;26,34
