Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 57,38 ; 5,06 ; 62,73 ; 125,17 
542; KCP Pangandaran; 15,55 ; 3,21 ; 81,61 ; 100,38 
543; KCP Pelabuhan Ratu; 5,53 ; 26,72 ; 56,44 ; 88,70 
593; KCP ITB; 84,76 ; 82,82 ; 54,66 ; 222,24 
598; KCP BRI JATINANGOR; 17,61 ; 7,59 ; 117,15 ; 142,35 
599; KCP Patrol; 5,27 ; 8,61 ; 67,13 ; 81,01 
600; KCP SUMBER SARI; 7,63 ; 41,34 ; 65,27 ; 114,24 
601; KCP Weru; 16,34 ; 39,38 ; 178,38 ; 234,10 
650; KCP OTTO ISKANDARDINATA; 33,70 ; 5,94 ; 54,55 ; 94,19 
655; KCP SETRASARI; 42,91 ; 17,80 ; 66,44 ; 127,15 
656; KCP PADALARANG; 17,34 ; 5,72 ; 61,26 ; 84,31 
673; KCP PASIR KALIKI;; 0,00 ; -   ; 0,00 
674; KCP PASAR BARU BANDUNG DS;;; 0,00 ; 0,00 
675; KCP RAJAWALI BANDUNG; 26,01 ; 12,19 ; 58,36 ; 96,56 
1070; KCP CIJERAH; 31,31 ; 10,99 ; 71,56 ; 113,86 
1071; KCP CIMINDI; 9,70 ; 14,30 ; 59,14 ; 83,14 
1077; KCP PETA;;; 0,09 ; 0,09 
1078; KCP SUMBER; 16,41 ; 5,07 ; 94,14 ; 115,63 
1107; KCP METRO TRADE CENTER; 18,53 ; 8,88 ; 72,47 ; 99,88 
1108; KCP ABDUL FATAH;;; 0,01 ; 0,01 
1139; KCP RANCAEKEK; 8,12 ; 2,35 ; 38,93 ; 49,41 
1140; KCP BANJARAN; 8,78 ; 6,88 ; 54,41 ; 70,07 
1141; KCP SUMMARECON BANDUNG; 28,38 ; 36,17 ; 70,60 ; 135,16 
1337; KCP CIKURUBUK;;; 0,00 ; 0,00 
1345; KCP GUNTUR;; 0,00 ; 0,01 ; 0,01 
1346; KCP CIKAJANG; 9,84 ; 4,59 ; 58,32 ; 72,75 
1355; KCP CICURUG; 9,10 ; 8,78 ; 34,39 ; 52,28 
1437; KCP CIAWI TASIKMALAYA; 3,21 ; 4,40 ; 51,23 ; 58,83 
1596; KCP TELKOM BANDUNG; 12,19 ; 105,15 ; 40,07 ; 157,41 
1809; KCP MANGUNSARKORO;;; 0,00 ; 0,00 
2000; KCP CIHAMPELAS;; 0,00 ; 0,01 ; 0,01 
2016; KCP LEMBANG; 29,34 ; 5,78 ; 54,54 ; 89,65 
2058; KCP BATUNUNGGAL; 49,53 ; 28,11 ; 77,56 ; 155,21 
2103; KCP Mekarwangi;;; 0,00 ; 0,00 
2104; KCP RIAU; 30,58 ; 14,26 ; 72,94 ; 117,78 
2105; KCP SUCI; 45,98 ; 14,13 ; 59,99 ; 120,11 
2128; KCP CILEDUG CIREBON; 14,27 ; 1,92 ; 71,51 ; 87,70 
2154; KCP ANTAPANI; 13,55 ; 9,87 ; 48,98 ; 72,39 
2155; KCP TAMAN KOPO INDAH; 13,13 ; 2,37 ; 71,85 ; 87,35 
2184; KCP TAMAN KOPO INDAH II; 18,72 ; 7,44 ; 69,72 ; 95,88 
2229; KCP SURADE; 5,93 ; 2,32 ; 35,65 ; 43,90 
2230; KCP CIRANJANG; 2,32 ; 2,69 ; 32,87 ; 37,88 
2231; KCP SUKANAGARA; 0,82 ; 1,51 ; 24,99 ; 27,32 
Grand Total;Grand Total; 710 ; 554 ; 2.190 ; 3.454 
