Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 58,87 ; 9,68 ; 70,76 ; 139,31 
542; KCP Pangandaran; 18,32 ; 5,59 ; 83,52 ; 107,43 
543; KCP Pelabuhan Ratu; 6,69 ; 37,11 ; 49,40 ; 93,19 
593; KCP ITB; 89,33 ; 75,90 ; 58,33 ; 223,56 
598; KCP BRI JATINANGOR; 17,92 ; 10,74 ; 125,41 ; 154,07 
599; KCP Patrol; 5,26 ; 8,54 ; 67,81 ; 81,60 
600; KCP SUMBER SARI; 7,95 ; 26,46 ; 67,12 ; 101,53 
601; KCP Weru; 37,14 ; 28,06 ; 124,36 ; 189,56 
650; KCP OTTO ISKANDARDINATA; 33,53 ; 4,03 ; 58,65 ; 96,21 
655; KCP SETRASARI; 53,21 ; 13,05 ; 82,44 ; 148,69 
656; KCP PADALARANG; 18,80 ; 5,85 ; 63,75 ; 88,41 
673; KCP PASIR KALIKI; -   ; 0,00 ; 0,00 ; 0,00 
674; KCP PASAR BARU BANDUNG DS; -   ; -   ; 0,00 ; 0,00 
675; KCP RAJAWALI BANDUNG; 29,74 ; 12,41 ; 55,28 ; 97,43 
1070; KCP CIJERAH; 34,72 ; 9,68 ; 68,33 ; 112,73 
1071; KCP CIMINDI; 21,43 ; 14,60 ; 74,58 ; 110,60 
1077; KCP PETA; -   ; -   ; 0,09 ; 0,09 
1078; KCP SUMBER; 17,07 ; 4,03 ; 96,55 ; 117,64 
1107; KCP METRO TRADE CENTER; 22,44 ; 11,01 ; 70,94 ; 104,40 
1108; KCP ABDUL FATAH; -   ; -   ; 0,01 ; 0,01 
1139; KCP RANCAEKEK; 25,12 ; 3,32 ; 38,87 ; 67,31 
1140; KCP BANJARAN; 19,18 ; 7,48 ; 55,05 ; 81,71 
1141; KCP SUMMARECON BANDUNG; 24,72 ; 28,81 ; 61,20 ; 114,73 
1337; KCP CIKURUBUK; -   ; -   ; 0,00 ; 0,00 
1345; KCP GUNTUR; -   ; 0,00 ; 0,01 ; 0,01 
1346; KCP CIKAJANG; 10,89 ; 4,12 ; 67,63 ; 82,64 
1355; KCP CICURUG; 9,10 ; 15,06 ; 35,80 ; 59,96 
1437; KCP CIAWI TASIKMALAYA; 4,61 ; 5,55 ; 54,18 ; 64,34 
1596; KCP TELKOM BANDUNG; 9,33 ; 107,69 ; 39,74 ; 156,76 
1809; KCP MANGUNSARKORO; -   ; -   ; 0,00 ; 0,00 
2000; KCP CIHAMPELAS; -   ; 0,00 ; 0,01 ; 0,01 
2016; KCP LEMBANG; 26,33 ; 7,78 ; 61,33 ; 95,44 
2058; KCP BATUNUNGGAL; 50,25 ; 33,33 ; 54,91 ; 138,49 
2103; KCP Mekarwangi; -   ; -   ; 0,00 ; 0,00 
2104; KCP RIAU; 33,76 ; 12,32 ; 76,35 ; 122,43 
2105; KCP SUCI; 48,09 ; 14,44 ; 64,41 ; 126,95 
2128; KCP CILEDUG CIREBON; 10,16 ; 4,88 ; 83,75 ; 98,79 
2154; KCP ANTAPANI; 14,78 ; 6,52 ; 49,00 ; 70,29 
2155; KCP TAMAN KOPO INDAH; 14,15 ; 2,48 ; 63,51 ; 80,14 
2184; KCP TAMAN KOPO INDAH II; 20,20 ; 7,11 ; 73,18 ; 100,50 
2229; KCP SURADE; 4,95 ; 4,17 ; 32,87 ; 41,98 
2230; KCP CIRANJANG; 9,52 ; 2,51 ; 39,93 ; 51,96 
2231; KCP SUKANAGARA; 1,04 ; 2,43 ; 37,87 ; 41,35 
Grand Total;Grand Total; 809 ; 547 ; 2.207 ; 3.562 
