Row Labels;Row Labels; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 57,22 ; 7,11 ; 61,97 ; 126,29 
542; KCP Pangandaran; 15,55 ; 3,54 ; 83,28 ; 102,38 
543; KCP Pelabuhan Ratu; 5,73 ; 27,02 ; 54,98 ; 87,73 
593; KCP ITB; 84,81 ; 84,45 ; 55,01 ; 224,27 
598; KCP BRI JATINANGOR; 17,61 ; 8,16 ; 117,37 ; 143,14 
599; KCP Patrol; 5,26 ; 8,83 ; 68,12 ; 82,21 
600; KCP SUMBER SARI; 7,63 ; 43,99 ; 65,04 ; 116,66 
601; KCP Weru; 16,14 ; 39,50 ; 180,88 ; 236,53 
650; KCP OTTO ISKANDARDINATA; 33,70 ; 5,84 ; 56,38 ; 95,93 
655; KCP SETRASARI; 43,02 ; 18,57 ; 58,75 ; 120,34 
656; KCP PADALARANG; 17,39 ; 5,92 ; 62,09 ; 85,39 
673; KCP PASIR KALIKI;; 0,00 ; -   ; 0,00 
674; KCP PASAR BARU BANDUNG DS;;; 0,00 ; 0,00 
675; KCP RAJAWALI BANDUNG; 26,01 ; 11,99 ; 58,87 ; 96,87 
1070; KCP CIJERAH; 31,31 ; 11,81 ; 71,84 ; 114,97 
1071; KCP CIMINDI; 9,91 ; 12,21 ; 55,59 ; 77,72 
1077; KCP PETA;;; 0,09 ; 0,09 
1078; KCP SUMBER; 16,40 ; 5,13 ; 95,90 ; 117,43 
1107; KCP METRO TRADE CENTER; 18,53 ; 9,29 ; 71,23 ; 99,04 
1108; KCP ABDUL FATAH;;; 0,01 ; 0,01 
1139; KCP RANCAEKEK; 8,12 ; 2,49 ; 37,34 ; 47,95 
1140; KCP BANJARAN; 8,78 ; 7,56 ; 54,60 ; 70,94 
1141; KCP SUMMARECON BANDUNG; 28,38 ; 38,92 ; 66,61 ; 133,91 
1337; KCP CIKURUBUK;;; 0,00 ; 0,00 
1345; KCP GUNTUR;; 0,00 ; 0,01 ; 0,01 
1346; KCP CIKAJANG; 9,65 ; 4,67 ; 58,35 ; 72,66 
1355; KCP CICURUG; 9,10 ; 10,55 ; 35,04 ; 54,69 
1437; KCP CIAWI TASIKMALAYA; 3,71 ; 4,37 ; 51,80 ; 59,88 
1596; KCP TELKOM BANDUNG; 12,04 ; 105,88 ; 41,45 ; 159,37 
1809; KCP MANGUNSARKORO;;; 0,00 ; 0,00 
2000; KCP CIHAMPELAS;; 0,00 ; 0,01 ; 0,01 
2016; KCP LEMBANG; 29,34 ; 5,63 ; 54,80 ; 89,77 
2058; KCP BATUNUNGGAL; 49,44 ; 26,01 ; 77,52 ; 152,96 
2103; KCP Mekarwangi;;; 0,00 ; 0,00 
2104; KCP RIAU; 30,22 ; 14,77 ; 73,28 ; 118,26 
2105; KCP SUCI; 43,98 ; 14,75 ; 59,21 ; 117,94 
2128; KCP CILEDUG CIREBON; 14,27 ; 1,50 ; 70,80 ; 86,57 
2154; KCP ANTAPANI; 13,55 ; 10,32 ; 48,94 ; 72,80 
2155; KCP TAMAN KOPO INDAH; 13,08 ; 2,45 ; 71,30 ; 86,83 
2184; KCP TAMAN KOPO INDAH II; 18,69 ; 7,65 ; 72,05 ; 98,39 
2229; KCP SURADE; 5,93 ; 3,04 ; 34,47 ; 43,44 
2230; KCP CIRANJANG; 2,31 ; 2,35 ; 32,99 ; 37,65 
2231; KCP SUKANAGARA; 1,02 ; 1,36 ; 25,63 ; 28,01 
Grand Total;Grand Total; 708 ; 568 ; 2.184 ; 3.459 
