Row Labels;Row Labels; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 57,23 ; 5,54 ; 62,51 ; 125,28 
542; KCP Pangandaran; 15,55 ; 3,45 ; 82,95 ; 101,95 
543; KCP Pelabuhan Ratu; 5,73 ; 16,48 ; 65,20 ; 87,41 
593; KCP ITB; 84,82 ; 83,27 ; 54,99 ; 223,08 
598; KCP BRI JATINANGOR; 17,61 ; 8,78 ; 117,72 ; 144,10 
599; KCP Patrol; 5,26 ; 8,80 ; 69,30 ; 83,36 
600; KCP SUMBER SARI; 7,53 ; 21,78 ; 63,68 ; 92,99 
601; KCP Weru; 16,14 ; 30,61 ; 116,11 ; 162,87 
650; KCP OTTO ISKANDARDINATA; 33,66 ; 5,91 ; 59,02 ; 98,58 
655; KCP SETRASARI; 43,08 ; 19,17 ; 60,05 ; 122,30 
656; KCP PADALARANG; 17,39 ; 6,04 ; 62,13 ; 85,56 
673; KCP PASIR KALIKI;; 0,00 ; -   ; 0,00 
674; KCP PASAR BARU BANDUNG DS;;; 0,00 ; 0,00 
675; KCP RAJAWALI BANDUNG; 25,94 ; 11,59 ; 56,28 ; 93,81 
1070; KCP CIJERAH; 31,31 ; 10,93 ; 71,51 ; 113,76 
1071; KCP CIMINDI; 9,91 ; 12,16 ; 56,05 ; 78,12 
1077; KCP PETA;;; 0,09 ; 0,09 
1078; KCP SUMBER; 16,40 ; 5,58 ; 96,38 ; 118,36 
1107; KCP METRO TRADE CENTER; 18,58 ; 9,11 ; 70,28 ; 97,97 
1108; KCP ABDUL FATAH;;; 0,01 ; 0,01 
1139; KCP RANCAEKEK; 8,12 ; 3,43 ; 38,32 ; 49,87 
1140; KCP BANJARAN; 9,08 ; 7,94 ; 52,42 ; 69,44 
1141; KCP SUMMARECON BANDUNG; 28,30 ; 39,27 ; 66,53 ; 134,10 
1337; KCP CIKURUBUK;;; 0,00 ; 0,00 
1345; KCP GUNTUR;; 0,00 ; 0,01 ; 0,01 
1346; KCP CIKAJANG; 9,65 ; 5,12 ; 59,59 ; 74,35 
1355; KCP CICURUG; 9,10 ; 8,89 ; 36,44 ; 54,44 
1437; KCP CIAWI TASIKMALAYA; 3,91 ; 3,92 ; 51,29 ; 59,12 
1596; KCP TELKOM BANDUNG; 12,04 ; 106,08 ; 41,08 ; 159,20 
1809; KCP MANGUNSARKORO;;; 0,00 ; 0,00 
2000; KCP CIHAMPELAS;; 0,00 ; 0,01 ; 0,01 
2016; KCP LEMBANG; 29,44 ; 5,08 ; 53,83 ; 88,35 
2058; KCP BATUNUNGGAL; 49,45 ; 24,41 ; 77,57 ; 151,44 
2103; KCP Mekarwangi;;; 0,00 ; 0,00 
2104; KCP RIAU; 30,23 ; 14,20 ; 72,88 ; 117,31 
2105; KCP SUCI; 43,98 ; 14,56 ; 58,89 ; 117,42 
2128; KCP CILEDUG CIREBON; 14,27 ; 14,23 ; 72,60 ; 101,11 
2154; KCP ANTAPANI; 13,55 ; 10,09 ; 48,99 ; 72,63 
2155; KCP TAMAN KOPO INDAH; 13,08 ; 2,28 ; 72,22 ; 87,58 
2184; KCP TAMAN KOPO INDAH II; 18,69 ; 9,50 ; 73,19 ; 101,38 
2229; KCP SURADE; 5,93 ; 2,71 ; 34,65 ; 43,29 
2230; KCP CIRANJANG; 2,31 ; 2,02 ; 33,29 ; 37,62 
2231; KCP SUKANAGARA; 1,02 ; 1,20 ; 24,83 ; 27,04 
Grand Total;Grand Total; 708 ; 534 ; 2.133 ; 3.375 
