NAMA UKER;KCP Telkom Bandung;KCP Batununggal;KCP Cicurug;KCP Buah Batu;KCP Kopo Indah;KCP Otto Iskandardinata;KCP Cijerah;KCP Cipanas;KCP Weru;KCP Cimindi;KCP ITB;KCP Taman Kopo Indah II;KCP Jatinangor;KCP Ciledug Cirebon;KCP Suci;KCP Trade Center;KCP Riau;KCP Banjaran;KCP Patrol;KCP Pangandaran;KCP Surade;KCP Cikajang;KCP Pelabuhan Ratu;KCP Sumber;KCP Sumber Sari;KCP Ciranjang;KCP Antapani;KCP Rancaekek;KCP Setrasari;KCP Lembang;KCP Ciawi Tasikmalaya;KCP Rajawali Bandung;KCP Sukanagara;KCP Padalarang
01-Dec; 12,99 ; 48,56 ; 7,74 ; 43,30 ; 13,69 ; 31,25 ; 38,89 ; 56,67 ; 17,07 ; 11,19 ; 84,41 ; 18,09 ; 17,45 ; 12,64 ; 42,73 ; 19,56 ; 39,00 ; 11,31 ; 6,01 ; 12,57 ; 8,55 ; 8,99 ; 9,41 ; 15,25 ; 8,44 ; 2,49 ; 13,60 ; 7,88 ; 43,60 ; 28,84 ; 3,58 ; 37,26 ; 1,91 ; 23,35 
02-Dec; 12,86 ; 48,53 ; 7,79 ; 43,40 ; 13,69 ; 31,25 ; 36,80 ; 56,70 ; 17,11 ; 11,19 ; 84,40 ; 18,26 ; 17,37 ; 12,64 ; 42,73 ; 19,61 ; 39,11 ; 11,31 ; 6,01 ; 12,57 ; 8,55 ; 8,99 ; 8,61 ; 15,31 ; 8,44 ; 2,49 ; 13,60 ; 7,73 ; 43,58 ; 28,84 ; 3,58 ; 37,26 ; 1,91 ; 23,35 
03-Dec; 12,76 ; 48,63 ; 7,89 ; 43,40 ; 14,29 ; 31,25 ; 36,80 ; 56,70 ; 17,10 ; 11,19 ; 84,40 ; 18,26 ; 17,20 ; 12,64 ; 42,08 ; 19,61 ; 39,11 ; 11,29 ; 5,04 ; 12,57 ; 8,55 ; 8,99 ; 8,60 ; 15,35 ; 8,44 ; 2,49 ; 13,57 ; 7,73 ; 41,94 ; 28,79 ; 3,58 ; 37,26 ; 1,85 ; 23,35 
04-Dec; 12,76 ; 48,67 ; 7,89 ; 43,40 ; 14,29 ; 31,25 ; 36,79 ; 56,71 ; 17,14 ; 11,19 ; 84,40 ; 18,26 ; 17,20 ; 16,12 ; 42,15 ; 19,62 ; 39,11 ; 11,29 ; 5,04 ; 12,57 ; 8,52 ; 8,99 ; 8,60 ; 15,35 ; 8,44 ; 2,49 ; 13,60 ; 7,73 ; 41,95 ; 28,79 ; 3,62 ; 37,32 ; 1,85 ; 18,35 
05-Dec; 12,76 ; 48,63 ; 7,89 ; 43,40 ; 14,29 ; 31,25 ; 36,79 ; 56,66 ; 17,14 ; 11,19 ; 84,40 ; 18,24 ; 17,20 ; 16,12 ; 42,14 ; 19,62 ; 39,11 ; 11,29 ; 5,04 ; 12,42 ; 8,52 ; 8,99 ; 8,60 ; 15,59 ; 8,44 ; 2,49 ; 13,59 ; 8,03 ; 40,19 ; 28,79 ; 3,62 ; 37,32 ; 1,85 ; 18,35 
06-Dec; 12,98 ; 48,63 ; 7,89 ; 43,40 ; 14,29 ; 31,25 ; 36,89 ; 56,66 ; 17,14 ; 11,19 ; 84,40 ; 18,24 ; 17,20 ; 16,13 ; 42,14 ; 19,64 ; 39,12 ; 11,29 ; 5,04 ; 12,42 ; 8,52 ; 8,99 ; 8,60 ; 15,62 ; 8,44 ; 2,49 ; 13,59 ; 8,03 ; 40,19 ; 28,62 ; 3,62 ; 37,32 ; 1,85 ; 18,35 
07-Dec; 12,98 ; 48,63 ; 7,89 ; 43,36 ; 14,29 ; 31,25 ; 36,89 ; 56,66 ; 17,14 ; 11,19 ; 84,40 ; 18,24 ; 17,19 ; 16,13 ; 42,14 ; 19,64 ; 39,12 ; 11,26 ; 5,04 ; 12,42 ; 8,52 ; 8,99 ; 8,60 ; 15,62 ; 8,44 ; 2,49 ; 13,51 ; 8,03 ; 40,19 ; 28,62 ; 3,62 ; 37,32 ; 1,85 ; 18,37 
08-Dec; 12,98 ; 48,95 ; 7,89 ; 43,40 ; 14,29 ; 31,25 ; 36,89 ; 56,67 ; 17,11 ; 11,17 ; 84,46 ; 18,24 ; 17,19 ; 16,13 ; 42,29 ; 19,65 ; 39,00 ; 11,26 ; 5,04 ; 12,42 ; 8,52 ; 8,99 ; 8,60 ; 15,92 ; 8,44 ; 2,49 ; 13,51 ; 8,03 ; 39,21 ; 28,62 ; 3,32 ; 37,33 ; 1,85 ; 17,50 
09-Dec; 12,97 ; 48,95 ; 7,89 ; 43,31 ; 14,89 ; 31,25 ; 36,89 ; 56,68 ; 17,11 ; 11,17 ; 84,46 ; 18,27 ; 17,19 ; 16,13 ; 42,29 ; 19,65 ; 39,00 ; 11,26 ; 5,04 ; 12,45 ; 8,52 ; 8,99 ; 8,60 ; 15,92 ; 8,44 ; 2,39 ; 13,50 ; 8,03 ; 39,15 ; 28,62 ; 3,52 ; 37,32 ; 1,85 ; 17,50 
10-Dec; 12,97 ; 49,05 ; 7,79 ; 43,31 ; 14,89 ; 31,70 ; 36,94 ; 56,69 ; 17,11 ; 11,17 ; 84,49 ; 18,27 ; 17,19 ; 16,23 ; 42,29 ; 19,73 ; 38,97 ; 11,26 ; 5,04 ; 12,59 ; 8,52 ; 8,99 ; 8,60 ; 15,92 ; 8,47 ; 2,54 ; 13,50 ; 8,03 ; 41,50 ; 28,62 ; 3,52 ; 37,33 ; 1,85 ; 17,50 
