NAMA UKER;KCP Telkom Bandung;KCP Batununggal;KCP Cicurug;KCP Summarecon Bandung;KCP Taman Kopo Indah;KCP Otto Iskandardinata;KCP Cijerah;KCP Cipanas;KCP Weru;KCP Cimindi;KCP ITB;KCP Taman Kopo Indah II;KCP BRI Jatinangor;KCP Ciledug Cirebon;KCP Suci;KCP Trade Center;KCP Riau;KCP Banjaran;KCP Patrol;KCP Pangandaran;KCP Surade;KCP Cikajang;KCP Pelabuhan Ratu;KCP Sumber;KCP Sumber Sari;KCP Ciranjang;KCP Antapani;KCP Rancaekek;KCP Setrasari;KCP Lembang;KCP Ciawi Tasikmalaya;KCP Rajawali Bandung;KCP Sukanagara;KCP Padalarang
01-Dec; 105,46 ; 23,00 ; 31,90 ; 43,65 ; 3,01 ; 8,64 ; 8,17 ; 10,07 ; 31,90 ; 13,71 ; 59,57 ; 7,09 ; 11,83 ; 3,63 ; 11,59 ; 8,77 ; 13,29 ; 10,52 ; 4,00 ; 3,76 ; 3,58 ; 3,77 ; 38,49 ; 3,49 ; 61,47 ; 4,13 ; 8,53 ; 3,02 ; 15,41 ; 5,83 ; 4,39 ; 14,81 ; 1,72 ; 6,98 
02-Dec; 104,77 ; 21,49 ; 24,31 ; 44,74 ; 2,95 ; 8,45 ; 8,86 ; 9,89 ; 33,53 ; 12,56 ; 58,67 ; 7,42 ; 8,19 ; 3,41 ; 11,51 ; 8,89 ; 13,52 ; 10,36 ; 4,11 ; 3,62 ; 3,55 ; 4,07 ; 38,74 ; 3,66 ; 35,07 ; 3,18 ; 9,46 ; 2,66 ; 15,24 ; 5,95 ; 4,55 ; 12,62 ; 1,02 ; 6,67 
03-Dec; 104,46 ; 22,79 ; 25,66 ; 42,06 ; 3,01 ; 8,43 ; 9,12 ; 9,98 ; 38,18 ; 12,64 ; 58,07 ; 7,75 ; 7,86 ; 3,40 ; 11,43 ; 9,23 ; 13,22 ; 11,21 ; 4,46 ; 3,31 ; 3,26 ; 4,32 ; 38,73 ; 3,76 ; 40,16 ; 2,84 ; 9,65 ; 2,35 ; 14,69 ; 5,94 ; 4,57 ; 12,52 ; 1,00 ; 9,92 
04-Dec; 106,60 ; 24,36 ; 30,68 ; 43,40 ; 2,78 ; 8,59 ; 6,05 ; 9,67 ; 37,76 ; 12,71 ; 58,49 ; 7,37 ; 7,79 ; 3,16 ; 11,53 ; 14,88 ; 14,61 ; 10,00 ; 3,92 ; 3,46 ; 3,06 ; 4,81 ; 38,46 ; 3,79 ; 41,57 ; 2,77 ; 9,75 ; 2,34 ; 14,79 ; 6,85 ; 4,86 ; 12,27 ; 1,05 ; 8,23 
05-Dec; 105,89 ; 21,86 ; 20,63 ; 42,90 ; 3,12 ; 8,64 ; 6,34 ; 9,51 ; 34,66 ; 12,58 ; 58,03 ; 5,82 ; 7,70 ; 3,07 ; 13,05 ; 7,75 ; 13,78 ; 9,92 ; 3,95 ; 3,46 ; 3,28 ; 3,81 ; 39,40 ; 4,02 ; 35,46 ; 2,98 ; 10,02 ; 2,58 ; 14,08 ; 6,50 ; 4,76 ; 12,66 ; 1,06 ; 7,44 
06-Dec; 105,78 ; 22,48 ; 20,75 ; 43,51 ; 3,04 ; 8,67 ; 6,41 ; 9,18 ; 34,75 ; 12,62 ; 57,96 ; 5,83 ; 7,15 ; 3,60 ; 12,94 ; 8,31 ; 13,82 ; 9,87 ; 4,27 ; 3,56 ; 3,14 ; 3,81 ; 39,15 ; 4,00 ; 44,08 ; 2,98 ; 10,00 ; 2,45 ; 14,10 ; 6,48 ; 4,98 ; 12,90 ; 1,29 ; 7,55 
07-Dec; 105,84 ; 22,44 ; 20,71 ; 43,75 ; 3,04 ; 9,06 ; 6,62 ; 9,55 ; 34,81 ; 12,64 ; 57,92 ; 5,79 ; 8,42 ; 3,88 ; 12,98 ; 8,81 ; 14,70 ; 9,95 ; 4,42 ; 3,56 ; 3,09 ; 3,96 ; 38,86 ; 4,06 ; 51,60 ; 3,00 ; 10,00 ; 2,55 ; 14,14 ; 6,17 ; 4,84 ; 13,26 ; 1,37 ; 7,58 
08-Dec; 105,60 ; 19,75 ; 19,38 ; 45,36 ; 3,02 ; 9,19 ; 6,80 ; 9,40 ; 42,11 ; 12,66 ; 58,03 ; 5,47 ; 7,39 ; 3,68 ; 12,60 ; 8,92 ; 14,27 ; 10,44 ; 4,54 ; 3,56 ; 3,68 ; 3,90 ; 34,02 ; 4,13 ; 61,56 ; 3,04 ; 9,55 ; 3,01 ; 15,17 ; 6,75 ; 4,28 ; 13,52 ; 1,12 ; 8,73 
09-Dec; 106,34 ; 18,22 ; 18,82 ; 45,76 ; 3,01 ; 9,45 ; 7,96 ; 10,11 ; 35,99 ; 12,71 ; 58,48 ; 5,66 ; 7,72 ; 3,28 ; 12,88 ; 8,96 ; 12,98 ; 10,33 ; 4,81 ; 3,64 ; 3,47 ; 3,97 ; 34,03 ; 4,27 ; 32,09 ; 3,03 ; 9,19 ; 2,82 ; 16,17 ; 6,12 ; 4,66 ; 13,20 ; 0,98 ; 8,83 
10-Dec; 105,47 ; 19,65 ; 15,52 ; 42,18 ; 2,96 ; 9,39 ; 7,10 ; 9,39 ; 33,55 ; 13,12 ; 55,80 ; 5,24 ; 7,39 ; 3,50 ; 13,80 ; 9,26 ; 12,67 ; 9,96 ; 5,02 ; 4,01 ; 3,33 ; 4,42 ; 33,31 ; 4,32 ; 27,97 ; 2,82 ; 9,30 ; 2,67 ; 16,52 ; 6,96 ; 4,30 ; 12,76 ; 0,95 ; 9,03 
11-Dec; 104,81 ; 20,95 ; 15,59 ; 43,33 ; 2,96 ; 9,12 ; 7,39 ; 9,46 ; 33,22 ; 13,50 ; 55,21 ; 5,28 ; 8,69 ; 3,37 ; 14,47 ; 8,97 ; 12,80 ; 10,02 ; 4,84 ; 4,01 ; 3,36 ; 5,28 ; 33,49 ; 4,39 ; 27,86 ; 2,57 ; 9,49 ; 2,50 ; 17,10 ; 6,85 ; 4,36 ; 12,58 ; 1,15 ; 8,95 
12-Dec; 104,57 ; 17,81 ; 16,38 ; 41,10 ; 2,99 ; 9,21 ; 7,56 ; 11,17 ; 33,34 ; 13,62 ; 56,59 ; 5,04 ; 8,28 ; 3,42 ; 14,50 ; 10,85 ; 13,67 ; 10,03 ; 4,85 ; 4,21 ; 2,94 ; 4,43 ; 34,43 ; 4,41 ; 27,68 ; 2,52 ; 9,76 ; 2,15 ; 17,32 ; 6,66 ; 4,55 ; 12,40 ; 1,06 ; 9,64 
13-Dec; 104,50 ; 18,55 ; 16,37 ; 41,40 ; 2,97 ; 9,46 ; 7,63 ; 11,31 ; 33,25 ; 13,69 ; 56,63 ; 5,30 ; 8,95 ; 3,18 ; 14,55 ; 9,54 ; 14,17 ; 10,10 ; 4,98 ; 4,30 ; 2,88 ; 4,18 ; 33,75 ; 4,91 ; 36,67 ; 2,56 ; 9,75 ; 2,14 ; 17,38 ; 6,55 ; 4,45 ; 12,59 ; 1,02 ; 9,56 
14-Dec; 104,55 ; 18,72 ; 16,39 ; 41,62 ; 3,07 ; 9,62 ; 7,67 ; 11,57 ; 33,33 ; 13,68 ; 56,71 ; 5,53 ; 10,01 ; 3,70 ; 14,43 ; 8,83 ; 14,72 ; 10,16 ; 5,10 ; 4,24 ; 2,75 ; 4,39 ; 33,78 ; 4,90 ; 44,59 ; 2,66 ; 9,74 ; 2,21 ; 17,51 ; 6,61 ; 4,36 ; 13,03 ; 1,02 ; 9,60 
15-Dec; 105,36 ; 21,87 ; 16,89 ; 42,74 ; 3,15 ; 9,55 ; 7,02 ; 10,55 ; 31,78 ; 14,85 ; 56,54 ; 6,21 ; 9,37 ; 3,57 ; 13,36 ; 8,83 ; 13,79 ; 10,39 ; 5,39 ; 4,01 ; 3,15 ; 4,52 ; 31,42 ; 4,59 ; 55,56 ; 2,37 ; 10,16 ; 2,27 ; 17,96 ; 7,25 ; 4,66 ; 13,30 ; 1,12 ; 8,51 
16-Dec; 105,85 ; 26,31 ; 19,16 ; 44,44 ; 2,95 ; 10,13 ; 7,18 ; 11,20 ; 31,54 ; 14,86 ; 59,48 ; 5,87 ; 8,95 ; 3,46 ; 13,26 ; 9,15 ; 13,67 ; 10,55 ; 5,59 ; 3,54 ; 2,90 ; 4,45 ; 34,38 ; 4,65 ; 44,45 ; 1,91 ; 9,88 ; 2,77 ; 20,94 ; 6,16 ; 4,50 ; 12,34 ; 1,04 ; 8,55 
17-Dec; 105,96 ; 21,72 ; 20,32 ; 40,76 ; 2,81 ; 10,37 ; 5,59 ; 10,65 ; 31,84 ; 15,12 ; 59,56 ; 5,71 ; 8,14 ; 3,47 ; 13,79 ; 10,02 ; 13,99 ; 11,17 ; 5,71 ; 3,23 ; 2,85 ; 4,64 ; 34,32 ; 4,58 ; 40,13 ; 2,10 ; 9,56 ; 2,04 ; 23,35 ; 6,55 ; 4,61 ; 11,65 ; 0,99 ; 10,54 
18-Dec; 105,94 ; 19,67 ; 20,81 ; 42,11 ; 2,73 ; 10,49 ; 5,89 ; 10,24 ; 32,66 ; 15,12 ; 60,01 ; 5,39 ; 9,54 ; 3,66 ; 13,71 ; 11,74 ; 14,83 ; 10,18 ; 5,80 ; 3,10 ; 2,45 ; 5,05 ; 34,29 ; 4,60 ; 44,35 ; 2,28 ; 9,36 ; 2,10 ; 21,21 ; 8,23 ; 4,34 ; 10,75 ; 1,06 ; 11,73 
19-Dec; 106,10 ; 22,18 ; 20,61 ; 40,43 ; 3,19 ; 10,87 ; 6,38 ; 9,83 ; 33,70 ; 15,84 ; 62,87 ; 6,51 ; 9,96 ; 3,59 ; 13,65 ; 16,80 ; 13,99 ; 10,57 ; 5,59 ; 5,57 ; 2,67 ; 5,31 ; 35,13 ; 4,56 ; 36,18 ; 2,71 ; 9,13 ; 11,96 ; 20,89 ; 7,15 ; 4,58 ; 10,56 ; 1,03 ; 14,03 
20-Dec; 106,06 ; 23,59 ; 20,71 ; 41,29 ; 2,97 ; 11,00 ; 5,40 ; 9,92 ; 34,00 ; 15,61 ; 63,35 ; 6,97 ; 9,79 ; 3,71 ; 13,71 ; 14,90 ; 15,73 ; 10,58 ; 5,69 ; 5,66 ; 2,65 ; 5,43 ; 35,57 ; 4,21 ; 44,93 ; 2,69 ; 9,00 ; 12,06 ; 21,02 ; 7,40 ; 4,58 ; 10,79 ; 1,21 ; 13,91 
21-Dec; 106,08 ; 23,64 ; 20,73 ; 41,59 ; 2,99 ; 11,16 ; 5,38 ; 9,95 ; 33,98 ; 15,56 ; 63,42 ; 7,09 ; 11,44 ; 4,11 ; 13,75 ; 14,92 ; 16,50 ; 10,73 ; 5,82 ; 5,53 ; 2,64 ; 5,48 ; 34,34 ; 4,00 ; 52,24 ; 2,72 ; 9,12 ; 12,16 ; 20,98 ; 7,62 ; 4,48 ; 11,20 ; 1,78 ; 13,19 
22-Dec; 105,93 ; 21,82 ; 10,57 ; 43,17 ; 3,46 ; 10,92 ; 5,68 ; 10,24 ; 34,45 ; 13,84 ; 60,17 ; 7,03 ; 8,65 ; 3,75 ; 13,33 ; 15,50 ; 14,84 ; 10,77 ; 5,58 ; 5,07 ; 2,84 ; 5,28 ; 28,87 ; 3,81 ; 59,59 ; 2,98 ; 9,22 ; 12,34 ; 21,15 ; 7,90 ; 5,70 ; 11,11 ; 1,64 ; 11,24 
23-Dec; 106,61 ; 23,40 ; 11,36 ; 41,75 ; 3,18 ; 10,86 ; 5,23 ; 9,77 ; 33,83 ; 13,99 ; 68,25 ; 5,38 ; 10,77 ; 3,87 ; 13,35 ; 14,43 ; 14,39 ; 12,59 ; 5,41 ; 5,02 ; 2,34 ; 5,77 ; 29,38 ; 3,69 ; 33,31 ; 2,95 ; 9,26 ; 2,70 ; 23,28 ; 8,36 ; 5,26 ; 11,92 ; 1,91 ; 12,17 
24-Dec; 105,92 ; 30,35 ; 11,81 ; 40,46 ; 3,22 ; 10,11 ; 5,26 ; 10,07 ; 34,46 ; 13,97 ; 68,58 ; 6,96 ; 9,21 ; 5,37 ; 13,08 ; 14,79 ; 13,94 ; 11,51 ; 4,72 ; 6,19 ; 3,52 ; 5,90 ; 28,37 ; 3,61 ; 33,94 ; 3,21 ; 9,25 ; 2,58 ; 22,12 ; 8,56 ; 4,91 ; 11,05 ; 2,00 ; 13,23 
25-Dec; 105,79 ; 28,95 ; 11,86 ; 40,94 ; 3,26 ; 10,27 ; 5,45 ; 10,08 ; 33,79 ; 13,98 ; 73,26 ; 7,13 ; 9,22 ; 5,74 ; 13,21 ; 13,58 ; 14,44 ; 11,50 ; 5,14 ; 6,39 ; 3,27 ; 5,93 ; 28,66 ; 3,66 ; 43,71 ; 2,23 ; 9,27 ; 2,77 ; 22,13 ; 8,67 ; 5,08 ; 11,52 ; 2,02 ; 13,41 
26-Dec; 105,80 ; 30,90 ; 11,94 ; 40,76 ; 3,28 ; 10,05 ; 5,28 ; 10,10 ; 33,45 ; 13,98 ; 74,66 ; 7,40 ; 9,19 ; 5,30 ; 12,94 ; 13,40 ; 15,07 ; 11,59 ; 5,24 ; 6,24 ; 3,60 ; 6,06 ; 27,98 ; 3,70 ; 51,81 ; 2,20 ; 9,18 ; 2,32 ; 20,36 ; 8,89 ; 5,02 ; 12,40 ; 2,21 ; 13,57 
27-Dec; 105,75 ; 32,47 ; 11,96 ; 42,27 ; 3,52 ; 10,01 ; 5,22 ; 10,28 ; 33,45 ; 13,92 ; 74,72 ; 7,69 ; 9,58 ; 4,97 ; 12,93 ; 12,92 ; 15,84 ; 11,56 ; 5,33 ; 6,16 ; 3,58 ; 6,20 ; 27,83 ; 3,65 ; 60,54 ; 2,03 ; 8,58 ; 2,45 ; 20,30 ; 9,47 ; 4,88 ; 12,57 ; 2,15 ; 13,65 
28-Dec; 105,73 ; 32,59 ; 11,93 ; 42,79 ; 3,54 ; 10,27 ; 5,29 ; 10,04 ; 33,19 ; 13,98 ; 74,57 ; 7,69 ; 10,72 ; 5,34 ; 12,97 ; 11,91 ; 16,80 ; 11,65 ; 5,07 ; 6,04 ; 3,56 ; 6,24 ; 28,55 ; 3,65 ; 66,80 ; 2,69 ; 8,58 ; 2,55 ; 20,59 ; 9,72 ; 4,98 ; 13,01 ; 2,39 ; 13,66 
29-Dec; 106,06 ; 22,67 ; 12,47 ; 43,77 ; 3,63 ; 10,55 ; 5,53 ; 10,63 ; 33,12 ; 13,82 ; 76,18 ; 6,21 ; 10,20 ; 5,04 ; 13,83 ; 10,96 ; 18,84 ; 7,55 ; 4,16 ; 5,93 ; 3,72 ; 5,68 ; 28,57 ; 3,70 ; 31,50 ; 3,04 ; 9,17 ; 2,56 ; 20,48 ; 9,47 ; 5,42 ; 13,41 ; 1,94 ; 9,07 
30-Dec; 105,77 ; 27,96 ; 13,15 ; 45,40 ; 3,33 ; 10,69 ; 6,65 ; 9,92 ; 33,21 ; 13,83 ; 74,34 ; 6,82 ; 9,52 ; 4,96 ; 15,25 ; 13,78 ; 18,32 ; 7,62 ; 5,46 ; 7,98 ; 3,30 ; 6,61 ; 23,02 ; 3,91 ; 39,29 ; 2,82 ; 9,12 ; 2,64 ; 19,98 ; 7,89 ; 5,08 ; 13,38 ; 1,88 ; 8,49 
