NAMA UKER;KCP Telkom Bandung;KCP Batununggal;KCP Cicurug;KCP Summarecon Bandung;KCP Taman Kopo Indah;KCP Otto Iskandardinata;KCP Cijerah;KCP Cipanas;KCP Weru;KCP Cimindi;KCP ITB;KCP Taman Kopo Indah II;KCP BRI Jatinangor;KCP Ciledug Cirebon;KCP Suci;KCP Trade Center;KCP Riau;KCP Banjaran;KCP Patrol;KCP Pangandaran;KCP Surade;KCP Cikajang;KCP Pelabuhan Ratu;KCP Sumber;KCP Sumber Sari;KCP Ciranjang;KCP Antapani;KCP Rancaekek;KCP Setrasari;KCP Lembang;KCP Ciawi Tasikmalaya;KCP Rajawali Bandung;KCP Sukanagara;KCP Padalarang
31-Dec; 39,90 ; 56,15 ; 40,00 ; 78,77 ; 67,27 ; 54,11 ; 69,35 ; 74,72 ; 102,66 ; 57,81 ; 71,45 ; 66,13 ; 116,89 ; 74,31 ; 60,15 ; 81,94 ; 107,29 ; 54,99 ; 63,46 ; 76,21 ; 32,65 ; 52,56 ; 53,30 ; 94,07 ; 64,34 ; 53,68 ; 51,62 ; 38,15 ; 75,88 ; 73,65 ; 52,02 ; 50,27 ; 23,83 ; 61,72 
01-Jan; 39,69 ; 56,58 ; 39,79 ; 78,10 ; 68,06 ; 55,01 ; 69,96 ; 76,31 ; 103,37 ; 58,00 ; 71,16 ; 66,54 ; 123,34 ; 74,25 ; 60,44 ; 82,07 ; 105,57 ; 54,00 ; 63,68 ; 76,27 ; 33,04 ; 52,83 ; 55,49 ; 96,44 ; 64,45 ; 52,67 ; 51,31 ; 38,12 ; 76,27 ; 74,75 ; 49,66 ; 50,81 ; 24,54 ; 63,04 
02-Jan; 40,09 ; 55,76 ; 34,62 ; 70,66 ; 68,13 ; 52,75 ; 69,39 ; 74,16 ; 100,07 ; 57,31 ; 59,75 ; 65,68 ; 123,28 ; 72,15 ; 59,02 ; 79,32 ; 103,69 ; 53,42 ; 62,26 ; 76,47 ; 31,78 ; 53,43 ; 51,20 ; 95,21 ; 62,26 ; 49,86 ; 45,51 ; 37,03 ; 73,66 ; 58,59 ; 50,98 ; 45,92 ; 26,62 ; 62,55 
03-Jan; 39,93 ; 55,67 ; 34,37 ; 70,77 ; 67,86 ; 52,18 ; 68,23 ; 74,32 ; 98,76 ; 56,68 ; 59,30 ; 65,95 ; 121,90 ; 72,35 ; 58,84 ; 78,70 ; 103,23 ; 53,56 ; 61,62 ; 75,89 ; 31,29 ; 53,96 ; 50,15 ; 95,24 ; 62,40 ; 49,38 ; 45,57 ; 36,56 ; 73,59 ; 57,70 ; 50,32 ; 45,98 ; 26,89 ; 62,62 
04-Jan; 39,92 ; 55,81 ; 34,18 ; 70,54 ; 67,59 ; 52,16 ; 68,22 ; 73,64 ; 98,13 ; 56,86 ; 59,05 ; 65,14 ; 120,46 ; 72,25 ; 59,09 ; 78,37 ; 103,42 ; 52,47 ; 61,56 ; 75,55 ; 31,68 ; 54,16 ; 49,43 ; 94,93 ; 62,25 ; 48,92 ; 45,97 ; 36,00 ; 73,65 ; 57,55 ; 49,19 ; 45,63 ; 27,32 ; 59,62 
05-Jan; 39,80 ; 57,05 ; 34,32 ; 70,82 ; 67,23 ; 69,37 ; 67,93 ; 59,85 ; 99,58 ; 54,84 ; 58,93 ; 66,53 ; 120,09 ; 71,51 ; 56,99 ; 77,88 ; 96,86 ; 53,28 ; 61,98 ; 77,60 ; 32,31 ; 53,89 ; 50,00 ; 94,75 ; 62,72 ; 44,72 ; 45,15 ; 36,26 ; 71,64 ; 57,82 ; 49,36 ; 40,54 ; 24,44 ; 59,69 
06-Jan; 38,97 ; 57,95 ; 34,42 ; 69,81 ; 67,08 ; 53,62 ; 68,01 ; 61,15 ; 98,82 ; 54,60 ; 58,68 ; 66,11 ; 120,27 ; 72,00 ; 56,48 ; 77,98 ; 97,07 ; 52,17 ; 62,25 ; 73,61 ; 32,10 ; 54,20 ; 47,81 ; 94,49 ; 63,11 ; 44,48 ; 45,34 ; 36,15 ; 70,77 ; 59,00 ; 49,32 ; 42,35 ; 23,75 ; 59,33 
07-Jan; 39,35 ; 57,60 ; 34,85 ; 69,38 ; 66,92 ; 54,05 ; 67,85 ; 58,86 ; 99,03 ; 54,93 ; 59,14 ; 65,54 ; 120,05 ; 71,05 ; 55,95 ; 78,19 ; 96,83 ; 52,53 ; 63,06 ; 71,57 ; 31,37 ; 52,73 ; 45,74 ; 93,70 ; 62,59 ; 33,14 ; 45,29 ; 36,18 ; 59,58 ; 58,25 ; 47,49 ; 42,24 ; 23,72 ; 58,13 
08-Jan; 39,27 ; 57,89 ; 34,85 ; 69,09 ; 67,54 ; 53,87 ; 67,58 ; 57,72 ; 98,50 ; 55,01 ; 58,56 ; 65,74 ; 118,93 ; 70,98 ; 56,69 ; 78,11 ; 95,76 ; 53,00 ; 63,25 ; 74,60 ; 30,79 ; 51,71 ; 45,23 ; 92,35 ; 62,11 ; 33,29 ; 44,98 ; 36,12 ; 59,65 ; 57,51 ; 48,05 ; 42,76 ; 23,17 ; 58,76 
09-Jan; 39,23 ; 58,07 ; 34,92 ; 71,14 ; 67,08 ; 53,66 ; 66,23 ; 58,37 ; 100,51 ; 55,08 ; 58,38 ; 65,58 ; 119,83 ; 72,32 ; 55,14 ; 78,04 ; 95,42 ; 52,64 ; 60,09 ; 74,10 ; 33,69 ; 51,51 ; 47,61 ; 94,47 ; 62,86 ; 33,56 ; 45,27 ; 36,29 ; 59,08 ; 57,42 ; 50,54 ; 42,54 ; 23,63 ; 59,04 
