Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 615 ; 328 ; 1.206 ; 2.149 
25;Garut (Konsolidasi-MB); 222 ; 174 ; 1.912 ; 2.308 
28;Indramayu (Konsolidasi-MB); 225 ; 94 ; 1.448 ; 1.767 
46;Majalengka (Konsolidasi-MB); 174 ; 42 ; 1.513 ; 1.730 
75;Purwakarta (Konsolidasi-MB); 238 ; 96 ; 1.024 ; 1.358 
92;Sukabumi (Konsolidasi-MB); 173 ; 85 ; 1.240 ; 1.498 
94;Sumedang (Konsolidasi-MB); 363 ; 181 ; 1.274 ; 1.818 
100;Tasikmalaya (Konsolidasi-MB); 163 ; 114 ; 1.444 ; 1.721 
104;Ciamis (Konsolidasi-MB); 145 ; 57 ; 1.189 ; 1.391 
105;Cianjur (Konsolidasi-MB); 252 ; 70 ; 1.425 ; 1.747 
107;Cirebon Kartini (Konsolidasi-MB); 662 ; 259 ; 2.064 ; 2.986 
123;Subang (Konsolidasi-MB); 172 ; 165 ; 1.009 ; 1.346 
132;Majalaya (Konsolidasi-MB); 239 ; 23 ; 1.231 ; 1.493 
133;Kuningan (Konsolidasi-MB); 302 ; 75 ; 1.625 ; 2.003 
137;Cimahi (Konsolidasi-MB); 582 ; 411 ; 2.363 ; 3.356 
161;Singaparna (Konsolidasi-MB); 162 ; 43 ; 944 ; 1.149 
162;Banjar (Konsolidasi-MB); 155 ; 59 ; 1.232 ; 1.445 
165;Jatibarang (Konsolidasi-MB); 130 ; 26 ; 1.462 ; 1.618 
181;Cibadak (Konsolidasi-MB); 155 ; 86 ; 1.042 ; 1.283 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.234 ; 315 ; 1.341 ; 2.891 
337;Bandung Naripan (Konsolidasi-MB); 349 ; 266 ; 848 ; 1.463 
354;Bandung A.H. Nasution (Konsolidasi-MB); 604 ; 259 ; 1.213 ; 2.076 
355;Pamanukan (Konsolidasi-MB); 103 ; 143 ; 875 ; 1.121 
389;Bandung Martadinata (Konsolidasi-MB); 585 ; 175 ; 751 ; 1.510 
401;Bandung Kopo (Konsolidasi-MB); 645 ; 184 ; 892 ; 1.722 
405;Bandung Dago (Konsolidasi-MB); 496 ; 263 ; 950 ; 1.709 
406;Cirebon Gunung Jati (Konsolidasi-MB); 233 ; 96 ; 1.267 ; 1.596 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 606 ; 236 ; 862 ; 1.704 
408;Bandung Setiabudi (Konsolidasi-MB); 295 ; 99 ; 767 ; 1.161 
544;Soreang (Konsolidasi-MB); 228 ; 53 ; 1.091 ; 1.372 
Grand;; 10.507 ; 4.480 ; 37.505 ; 52.492 
