Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 614 ; 331 ; 1.208 ; 2.153 
25;Garut (Konsolidasi-MB); 222 ; 156 ; 1.945 ; 2.323 
28;Indramayu (Konsolidasi-MB); 225 ; 87 ; 1.460 ; 1.772 
46;Majalengka (Konsolidasi-MB); 175 ; 46 ; 1.531 ; 1.752 
75;Purwakarta (Konsolidasi-MB); 237 ; 120 ; 1.037 ; 1.395 
92;Sukabumi (Konsolidasi-MB); 168 ; 105 ; 1.270 ; 1.543 
94;Sumedang (Konsolidasi-MB); 362 ; 186 ; 1.299 ; 1.847 
100;Tasikmalaya (Konsolidasi-MB); 162 ; 106 ; 1.454 ; 1.721 
104;Ciamis (Konsolidasi-MB); 144 ; 64 ; 1.196 ; 1.405 
105;Cianjur (Konsolidasi-MB); 251 ; 85 ; 1.469 ; 1.804 
107;Cirebon Kartini (Konsolidasi-MB); 649 ; 271 ; 2.098 ; 3.018 
123;Subang (Konsolidasi-MB); 171 ; 167 ; 1.023 ; 1.362 
132;Majalaya (Konsolidasi-MB); 239 ; 34 ; 1.243 ; 1.516 
133;Kuningan (Konsolidasi-MB); 302 ; 78 ; 1.636 ; 2.015 
137;Cimahi (Konsolidasi-MB); 583 ; 427 ; 2.440 ; 3.450 
161;Singaparna (Konsolidasi-MB); 162 ; 55 ; 963 ; 1.179 
162;Banjar (Konsolidasi-MB); 155 ; 64 ; 1.246 ; 1.466 
165;Jatibarang (Konsolidasi-MB); 130 ; 36 ; 1.476 ; 1.641 
181;Cibadak (Konsolidasi-MB); 155 ; 89 ; 1.057 ; 1.302 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.231 ; 367 ; 1.398 ; 2.996 
337;Bandung Naripan (Konsolidasi-MB); 322 ; 256 ; 901 ; 1.479 
354;Bandung A.H. Nasution (Konsolidasi-MB); 609 ; 245 ; 1.245 ; 2.099 
355;Pamanukan (Konsolidasi-MB); 102 ; 163 ; 962 ; 1.227 
389;Bandung Martadinata (Konsolidasi-MB); 585 ; 239 ; 776 ; 1.600 
401;Bandung Kopo (Konsolidasi-MB); 669 ; 186 ; 907 ; 1.761 
405;Bandung Dago (Konsolidasi-MB); 489 ; 262 ; 1.002 ; 1.752 
406;Cirebon Gunung Jati (Konsolidasi-MB); 230 ; 104 ; 1.289 ; 1.624 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 637 ; 160 ; 886 ; 1.682 
408;Bandung Setiabudi (Konsolidasi-MB); 295 ; 107 ; 778 ; 1.180 
544;Soreang (Konsolidasi-MB); 234 ; 58 ; 1.097 ; 1.388 
Grand;; 10.511 ; 4.651 ; 38.289 ; 53.451 
