Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 612 ; 335 ; 1.221 ; 2.168 
25;Garut (Konsolidasi-MB); 221 ; 126 ; 1.937 ; 2.284 
28;Indramayu (Konsolidasi-MB); 225 ; 80 ; 1.455 ; 1.761 
46;Majalengka (Konsolidasi-MB); 175 ; 43 ; 1.531 ; 1.748 
75;Purwakarta (Konsolidasi-MB); 247 ; 90 ; 1.039 ; 1.376 
92;Sukabumi (Konsolidasi-MB); 168 ; 83 ; 1.234 ; 1.486 
94;Sumedang (Konsolidasi-MB); 364 ; 182 ; 1.306 ; 1.852 
100;Tasikmalaya (Konsolidasi-MB); 162 ; 110 ; 1.469 ; 1.741 
104;Ciamis (Konsolidasi-MB); 144 ; 57 ; 1.210 ; 1.412 
105;Cianjur (Konsolidasi-MB); 256 ; 66 ; 1.476 ; 1.798 
107;Cirebon Kartini (Konsolidasi-MB); 650 ; 211 ; 2.095 ; 2.956 
123;Subang (Konsolidasi-MB); 171 ; 165 ; 1.036 ; 1.372 
132;Majalaya (Konsolidasi-MB); 241 ; 21 ; 1.251 ; 1.513 
133;Kuningan (Konsolidasi-MB); 302 ; 74 ; 1.650 ; 2.027 
137;Cimahi (Konsolidasi-MB); 572 ; 420 ; 2.513 ; 3.505 
161;Singaparna (Konsolidasi-MB); 162 ; 42 ; 961 ; 1.165 
162;Banjar (Konsolidasi-MB); 156 ; 64 ; 1.250 ; 1.469 
165;Jatibarang (Konsolidasi-MB); 130 ; 26 ; 1.472 ; 1.628 
181;Cibadak (Konsolidasi-MB); 155 ; 89 ; 1.044 ; 1.287 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.231 ; 364 ; 1.359 ; 2.954 
337;Bandung Naripan (Konsolidasi-MB); 320 ; 256 ; 906 ; 1.482 
354;Bandung A.H. Nasution (Konsolidasi-MB); 609 ; 240 ; 1.238 ; 2.087 
355;Pamanukan (Konsolidasi-MB); 102 ; 145 ; 905 ; 1.151 
389;Bandung Martadinata (Konsolidasi-MB); 589 ; 221 ; 773 ; 1.583 
401;Bandung Kopo (Konsolidasi-MB); 670 ; 116 ; 817 ; 1.603 
405;Bandung Dago (Konsolidasi-MB); 488 ; 249 ; 1.009 ; 1.747 
406;Cirebon Gunung Jati (Konsolidasi-MB); 230 ; 96 ; 1.291 ; 1.616 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 637 ; 329 ; 883 ; 1.850 
408;Bandung Setiabudi (Konsolidasi-MB); 295 ; 99 ; 781 ; 1.175 
544;Soreang (Konsolidasi-MB); 234 ; 52 ; 1.101 ; 1.387 
Grand;; 10.517 ; 4.451 ; 38.213 ; 53.182 
