Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 367 ; 255 ; 962 ; 1.584 
25;Garut (Konsolidasi-MB); 265 ; 110 ; 1.789 ; 2.164 
28;Indramayu (Konsolidasi-MB); 236 ; 74 ; 1.371 ; 1.681 
46;Majalengka (Konsolidasi-MB); 160 ; 96 ; 1.428 ; 1.685 
75;Purwakarta (Konsolidasi-MB); 255 ; 184 ; 945 ; 1.384 
92;Sukabumi (Konsolidasi-MB); 179 ; 86 ; 1.149 ; 1.415 
94;Sumedang (Konsolidasi-MB); 359 ; 78 ; 1.270 ; 1.708 
100;Tasikmalaya (Konsolidasi-MB); 142 ; 98 ; 1.369 ; 1.609 
104;Ciamis (Konsolidasi-MB); 137 ; 71 ; 1.103 ; 1.310 
105;Cianjur (Konsolidasi-MB); 246 ; 52 ; 1.311 ; 1.609 
107;Cirebon Kartini (Konsolidasi-MB); 554 ; 225 ; 1.680 ; 2.459 
123;Subang (Konsolidasi-MB); 172 ; 117 ; 954 ; 1.244 
132;Majalaya (Konsolidasi-MB); 200 ; 20 ; 1.136 ; 1.355 
133;Kuningan (Konsolidasi-MB); 252 ; 54 ; 1.550 ; 1.856 
137;Cimahi (Konsolidasi-MB); 673 ; 108 ; 1.793 ; 2.574 
161;Singaparna (Konsolidasi-MB); 179 ; 47 ; 896 ; 1.122 
162;Banjar (Konsolidasi-MB); 155 ; 61 ; 1.146 ; 1.362 
165;Jatibarang (Konsolidasi-MB); 136 ; 30 ; 1.331 ; 1.497 
181;Cibadak (Konsolidasi-MB); 157 ; 83 ; 958 ; 1.198 
286;Bandung Dewi Sartika (Konsolidasi-MB); 406 ; 286 ; 1.028 ; 1.720 
337;Bandung Naripan (Konsolidasi-MB); 290 ; 252 ; 845 ; 1.387 
354;Bandung A.H. Nasution (Konsolidasi-MB); 409 ; 184 ; 1.120 ; 1.713 
355;Pamanukan (Konsolidasi-MB); 100 ; 68 ; 863 ; 1.031 
389;Bandung Martadinata (Konsolidasi-MB); 289 ; 121 ; 731 ; 1.142 
401;Bandung Kopo (Konsolidasi-MB); 602 ; 101 ; 811 ; 1.514 
405;Bandung Dago (Konsolidasi-MB); 446 ; 140 ; 847 ; 1.433 
406;Cirebon Gunung Jati (Konsolidasi-MB); 220 ; 95 ; 1.191 ; 1.506 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 336 ; 157 ; 809 ; 1.302 
408;Bandung Setiabudi (Konsolidasi-MB); 303 ; 112 ; 703 ; 1.118 
544;Soreang (Konsolidasi-MB); 203 ; 81 ; 1.008 ; 1.292 
