Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi MB);359;260;991;1610
25; KC Garut (Konsolidasi MB);267;105;1785;2157
28; KC Indramayu (Konsolidasi MB);234;74;1362;1670
46; KC Majalengka (Konsolidasi MB);160;97;1421;1677
75; KC Purwakarta (Konsolidasi MB);253;171;956;1381
92; KC Sukabumi (Konsolidasi MB);180;88;1158;1426
94; KC Sumedang (Konsolidasi MB);360;94;1270;1724
100; KC Tasikmalaya (Konsolidasi MB);144;109;1391;1644
104; KC Ciamis (Konsolidasi MB);137;71;1113;1321
105; KC Cianjur (Konsolidasi MB);249;51;1318;1618
107; KC Cirebon Kartini (Konsolidasi MB);574;251;1689;2514
123; KC Subang (Konsolidasi MB);174;141;979;1294
132; KC Majalaya (Konsolidasi MB);198;17;1139;1354
133; KC Kuningan (Konsolidasi MB);252;60;1561;1873
137; KC Cimahi (Konsolidasi MB);666;100;1811;2577
161; KC Singaparna (Konsolidasi MB);179;55;901;1135
162; KC Banjar (Konsolidasi MB);154;56;1146;1356
165; KC Jatibarang (Konsolidasi MB);137;25;1355;1517
181; KC Cibadak (Konsolidasi MB);158;78;961;1197
198; KANWIL Bandung (Konsolidasi MB);;;0;0
286; KC Bandung Dewi Sartika (Konsolidasi MB);394;327;1107;1829
337; KC Bandung Naripan (Konsolidasi MB);298;255;933;1486
354; KC Bandung A.H. Nasution (Konsolidasi MB);420;200;1091;1711
355; KC Pamanukan (Konsolidasi MB);100;83;865;1049
389; KC Bandung Martadinata (Konsolidasi MB);289;114;947;1350
401; KC Bandung Kopo (Konsolidasi MB);635;83;904;1621
405; KC Bandung Dago (Konsolidasi MB);441;160;917;1518
406; KC Cirebon Gunung Jati (Konsolidasi MB);221;80;1171;1472
407; KC Bandung Sukarno Hatta (Konsolidasi MB);333;161;846;1340
408; KC Bandung Setiabudi (Konsolidasi MB);301;105;741;1147
544; KC Soreang (Konsolidasi MB);200;80;1006;1287

