Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi;347;302;976;1.626
25; KC Garut (Konsolidasi;264;106;1.763;2.133
28; KC Indramayu (Konsolidasi;229;74;1.354;1.657
46; KC Majalengka (Konsolidasi;156;97;1.411;1.665
75; KC Purwakarta (Konsolidasi;256;173;947;1.376
92; KC Sukabumi (Konsolidasi;181;80;1.161;1.423
94; KC Sumedang (Konsolidasi;369;70;1.246;1.685
100; KC Tasikmalaya (Konsolidasi;138;106;1.397;1.641
104; KC Ciamis (Konsolidasi;134;68;1.106;1.308
105; KC Cianjur (Konsolidasi;250;49;1.336;1.635
107; KC Cirebon Kartini (Konsolidasi;568;233;1.798;2.599
123; KC Subang (Konsolidasi;168;147;939;1.254
132; KC Majalaya (Konsolidasi;195;16;1.125;1.337
133; KC Kuningan (Konsolidasi;255;56;1.552;1.862
137; KC Cimahi (Konsolidasi;657;101;1.797;2.555
161; KC Singaparna (Konsolidasi;175;55;902;1.132
162; KC Banjar (Konsolidasi;152;55;1.166;1.372
165; KC Jatibarang (Konsolidasi;133;32;1.364;1.529
181; KC Cibadak (Konsolidasi;152;85;955;1.192
286; KC Bandung Dewi Sartika (Konsolidasi;390;286;1.124;1.800
337; KC Bandung Naripan (Konsolidasi;290;266;883;1.440
354; KC Bandung A.H. Nasution (Konsolidasi;401;192;1.090;1.683
355; KC Pamanukan (Konsolidasi;101;80;859;1.040
389; KC Bandung Martadinata (Konsolidasi;281;112;709;1.102
401; KC Bandung Kopo (Konsolidasi;339;89;784;1.212
405; KC Bandung Dago (Konsolidasi;448;157;877;1.482
406; KC Cirebon Gunung Jati (Konsolidasi;302;78;1.162;1.542
407; KC Bandung Sukarno Hatta (Konsolidasi;369;138;803;1.310
408; KC Bandung Setiabudi (Konsolidasi;287;111;691;1.089
544; KC Soreang (Konsolidasi;195;71;1.020;1.286
