Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 347 ; 302 ; 982 ; 1.631 
25; KC Garut (Konsolidasi; 263 ; 106 ; 1.765 ; 2.134 
28; KC Indramayu (Konsolidasi; 229 ; 74 ; 1.347 ; 1.650 
46; KC Majalengka (Konsolidasi; 156 ; 95 ; 1.406 ; 1.657 
75; KC Purwakarta (Konsolidasi; 256 ; 183 ; 947 ; 1.386 
92; KC Sukabumi (Konsolidasi; 181 ; 86 ; 1.180 ; 1.448 
94; KC Sumedang (Konsolidasi; 369 ; 74 ; 1.242 ; 1.685 
100; KC Tasikmalaya (Konsolidasi; 138 ; 105 ; 1.394 ; 1.637 
104; KC Ciamis (Konsolidasi; 135 ; 68 ; 1.107 ; 1.310 
105; KC Cianjur (Konsolidasi; 249 ; 49 ; 1.333 ; 1.632 
107; KC Cirebon Kartini (Konsolidasi; 567 ; 229 ; 1.806 ; 2.603 
123; KC Subang (Konsolidasi; 169 ; 147 ; 936 ; 1.253 
132; KC Majalaya (Konsolidasi; 195 ; 17 ; 1.132 ; 1.344 
133; KC Kuningan (Konsolidasi; 255 ; 62 ; 1.547 ; 1.864 
137; KC Cimahi (Konsolidasi; 656 ; 98 ; 1.794 ; 2.548 
161; KC Singaparna (Konsolidasi; 175 ; 55 ; 900 ; 1.130 
162; KC Banjar (Konsolidasi; 152 ; 57 ; 1.159 ; 1.368 
165; KC Jatibarang (Konsolidasi; 135 ; 33 ; 1.365 ; 1.533 
181; KC Cibadak (Konsolidasi; 151 ; 89 ; 951 ; 1.191 
286; KC Bandung Dewi Sartika (Konsolidasi; 390 ; 287 ; 1.122 ; 1.799 
337; KC Bandung Naripan (Konsolidasi; 290 ; 270 ; 890 ; 1.450 
354; KC Bandung A.H. Nasution (Konsolidasi; 400 ; 192 ; 1.102 ; 1.694 
355; KC Pamanukan (Konsolidasi; 101 ; 72 ; 858 ; 1.030 
389; KC Bandung Martadinata (Konsolidasi; 282 ; 112 ; 710 ; 1.104 
401; KC Bandung Kopo (Konsolidasi; 389 ; 99 ; 858 ; 1.346 
405; KC Bandung Dago (Konsolidasi; 449 ; 168 ; 880 ; 1.497 
406; KC Cirebon Gunung Jati (Konsolidasi; 301 ; 79 ; 1.167 ; 1.547 
407; KC Bandung Sukarno Hatta (Konsolidasi; 369 ; 148 ; 803 ; 1.320 
408; KC Bandung Setiabudi (Konsolidasi; 288 ; 112 ; 711 ; 1.111 
544; KC Soreang (Konsolidasi; 196 ; 73 ; 1.020 ; 1.288 
