Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 326 ; 299 ; 1.120 ; 1.745 
25; KC Garut (Konsolidasi; 259 ; 119 ; 1.773 ; 2.151 
28; KC Indramayu (Konsolidasi; 230 ; 77 ; 1.366 ; 1.673 
46; KC Majalengka (Konsolidasi; 155 ; 95 ; 1.410 ; 1.661 
75; KC Purwakarta (Konsolidasi; 259 ; 196 ; 964 ; 1.419 
92; KC Sukabumi (Konsolidasi; 181 ; 85 ; 1.231 ; 1.498 
94; KC Sumedang (Konsolidasi; 359 ; 86 ; 1.260 ; 1.704 
100; KC Tasikmalaya (Konsolidasi; 136 ; 120 ; 1.393 ; 1.650 
104; KC Ciamis (Konsolidasi; 135 ; 66 ; 1.106 ; 1.306 
105; KC Cianjur (Konsolidasi; 248 ; 50 ; 1.375 ; 1.673 
107; KC Cirebon Kartini (Konsolidasi; 567 ; 232 ; 1.844 ; 2.642 
123; KC Subang (Konsolidasi; 169 ; 142 ; 955 ; 1.266 
132; KC Majalaya (Konsolidasi; 196 ; 25 ; 1.135 ; 1.355 
133; KC Kuningan (Konsolidasi; 256 ; 61 ; 1.564 ; 1.880 
137; KC Cimahi (Konsolidasi; 652 ; 126 ; 1.861 ; 2.638 
161; KC Singaparna (Konsolidasi; 175 ; 59 ; 910 ; 1.143 
162; KC Banjar (Konsolidasi; 153 ; 61 ; 1.166 ; 1.380 
165; KC Jatibarang (Konsolidasi; 136 ; 35 ; 1.379 ; 1.549 
181; KC Cibadak (Konsolidasi; 151 ; 102 ; 963 ; 1.216 
286; KC Bandung Dewi Sartika (Konsolidasi; 395 ; 266 ; 1.155 ; 1.816 
337; KC Bandung Naripan (Konsolidasi; 298 ; 249 ; 929 ; 1.476 
354; KC Bandung A.H. Nasution (Konsolidasi; 422 ; 202 ; 1.196 ; 1.819 
355; KC Pamanukan (Konsolidasi; 99 ; 119 ; 839 ; 1.057 
389; KC Bandung Martadinata (Konsolidasi; 281 ; 102 ; 969 ; 1.352 
401; KC Bandung Kopo (Konsolidasi; 440 ; 91 ; 797 ; 1.328 
405; KC Bandung Dago (Konsolidasi; 451 ; 215 ; 992 ; 1.657 
406; KC Cirebon Gunung Jati (Konsolidasi; 268 ; 77 ; 1.201 ; 1.546 
407; KC Bandung Sukarno Hatta (Konsolidasi; 367 ; 133 ; 943 ; 1.443 
408; KC Bandung Setiabudi (Konsolidasi; 289 ; 99 ; 735 ; 1.123 
544; KC Soreang (Konsolidasi; 196 ; 80 ; 1.038 ; 1.314 
