Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 323 ; 274 ; 1.090 ; 1.688 
25;Garut (Konsolidasi-MB); 267 ; 114 ; 1.797 ; 2.178 
28;Indramayu (Konsolidasi-MB); 228 ; 79 ; 1.390 ; 1.697 
46;Majalengka (Konsolidasi-MB); 160 ; 99 ; 1.435 ; 1.693 
75;Purwakarta (Konsolidasi-MB); 257 ; 198 ; 971 ; 1.426 
92;Sukabumi (Konsolidasi-MB); 179 ; 93 ; 1.200 ; 1.472 
94;Sumedang (Konsolidasi-MB); 373 ; 82 ; 1.289 ; 1.744 
100;Tasikmalaya (Konsolidasi-MB); 144 ; 111 ; 1.400 ; 1.654 
104;Ciamis (Konsolidasi-MB); 137 ; 72 ; 1.118 ; 1.327 
105;Cianjur (Konsolidasi-MB); 241 ; 53 ; 1.375 ; 1.669 
107;Cirebon Kartini (Konsolidasi-MB); 573 ; 245 ; 1.784 ; 2.602 
123;Subang (Konsolidasi-MB); 173 ; 142 ; 988 ; 1.303 
132;Majalaya (Konsolidasi-MB); 198 ; 17 ; 1.161 ; 1.376 
133;Kuningan (Konsolidasi-MB); 253 ; 68 ; 1.579 ; 1.900 
137;Cimahi (Konsolidasi-MB); 666 ; 127 ; 1.885 ; 2.678 
161;Singaparna (Konsolidasi-MB); 176 ; 56 ; 909 ; 1.141 
162;Banjar (Konsolidasi-MB); 152 ; 61 ; 1.159 ; 1.371 
165;Jatibarang (Konsolidasi-MB); 137 ; 32 ; 1.365 ; 1.533 
181;Cibadak (Konsolidasi-MB); 158 ; 73 ; 981 ; 1.211 
286;Bandung Dewi Sartika (Konsolidasi-MB); 395 ; 378 ; 1.180 ; 1.953 
337;Bandung Naripan (Konsolidasi-MB); 298 ; 245 ; 946 ; 1.490 
354;Bandung A.H. Nasution (Konsolidasi-MB); 422 ; 211 ; 1.125 ; 1.758 
355;Pamanukan (Konsolidasi-MB); 100 ; 99 ; 872 ; 1.071 
389;Bandung Martadinata (Konsolidasi-MB); 289 ; 117 ; 966 ; 1.371 
401;Bandung Kopo (Konsolidasi-MB); 659 ; 88 ; 854 ; 1.601 
405;Bandung Dago (Konsolidasi-MB); 443 ; 168 ; 1.010 ; 1.621 
406;Cirebon Gunung Jati (Konsolidasi-MB); 221 ; 80 ; 1.241 ; 1.542 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 332 ; 167 ; 892 ; 1.391 
408;Bandung Setiabudi (Konsolidasi-MB); 297 ; 106 ; 762 ; 1.164 
544;Soreang (Konsolidasi-MB); 200 ; 79 ; 1.037 ; 1.316 
