Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 611 ; 341 ; 1.187 ; 2.139 
25;Garut (Konsolidasi-MB); 222 ; 96 ; 1.932 ; 2.250 
28;Indramayu (Konsolidasi-MB); 225 ; 105 ; 1.462 ; 1.791 
46;Majalengka (Konsolidasi-MB); 174 ; 44 ; 1.529 ; 1.748 
75;Purwakarta (Konsolidasi-MB); 247 ; 86 ; 994 ; 1.327 
92;Sukabumi (Konsolidasi-MB); 173 ; 92 ; 1.220 ; 1.484 
94;Sumedang (Konsolidasi-MB); 363 ; 170 ; 1.291 ; 1.824 
100;Tasikmalaya (Konsolidasi-MB); 163 ; 119 ; 1.465 ; 1.746 
104;Ciamis (Konsolidasi-MB); 147 ; 56 ; 1.185 ; 1.389 
105;Cianjur (Konsolidasi-MB); 248 ; 62 ; 1.473 ; 1.783 
107;Cirebon Kartini (Konsolidasi-MB); 663 ; 205 ; 2.074 ; 2.942 
123;Subang (Konsolidasi-MB); 172 ; 161 ; 1.012 ; 1.344 
132;Majalaya (Konsolidasi-MB); 246 ; 21 ; 1.228 ; 1.495 
133;Kuningan (Konsolidasi-MB); 304 ; 73 ; 1.619 ; 1.996 
137;Cimahi (Konsolidasi-MB); 577 ; 422 ; 2.376 ; 3.375 
161;Singaparna (Konsolidasi-MB); 162 ; 47 ; 949 ; 1.158 
162;Banjar (Konsolidasi-MB); 156 ; 55 ; 1.244 ; 1.455 
165;Jatibarang (Konsolidasi-MB); 130 ; 44 ; 1.459 ; 1.633 
181;Cibadak (Konsolidasi-MB); 159 ; 89 ; 1.025 ; 1.273 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.234 ; 345 ; 1.084 ; 2.663 
337;Bandung Naripan (Konsolidasi-MB); 348 ; 249 ; 826 ; 1.422 
354;Bandung A.H. Nasution (Konsolidasi-MB); 605 ; 261 ; 1.154 ; 2.020 
355;Pamanukan (Konsolidasi-MB); 97 ; 127 ; 889 ; 1.113 
389;Bandung Martadinata (Konsolidasi-MB); 717 ; 299 ; 736 ; 1.752 
401;Bandung Kopo (Konsolidasi-MB); 629 ; 181 ; 896 ; 1.705 
405;Bandung Dago (Konsolidasi-MB); 495 ; 234 ; 934 ; 1.663 
406;Cirebon Gunung Jati (Konsolidasi-MB); 237 ; 86 ; 1.251 ; 1.574 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 578 ; 270 ; 902 ; 1.751 
408;Bandung Setiabudi (Konsolidasi-MB); 294 ; 100 ; 738 ; 1.132 
544;Soreang (Konsolidasi-MB); 235 ; 42 ; 1.054 ; 1.330 
Grand;; 10.611 ; 4.483 ; 37.187 ; 52.281 
