Row L;konsol; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 253 ; 350 ; 1.106 ; 1.710 
25;Garut (Konsolidasi-MB); 208 ; 97 ; 1.851 ; 2.156 
28;Indramayu (Konsolidasi-MB); 223 ; 93 ; 1.446 ; 1.762 
46;Majalengka (Konsolidasi-MB); 163 ; 53 ; 1.488 ; 1.704 
75;Purwakarta (Konsolidasi-MB); 258 ; 191 ; 958 ; 1.407 
92;Sukabumi (Konsolidasi-MB); 179 ; 79 ; 1.203 ; 1.460 
94;Sumedang (Konsolidasi-MB); 368 ; 62 ; 1.266 ; 1.696 
100;Tasikmalaya (Konsolidasi-MB); 146 ; 136 ; 1.450 ; 1.733 
104;Ciamis (Konsolidasi-MB); 135 ; 55 ; 1.133 ; 1.323 
105;Cianjur (Konsolidasi-MB); 324 ; 55 ; 1.400 ; 1.779 
107;Cirebon Kartini (Konsolidasi-MB); 576 ; 239 ; 1.956 ; 2.771 
123;Subang (Konsolidasi-MB); 162 ; 165 ; 1.008 ; 1.336 
132;Majalaya (Konsolidasi-MB); 196 ; 22 ; 1.188 ; 1.405 
133;Kuningan (Konsolidasi-MB); 272 ; 59 ; 1.539 ; 1.870 
137;Cimahi (Konsolidasi-MB); 622 ; 110 ; 1.866 ; 2.598 
161;Singaparna (Konsolidasi-MB); 166 ; 65 ; 947 ; 1.178 
162;Banjar (Konsolidasi-MB); 147 ; 57 ; 1.228 ; 1.432 
165;Jatibarang (Konsolidasi-MB); 135 ; 31 ; 1.480 ; 1.646 
181;Cibadak (Konsolidasi-MB); 158 ; 65 ; 996 ; 1.219 
286;Bandung Dewi Sartika (Konsolidasi-MB); 380 ; 254 ; 1.116 ; 1.750 
337;Bandung Naripan (Konsolidasi-MB); 287 ; 213 ; 867 ; 1.366 
354;Bandung A.H. Nasution (Konsolidasi-MB); 427 ; 176 ; 1.187 ; 1.790 
355;Pamanukan (Konsolidasi-MB); 99 ; 88 ; 953 ; 1.140 
389;Bandung Martadinata (Konsolidasi-MB); 283 ; 367 ; 737 ; 1.388 
401;Bandung Kopo (Konsolidasi-MB); 728 ; 150 ; 862 ; 1.740 
405;Bandung Dago (Konsolidasi-MB); 422 ; 247 ; 918 ; 1.587 
406;Cirebon Gunung Jati (Konsolidasi-MB); 199 ; 71 ; 1.199 ; 1.470 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 382 ; 160 ; 828 ; 1.370 
408;Bandung Setiabudi (Konsolidasi-MB); 283 ; 85 ; 692 ; 1.061 
544;Soreang (Konsolidasi-MB); 193 ; 42 ; 1.057 ; 1.292 
Grand;; 8.377 ; 3.837 ; 35.926 ; 48.140 
