Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 253 ; 360 ; 1.097 ; 1.709 
25;Garut (Konsolidasi-MB); 209 ; 95 ; 1.840 ; 2.144 
28;Indramayu (Konsolidasi-MB); 222 ; 90 ; 1.435 ; 1.747 
46;Majalengka (Konsolidasi-MB); 162 ; 55 ; 1.474 ; 1.692 
75;Purwakarta (Konsolidasi-MB); 258 ; 197 ; 956 ; 1.411 
92;Sukabumi (Konsolidasi-MB); 179 ; 79 ; 1.174 ; 1.432 
94;Sumedang (Konsolidasi-MB); 367 ; 64 ; 1.262 ; 1.693 
100;Tasikmalaya (Konsolidasi-MB); 147 ; 122 ; 1.436 ; 1.705 
104;Ciamis (Konsolidasi-MB); 136 ; 54 ; 1.123 ; 1.313 
105;Cianjur (Konsolidasi-MB); 237 ; 59 ; 1.371 ; 1.667 
107;Cirebon Kartini (Konsolidasi-MB); 573 ; 229 ; 1.958 ; 2.760 
123;Subang (Konsolidasi-MB); 163 ; 165 ; 1.003 ; 1.331 
132;Majalaya (Konsolidasi-MB); 192 ; 19 ; 1.190 ; 1.402 
133;Kuningan (Konsolidasi-MB); 272 ; 64 ; 1.530 ; 1.865 
137;Cimahi (Konsolidasi-MB); 623 ; 103 ; 1.853 ; 2.579 
161;Singaparna (Konsolidasi-MB); 166 ; 66 ; 934 ; 1.166 
162;Banjar (Konsolidasi-MB); 146 ; 60 ; 1.226 ; 1.433 
165;Jatibarang (Konsolidasi-MB); 134 ; 32 ; 1.457 ; 1.623 
181;Cibadak (Konsolidasi-MB); 158 ; 65 ; 995 ; 1.218 
286;Bandung Dewi Sartika (Konsolidasi-MB); 382 ; 252 ; 1.115 ; 1.749 
337;Bandung Naripan (Konsolidasi-MB); 287 ; 219 ; 862 ; 1.368 
354;Bandung A.H. Nasution (Konsolidasi-MB); 425 ; 171 ; 1.182 ; 1.778 
355;Pamanukan (Konsolidasi-MB); 98 ; 90 ; 945 ; 1.133 
389;Bandung Martadinata (Konsolidasi-MB); 283 ; 410 ; 733 ; 1.427 
401;Bandung Kopo (Konsolidasi-MB); 727 ; 119 ; 807 ; 1.653 
405;Bandung Dago (Konsolidasi-MB); 423 ; 248 ; 887 ; 1.558 
406;Cirebon Gunung Jati (Konsolidasi-MB); 198 ; 71 ; 1.188 ; 1.456 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 383 ; 153 ; 823 ; 1.358 
408;Bandung Setiabudi (Konsolidasi-MB); 283 ; 87 ; 683 ; 1.054 
544;Soreang (Konsolidasi-MB); 193 ; 44 ; 1.053 ; 1.289 
Grand;; 8.279 ; 3.843 ; 35.592 ; 47.714 
