Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total ;
5;Bandung AA (Konsolidasi-MB); 253 ; 357 ; 1.094 ; 1.704 ;
25;Garut (Konsolidasi-MB); 209 ; 89 ; 1.844 ; 2.142 ;
28;Indramayu (Konsolidasi-MB); 222 ; 82 ; 1.443 ; 1.748 ;
46;Majalengka (Konsolidasi-MB); 163 ; 53 ; 1.464 ; 1.680 ;
75;Purwakarta (Konsolidasi-MB); 258 ; 181 ; 956 ; 1.395 ;
92;Sukabumi (Konsolidasi-MB); 179 ; 82 ; 1.178 ; 1.439 ;
94;Sumedang (Konsolidasi-MB); 366 ; 62 ; 1.266 ; 1.694 ;
100;Tasikmalaya (Konsolidasi-MB); 148 ; 122 ; 1.440 ; 1.709 ;
104;Ciamis (Konsolidasi-MB); 136 ; 52 ; 1.129 ; 1.317 ;
105;Cianjur (Konsolidasi-MB); 237 ; 58 ; 1.368 ; 1.663 ;
107;Cirebon Kartini (Konsolidasi-MB); 573 ; 217 ; 1.897 ; 2.687 ;
123;Subang (Konsolidasi-MB); 163 ; 165 ; 1.000 ; 1.328 ;
132;Majalaya (Konsolidasi-MB); 193 ; 19 ; 1.190 ; 1.402 ;
133;Kuningan (Konsolidasi-MB); 272 ; 63 ; 1.529 ; 1.864 ;
137;Cimahi (Konsolidasi-MB); 571 ; 103 ; 1.910 ; 2.584 ;
161;Singaparna (Konsolidasi-MB); 165 ; 64 ; 929 ; 1.158 ;
162;Banjar (Konsolidasi-MB); 146 ; 62 ; 1.226 ; 1.434 ;
165;Jatibarang (Konsolidasi-MB); 134 ; 40 ; 1.455 ; 1.630 ;
181;Cibadak (Konsolidasi-MB); 158 ; 54 ; 1.004 ; 1.216 ;
286;Bandung Dewi Sartika (Konsolidasi-MB); 382 ; 251 ; 1.141 ; 1.774 ;
337;Bandung Naripan (Konsolidasi-MB); 286 ; 220 ; 858 ; 1.363 ;
354;Bandung A.H. Nasution (Konsolidasi-MB); 421 ; 170 ; 1.185 ; 1.775 ;
355;Pamanukan (Konsolidasi-MB); 97 ; 88 ; 942 ; 1.128 ;
389;Bandung Martadinata (Konsolidasi-MB); 282 ; 414 ; 731 ; 1.427 ;
401;Bandung Kopo (Konsolidasi-MB); 727 ; 98 ; 808 ; 1.633 ;
405;Bandung Dago (Konsolidasi-MB); 423 ; 248 ; 888 ; 1.559 ;
406;Cirebon Gunung Jati (Konsolidasi-MB); 197 ; 82 ; 1.190 ; 1.469 ;
407;Bandung Sukarno Hatta (Konsolidasi-MB); 383 ; 145 ; 822 ; 1.350 ;
408;Bandung Setiabudi (Konsolidasi-MB); 284 ; 85 ; 685 ; 1.054 ;
544;Soreang (Konsolidasi-MB); 193 ; 42 ; 1.049 ; 1.285 ;
Grand;; 8.219 ; 3.769 ; 35.621 ; 47.609 ;
