Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total ;
5; KC Bandung AA (Konsolidasi; 347 ; 301 ; 979 ; 1.627 ;
25; KC Garut (Konsolidasi; 263 ; 107 ; 1.760 ; 2.131 ;
28; KC Indramayu (Konsolidasi; 229 ; 77 ; 1.341 ; 1.647 ;
46; KC Majalengka (Konsolidasi; 156 ; 94 ; 1.400 ; 1.650 ;
75; KC Purwakarta (Konsolidasi; 256 ; 183 ; 943 ; 1.382 ;
92; KC Sukabumi (Konsolidasi; 182 ; 88 ; 1.176 ; 1.446 ;
94; KC Sumedang (Konsolidasi; 369 ; 68 ; 1.241 ; 1.678 ;
100; KC Tasikmalaya (Konsolidasi; 138 ; 105 ; 1.396 ; 1.639 ;
104; KC Ciamis (Konsolidasi; 135 ; 68 ; 1.104 ; 1.307 ;
105; KC Cianjur (Konsolidasi; 249 ; 46 ; 1.328 ; 1.623 ;
107; KC Cirebon Kartini (Konsolidasi; 567 ; 233 ; 1.801 ; 2.601 ;
123; KC Subang (Konsolidasi; 168 ; 147 ; 933 ; 1.248 ;
132; KC Majalaya (Konsolidasi; 195 ; 17 ; 1.129 ; 1.342 ;
133; KC Kuningan (Konsolidasi; 256 ; 63 ; 1.542 ; 1.861 ;
137; KC Cimahi (Konsolidasi; 656 ; 99 ; 1.790 ; 2.545 ;
161; KC Singaparna (Konsolidasi; 174 ; 55 ; 902 ; 1.131 ;
162; KC Banjar (Konsolidasi; 152 ; 57 ; 1.164 ; 1.373 ;
165; KC Jatibarang (Konsolidasi; 135 ; 33 ; 1.363 ; 1.531 ;
181; KC Cibadak (Konsolidasi; 151 ; 93 ; 950 ; 1.194 ;
286; KC Bandung Dewi Sartika (Konsolidasi; 390 ; 292 ; 1.119 ; 1.801 ;
337; KC Bandung Naripan (Konsolidasi; 290 ; 267 ; 891 ; 1.448 ;
354; KC Bandung A.H. Nasution (Konsolidasi; 400 ; 193 ; 1.097 ; 1.690 ;
355; KC Pamanukan (Konsolidasi; 101 ; 71 ; 853 ; 1.026 ;
389; KC Bandung Martadinata (Konsolidasi; 283 ; 118 ; 708 ; 1.108 ;
401; KC Bandung Kopo (Konsolidasi; 389 ; 102 ; 855 ; 1.346 ;
405; KC Bandung Dago (Konsolidasi; 449 ; 168 ; 877 ; 1.493 ;
406; KC Cirebon Gunung Jati (Konsolidasi; 301 ; 82 ; 1.163 ; 1.546 ;
407; KC Bandung Sukarno Hatta (Konsolidasi; 369 ; 155 ; 801 ; 1.325 ;
408; KC Bandung Setiabudi (Konsolidasi; 288 ; 113 ; 708 ; 1.108 ;
544; KC Soreang (Konsolidasi; 195 ; 72 ; 1.016 ; 1.284 ;
