Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi;359;242;984;1584
25; KC Garut (Konsolidasi;266;111;1780;2157
28; KC Indramayu (Konsolidasi;235;75;1366;1676
46; KC Majalengka (Konsolidasi;160;95;1412;1666
75; KC Purwakarta (Konsolidasi;254;159;944;1356
92; KC Sukabumi (Konsolidasi;180;92;1188;1460
94; KC Sumedang (Konsolidasi;360;78;1261;1699
100; KC Tasikmalaya (Konsolidasi;143;114;1360;1617
104; KC Ciamis (Konsolidasi;137;71;1101;1308
105; KC Cianjur (Konsolidasi;251;49;1307;1607
107; KC Cirebon Kartini (Konsolidasi;560;239;1674;2473
123; KC Subang (Konsolidasi;173;117;952;1242
132; KC Majalaya (Konsolidasi;199;30;1133;1362
133; KC Kuningan (Konsolidasi;253;55;1556;1864
137; KC Cimahi (Konsolidasi;672;99;1787;2558
161; KC Singaparna (Konsolidasi;179;47;891;1117
162; KC Banjar (Konsolidasi;149;66;1135;1350
165; KC Jatibarang (Konsolidasi;137;29;1329;1494
181; KC Cibadak (Konsolidasi;157;85;954;1197
286; KC Bandung Dewi Sartika (Konsolidasi;393;298;1039;1730
337; KC Bandung Naripan (Konsolidasi;292;286;840;1418
354; KC Bandung A.H. Nasution (Konsolidasi;419;195;1151;1765
355; KC Pamanukan (Konsolidasi;99;62;855;1016
389; KC Bandung Martadinata (Konsolidasi;290;103;720;1113
401; KC Bandung Kopo (Konsolidasi;635;80;840;1555
405; KC Bandung Dago (Konsolidasi;446;160;859;1465
406; KC Cirebon Gunung Jati (Konsolidasi;221;85;1171;1477
407; KC Bandung Sukarno Hatta (Konsolidasi;333;165;813;1311
408; KC Bandung Setiabudi (Konsolidasi;302;107;701;1110
544; KC Soreang (Konsolidasi;201;84;1006;1292
