kode bo;nama bo; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 369 ; 370 ; 1.120 ; 1.859 
25; KC Garut (Konsolidasi; 198 ; 112 ; 1.891 ; 2.201 
28; KC Indramayu (Konsolidasi; 228 ; 80 ; 1.411 ; 1.720 
46; KC Majalengka (Konsolidasi; 153 ; 91 ; 1.452 ; 1.696 
75; KC Purwakarta (Konsolidasi; 257 ; 169 ; 999 ; 1.424 
92; KC Sukabumi (Konsolidasi; 179 ; 82 ; 1.534 ; 1.796 
94; KC Sumedang (Konsolidasi; 347 ; 74 ; 1.329 ; 1.750 
100; KC Tasikmalaya (Konsolidasi; 138 ; 110 ; 1.510 ; 1.758 
104; KC Ciamis (Konsolidasi; 133 ; 55 ; 1.185 ; 1.373 
105; KC Cianjur (Konsolidasi; 245 ; 45 ; 3.670 ; 3.960 
107; KC Cirebon Kartini (Konsolidasi; 565 ; 214 ; 2.037 ; 2.815 
123; KC Subang (Konsolidasi; 165 ; 167 ; 1.008 ; 1.340 
132; KC Majalaya (Konsolidasi; 347 ; 21 ; 1.200 ; 1.568 
133; KC Kuningan (Konsolidasi; 257 ; 53 ; 1.561 ; 1.871 
137; KC Cimahi (Konsolidasi; 642 ; 90 ; 1.968 ; 2.701 
161; KC Singaparna (Konsolidasi; 172 ; 56 ; 947 ; 1.175 
162; KC Banjar (Konsolidasi; 150 ; 44 ; 1.294 ; 1.488 
165; KC Jatibarang (Konsolidasi; 136 ; 35 ; 1.499 ; 1.670 
181; KC Cibadak (Konsolidasi; 149 ; 96 ; 1.018 ; 1.263 
286; KC Bandung Dewi Sartika (Konsolidasi; 374 ; 251 ; 1.201 ; 1.826 
337; KC Bandung Naripan (Konsolidasi; 284 ; 236 ; 964 ; 1.484 
354; KC Bandung A.H. Nasution (Konsolidasi; 429 ; 172 ; 1.217 ; 1.818 
355; KC Pamanukan (Konsolidasi; 99 ; 89 ; 999 ; 1.187 
389; KC Bandung Martadinata (Konsolidasi; 281 ; 225 ; 784 ; 1.290 
401; KC Bandung Kopo (Konsolidasi; 364 ; 97 ; 828 ; 1.288 
405; KC Bandung Dago (Konsolidasi; 433 ; 218 ; 952 ; 1.603 
406; KC Cirebon Gunung Jati (Konsolidasi; 205 ; 71 ; 1.271 ; 1.548 
407; KC Bandung Sukarno Hatta (Konsolidasi; 367 ; 131 ; 857 ; 1.354 
408; KC Bandung Setiabudi (Konsolidasi; 288 ; 93 ; 715 ; 1.096 
544; KC Soreang (Konsolidasi; 194 ; 62 ; 1.065 ; 1.320 
