Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi;347;289;979;1.615
25; KC Garut (Konsolidasi;259;104;1.754;2.117
28; KC Indramayu (Konsolidasi;228;77;1.344;1.650
46; KC Majalengka (Konsolidasi;156;95;1.393;1.644
75; KC Purwakarta (Konsolidasi;254;184;942;1.381
92; KC Sukabumi (Konsolidasi;181;84;1.164;1.429
94; KC Sumedang (Konsolidasi;369;68;1.232;1.669
100; KC Tasikmalaya (Konsolidasi;136;107;1.385;1.629
104; KC Ciamis (Konsolidasi;135;66;1.097;1.298
105; KC Cianjur (Konsolidasi;250;48;1.327;1.625
107; KC Cirebon Kartini (Konsolidasi;567;252;1.804;2.623
123; KC Subang (Konsolidasi;169;150;930;1.248
132; KC Majalaya (Konsolidasi;196;18;1.118;1.332
133; KC Kuningan (Konsolidasi;256;55;1.535;1.846
137; KC Cimahi (Konsolidasi;652;106;1.787;2.545
161; KC Singaparna (Konsolidasi;174;63;892;1.129
162; KC Banjar (Konsolidasi;153;63;1.156;1.372
165; KC Jatibarang (Konsolidasi;136;30;1.377;1.543
181; KC Cibadak (Konsolidasi;151;101;945;1.197
286; KC Bandung Dewi Sartika (Konsolidasi;389;317;1.112;1.817
337; KC Bandung Naripan (Konsolidasi;297;256;910;1.462
354; KC Bandung A.H. Nasution (Konsolidasi;400;197;1.077;1.674
355; KC Pamanukan (Konsolidasi;99;105;840;1.044
389; KC Bandung Martadinata (Konsolidasi;282;104;856;1.242
401; KC Bandung Kopo (Konsolidasi;490;91;780;1.360
405; KC Bandung Dago (Konsolidasi;451;177;873;1.500
406; KC Cirebon Gunung Jati (Konsolidasi;286;80;1.173;1.539
407; KC Bandung Sukarno Hatta (Konsolidasi;367;125;802;1.293
408; KC Bandung Setiabudi (Konsolidasi;289;98;710;1.097
544; KC Soreang (Konsolidasi;196;79;1.014;1.289
