UKER;;KC Purwakarta;KC Indramayu;KC Subang;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Kartini;KC Kuningan;KC Cirebon Gunung Jati;KC Garut;KC Tasikmalaya;KC Ciamis;KC Singaparna;KC Banjar;KC Sukabumi;KC Cianjur;KC Majalaya;KC Cimahi;KC Cibadak;KC Soreang;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Naripan;KC Bandung A.H. Nasution;KC Bandung Martadinata;KC Bandung Kopo;KC Bandung Dago;KC Bandung Sukarno Hatta;KC Bandung Setiabudi
01-Dec;CASA; 1.113 ; 1.476 ; 1.033 ; 1.408 ; 973 ; 1.439 ; 1.513 ; 2.033 ; 1.654 ; 1.298 ; 1.959 ; 1.519 ; 1.211 ; 989 ; 1.235 ; 1.288 ; 1.435 ; 1.185 ; 1.988 ; 1.115 ; 1.100 ; 1.384 ; 1.133 ; 1.317 ; 1.868 ; 884 ; 1.076 ; 771 ; 930 ; 1.056 
02-Dec;CASA; 1.117 ; 1.475 ; 1.034 ; 1.397 ; 965 ; 1.430 ; 1.504 ; 2.030 ; 1.655 ; 1.287 ; 1.953 ; 1.514 ; 1.207 ; 980 ; 1.234 ; 1.285 ; 1.416 ; 1.177 ; 1.978 ; 1.107 ; 1.081 ; 1.362 ; 1.087 ; 1.312 ; 1.874 ; 885 ; 868 ; 737 ; 924 ; 1.039 
03-Dec;CASA; 1.114 ; 1.478 ; 1.015 ; 1.400 ; 963 ; 1.425 ; 1.501 ; 1.929 ; 1.643 ; 1.297 ; 1.953 ; 1.514 ; 1.200 ; 974 ; 1.233 ; 1.288 ; 1.417 ; 1.175 ; 1.983 ; 1.108 ; 1.091 ; 1.365 ; 1.074 ; 1.316 ; 1.873 ; 803 ; 873 ; 732 ; 907 ; 1.023 
04-Dec;CASA; 1.109 ; 1.477 ; 1.037 ; 1.396 ; 967 ; 1.428 ; 1.499 ; 1.930 ; 1.641 ; 1.288 ; 1.949 ; 1.512 ; 1.195 ; 969 ; 1.223 ; 1.268 ; 1.418 ; 1.178 ; 1.975 ; 1.111 ; 1.082 ; 1.356 ; 1.079 ; 1.314 ; 1.864 ; 776 ; 878 ; 720 ; 919 ; 1.028 
05-Dec;CASA; 1.115 ; 1.481 ; 1.024 ; 1.400 ; 971 ; 1.428 ; 1.497 ; 1.918 ; 1.643 ; 1.294 ; 1.933 ; 1.521 ; 1.195 ; 969 ; 1.234 ; 1.282 ; 1.420 ; 1.184 ; 1.968 ; 1.103 ; 1.081 ; 1.361 ; 1.079 ; 1.308 ; 1.857 ; 777 ; 877 ; 717 ; 900 ; 1.012 
06-Dec;CASA; 1.111 ; 1.477 ; 1.019 ; 1.405 ; 968 ; 1.422 ; 1.494 ; 1.917 ; 1.639 ; 1.294 ; 1.927 ; 1.524 ; 1.190 ; 972 ; 1.231 ; 1.281 ; 1.418 ; 1.181 ; 1.956 ; 1.102 ; 1.077 ; 1.355 ; 1.080 ; 1.297 ; 1.850 ; 770 ; 886 ; 715 ; 900 ; 1.009 
07-Dec;CASA; 1.106 ; 1.471 ; 1.014 ; 1.402 ; 968 ; 1.422 ; 1.489 ; 1.918 ; 1.639 ; 1.290 ; 1.920 ; 1.521 ; 1.186 ; 970 ; 1.226 ; 1.277 ; 1.413 ; 1.175 ; 1.948 ; 1.099 ; 1.075 ; 1.352 ; 1.082 ; 1.300 ; 1.846 ; 770 ; 891 ; 714 ; 902 ; 1.006 
08-Dec;CASA; 1.110 ; 1.472 ; 1.005 ; 1.394 ; 984 ; 1.421 ; 1.490 ; 1.924 ; 1.634 ; 1.291 ; 1.909 ; 1.510 ; 1.189 ; 974 ; 1.227 ; 1.287 ; 1.409 ; 1.181 ; 1.947 ; 1.093 ; 1.068 ; 1.346 ; 1.078 ; 1.294 ; 1.860 ; 773 ; 905 ; 706 ; 858 ; 1.010 
09-Dec;CASA; 1.111 ; 1.460 ; 994 ; 1.396 ; 982 ; 1.416 ; 1.493 ; 1.930 ; 1.623 ; 1.295 ; 1.910 ; 1.513 ; 1.193 ; 972 ; 1.222 ; 1.268 ; 1.400 ; 1.175 ; 1.946 ; 1.090 ; 1.065 ; 1.344 ; 942 ; 1.279 ; 1.862 ; 776 ; 875 ; 704 ; 846 ; 1.008 
10-Dec;CASA; 1.109 ; 1.477 ; 1.005 ; 1.405 ; 978 ; 1.418 ; 1.499 ; 1.934 ; 1.626 ; 1.299 ; 1.891 ; 1.512 ; 1.192 ; 973 ; 1.225 ; 1.268 ; 1.397 ; 1.178 ; 1.950 ; 1.087 ; 1.061 ; 1.349 ; 975 ; 1.259 ; 1.863 ; 771 ; 894 ; 688 ; 829 ; 1.027 
11-Dec;CASA; 1.104 ; 1.478 ; 1.005 ; 1.401 ; 974 ; 1.413 ; 1.502 ; 1.956 ; 1.627 ; 1.291 ; 1.894 ; 1.509 ; 1.193 ; 967 ; 1.215 ; 1.261 ; 1.394 ; 1.178 ; 1.955 ; 1.093 ; 1.064 ; 1.354 ; 964 ; 1.262 ; 1.867 ; 774 ; 853 ; 695 ; 833 ; 1.022 
12-Dec;CASA; 1.105 ; 1.483 ; 1.005 ; 1.401 ; 976 ; 1.421 ; 1.508 ; 1.948 ; 1.631 ; 1.285 ; 1.905 ; 1.512 ; 1.199 ; 967 ; 1.214 ; 1.260 ; 1.395 ; 1.178 ; 1.963 ; 1.092 ; 1.060 ; 1.367 ; 955 ; 1.264 ; 1.867 ; 797 ; 858 ; 696 ; 825 ; 1.026 
13-Dec;CASA; 1.101 ; 1.472 ; 998 ; 1.405 ; 971 ; 1.415 ; 1.506 ; 1.947 ; 1.628 ; 1.286 ; 1.899 ; 1.513 ; 1.198 ; 970 ; 1.212 ; 1.259 ; 1.395 ; 1.175 ; 1.956 ; 1.091 ; 1.059 ; 1.363 ; 957 ; 1.256 ; 1.863 ; 795 ; 871 ; 696 ; 826 ; 1.020 
14-Dec;CASA; 1.098 ; 1.476 ; 990 ; 1.400 ; 969 ; 1.411 ; 1.500 ; 1.945 ; 1.625 ; 1.281 ; 1.895 ; 1.512 ; 1.196 ; 969 ; 1.207 ; 1.257 ; 1.391 ; 1.171 ; 1.948 ; 1.086 ; 1.060 ; 1.363 ; 958 ; 1.254 ; 1.861 ; 795 ; 877 ; 698 ; 829 ; 1.014 
15-Dec;CASA; 1.115 ; 1.481 ; 1.004 ; 1.408 ; 975 ; 1.425 ; 1.554 ; 1.938 ; 1.630 ; 1.296 ; 1.953 ; 1.507 ; 1.206 ; 980 ; 1.222 ; 1.263 ; 1.408 ; 1.195 ; 1.974 ; 1.101 ; 1.076 ; 1.357 ; 970 ; 1.262 ; 1.796 ; 802 ; 908 ; 694 ; 822 ; 1.021 
16-Dec;CASA; 1.116 ; 1.482 ; 1.002 ; 1.401 ; 965 ; 1.370 ; 1.562 ; 1.938 ; 1.627 ; 1.302 ; 1.947 ; 1.508 ; 1.198 ; 974 ; 1.214 ; 1.257 ; 1.401 ; 1.193 ; 1.985 ; 1.106 ; 1.068 ; 1.373 ; 951 ; 1.274 ; 1.804 ; 787 ; 881 ; 699 ; 829 ; 1.019 
17-Dec;CASA; 1.104 ; 1.491 ; 1.006 ; 1.405 ; 981 ; 1.373 ; 1.562 ; 1.924 ; 1.625 ; 1.301 ; 1.939 ; 1.500 ; 1.199 ; 969 ; 1.214 ; 1.255 ; 1.408 ; 1.191 ; 1.980 ; 1.105 ; 1.068 ; 1.379 ; 945 ; 1.271 ; 1.792 ; 791 ; 882 ; 697 ; 826 ; 1.028 
18-Dec;CASA; 1.107 ; 1.493 ; 1.016 ; 1.400 ; 977 ; 1.372 ; 1.561 ; 1.917 ; 1.628 ; 1.296 ; 1.938 ; 1.495 ; 1.204 ; 967 ; 1.211 ; 1.257 ; 1.417 ; 1.188 ; 1.940 ; 1.110 ; 1.061 ; 1.324 ; 948 ; 1.276 ; 1.783 ; 810 ; 869 ; 702 ; 830 ; 1.036 
19-Dec;CASA; 1.108 ; 1.488 ; 1.014 ; 1.406 ; 977 ; 1.380 ; 1.565 ; 1.926 ; 1.627 ; 1.302 ; 1.935 ; 1.504 ; 1.205 ; 973 ; 1.215 ; 1.259 ; 1.417 ; 1.202 ; 2.006 ; 1.103 ; 1.063 ; 1.309 ; 949 ; 1.284 ; 1.792 ; 808 ; 864 ; 710 ; 857 ; 1.036 
20-Dec;CASA; 1.103 ; 1.480 ; 1.007 ; 1.397 ; 972 ; 1.370 ; 1.560 ; 1.917 ; 1.624 ; 1.298 ; 1.929 ; 1.504 ; 1.196 ; 971 ; 1.216 ; 1.256 ; 1.413 ; 1.200 ; 1.995 ; 1.101 ; 1.061 ; 1.310 ; 951 ; 1.275 ; 1.787 ; 814 ; 871 ; 707 ; 856 ; 1.030 
21-Dec;CASA; 1.099 ; 1.474 ; 1.003 ; 1.394 ; 969 ; 1.366 ; 1.556 ; 1.916 ; 1.622 ; 1.292 ; 1.930 ; 1.500 ; 1.193 ; 968 ; 1.212 ; 1.252 ; 1.409 ; 1.194 ; 1.985 ; 1.095 ; 1.059 ; 1.306 ; 953 ; 1.266 ; 1.785 ; 815 ; 876 ; 708 ; 860 ; 1.028 
22-Dec;CASA; 1.112 ; 1.485 ; 1.002 ; 1.386 ; 986 ; 1.364 ; 1.555 ; 1.935 ; 1.622 ; 1.287 ; 1.931 ; 1.486 ; 1.187 ; 966 ; 1.212 ; 1.252 ; 1.404 ; 1.195 ; 1.926 ; 1.085 ; 1.067 ; 1.280 ; 965 ; 1.277 ; 1.795 ; 821 ; 891 ; 695 ; 861 ; 1.025 
23-Dec;CASA; 1.120 ; 1.493 ; 1.012 ; 1.377 ; 984 ; 1.365 ; 1.551 ; 1.931 ; 1.621 ; 1.288 ; 1.900 ; 1.503 ; 1.189 ; 960 ; 1.212 ; 1.252 ; 1.409 ; 1.188 ; 1.930 ; 1.082 ; 1.083 ; 1.286 ; 946 ; 1.269 ; 1.799 ; 808 ; 865 ; 654 ; 863 ; 1.033 
24-Dec;CASA; 1.140 ; 1.518 ; 1.037 ; 1.382 ; 980 ; 1.392 ; 1.554 ; 1.946 ; 1.622 ; 1.293 ; 1.914 ; 1.516 ; 1.200 ; 967 ; 1.218 ; 1.259 ; 1.414 ; 1.202 ; 1.934 ; 1.093 ; 1.093 ; 1.322 ; 1.003 ; 1.282 ; 1.785 ; 817 ; 870 ; 695 ; 874 ; 1.041 
25-Dec;CASA; 1.129 ; 1.509 ; 1.033 ; 1.376 ; 972 ; 1.383 ; 1.545 ; 1.938 ; 1.613 ; 1.289 ; 1.895 ; 1.504 ; 1.189 ; 960 ; 1.208 ; 1.251 ; 1.397 ; 1.187 ; 1.920 ; 1.082 ; 1.081 ; 1.316 ; 1.009 ; 1.273 ; 1.778 ; 815 ; 877 ; 702 ; 871 ; 1.035 
26-Dec;CASA; 1.122 ; 1.508 ; 1.026 ; 1.370 ; 970 ; 1.376 ; 1.538 ; 1.936 ; 1.611 ; 1.286 ; 1.893 ; 1.503 ; 1.183 ; 953 ; 1.210 ; 1.249 ; 1.390 ; 1.184 ; 1.918 ; 1.079 ; 1.077 ; 1.304 ; 1.011 ; 1.268 ; 1.779 ; 813 ; 882 ; 700 ; 870 ; 1.029 
