UKER;;KC Purwakarta;KC Indramayu;KC Subang;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Kartini;KC Kuningan;KC Cirebon Gunung Jati;KC Garut;KC Tasikmalaya;KC Ciamis;KC Singaparna;KC Banjar;KC Sukabumi;KC Cianjur;KC Majalaya;KC Cimahi;KC Cibadak;KC Soreang;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Naripan;KC Bandung A.H. Nasution;KC Bandung Martadinata;KC Bandung Kopo;KC Bandung Dago;KC Bandung Sukarno Hatta;KC Bandung Setiabudi
31-Dec;DPK; 1.414 ; 1.781 ; 1.246 ; 1.529 ; 1.092 ; 1.734 ; 1.745 ; 2.505 ; 1.905 ; 1.536 ; 2.264 ; 1.673 ; 1.365 ; 1.251 ; 1.411 ; 1.450 ; 1.719 ; 1.409 ; 2.679 ; 1.251 ; 1.303 ; 1.642 ; 1.339 ; 1.712 ; 2.375 ; 1.372 ; 1.516 ; 1.122 ; 1.256 ; 1.438
01-Jan;DPK; 1.407 ; 1.762 ; 1.224 ; 1.512 ; 1.079 ; 1.739 ; 1.736 ; 2.500 ; 1.891 ; 1.535 ; 2.251 ; 1.669 ; 1.377 ; 1.166 ; 1.401 ; 1.465 ; 1.706 ; 1.402 ; 3.050 ; 1.246 ; 1.299 ; 1.681 ; 1.651 ; 1.487 ; 1.727 ; 1.364 ; 1.488 ; 1.582 ; 1.389 ; 1.155
02-Jan;DPK; 1.401 ; 1.754 ; 1.218 ; 1.504 ; 1.076 ; 1.732 ; 1.727 ; 2.492 ; 1.886 ; 1.534 ; 2.242 ; 1.664 ; 1.368 ; 1.160 ; 1.392 ; 1.454 ; 1.699 ; 1.397 ; 3.036 ; 1.241 ; 1.299 ; 1.676 ; 1.650 ; 1.485 ; 1.719 ; 1.358 ; 1.493 ; 1.580 ; 1.387 ; 1.149
03-Jan;DPK; 1.397 ; 1.751 ; 1.213 ; 1.500 ; 1.071 ; 1.726 ; 1.721 ; 2.487 ; 1.884 ; 1.529 ; 2.235 ; 1.657 ; 1.361 ; 1.156 ; 1.386 ; 1.449 ; 1.693 ; 1.394 ; 3.025 ; 1.238 ; 1.296 ; 1.674 ; 1.650 ; 1.473 ; 1.721 ; 1.358 ; 1.494 ; 1.577 ; 1.387 ; 1.147
04-Jan;DPK; 1.398 ; 1.754 ; 1.205 ; 1.506 ; 1.061 ; 1.723 ; 1.723 ; 2.480 ; 1.883 ; 1.533 ; 2.214 ; 1.631 ; 1.343 ; 1.154 ; 1.388 ; 1.442 ; 1.660 ; 1.394 ; 2.610 ; 1.233 ; 1.286 ; 1.660 ; 1.577 ; 1.454 ; 1.717 ; 1.203 ; 1.551 ; 1.526 ; 1.382 ; 1.144
05-Jan;DPK; 1.402 ; 1.727 ; 1.219 ; 1.502 ; 1.060 ; 1.718 ; 1.720 ; 2.480 ; 1.892 ; 1.532 ; 2.205 ; 1.641 ; 1.337 ; 1.144 ; 1.376 ; 1.441 ; 1.654 ; 1.389 ; 2.602 ; 1.225 ; 1.279 ; 1.652 ; 1.723 ; 1.449 ; 1.716 ; 1.171 ; 1.561 ; 1.530 ; 1.483 ; 1.141
06-Jan;DPK; 1.395 ; 1.726 ; 1.220 ; 1.510 ; 1.058 ; 1.714 ; 1.719 ; 2.484 ; 1.876 ; 1.526 ; 2.196 ; 1.636 ; 1.336 ; 1.141 ; 1.374 ; 1.432 ; 1.633 ; 1.386 ; 2.634 ; 1.221 ; 1.289 ; 1.602 ; 1.722 ; 1.414 ; 1.710 ; 1.163 ; 1.553 ; 1.526 ; 1.452 ; 1.135
07-Jan;DPK; 1.394 ; 1.720 ; 1.226 ; 1.515 ; 1.072 ; 1.715 ; 1.719 ; 2.487 ; 1.878 ; 1.519 ; 2.199 ; 1.637 ; 1.338 ; 1.139 ; 1.376 ; 1.438 ; 1.633 ; 1.384 ; 2.623 ; 1.226 ; 1.281 ; 1.619 ; 1.702 ; 1.420 ; 1.695 ; 1.155 ; 1.552 ; 1.496 ; 1.430 ; 1.133
08-Jan;DPK; 1.389 ; 1.724 ; 1.236 ; 1.529 ; 1.066 ; 1.716 ; 1.722 ; 2.480 ; 1.875 ; 1.530 ; 2.208 ; 1.643 ; 1.336 ; 1.138 ; 1.378 ; 1.440 ; 1.666 ; 1.385 ; 2.619 ; 1.224 ; 1.292 ; 1.606 ; 1.692 ; 1.416 ; 1.693 ; 1.153 ; 1.521 ; 1.488 ; 1.413 ; 1.119
09-Jan;DPK; 1.382 ; 1.717 ; 1.232 ; 1.520 ; 1.059 ; 1.709 ; 1.714 ; 2.476 ; 1.874 ; 1.528 ; 2.202 ; 1.640 ; 1.329 ; 1.137 ; 1.374 ; 1.438 ; 1.661 ; 1.382 ; 2.609 ; 1.219 ; 1.288 ; 1.603 ; 1.690 ; 1.399 ; 1.689 ; 1.153 ; 1.527 ; 1.483 ; 1.414 ; 1.114
