Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi-MB);367;251;969;1587
25; KC Garut (Konsolidasi-MB);265;111;1773;2149
28; KC Indramayu (Konsolidasi-MB);235;74;1369;1678
46; KC Majalengka (Konsolidasi-MB);159;96;1420;1675
75; KC Purwakarta (Konsolidasi-MB);256;173;940;1369
92; KC Sukabumi (Konsolidasi-MB);180;83;1148;1411
94; KC Sumedang (Konsolidasi-MB);358;77;1265;1699
100; KC Tasikmalaya (Konsolidasi-MB);142;100;1358;1600
104; KC Ciamis (Konsolidasi-MB);137;71;1098;1306
105; KC Cianjur (Konsolidasi-MB);251;49;1300;1599
107; KC Cirebon Kartini (Konsolidasi-MB);554;223;1685;2463
123; KC Subang (Konsolidasi-MB);172;117;949;1238
132; KC Majalaya (Konsolidasi-MB);200;20;1132;1352
133; KC Kuningan (Konsolidasi-MB);252;58;1543;1854
137; KC Cimahi (Konsolidasi-MB);672;104;1784;2561
161; KC Singaparna (Konsolidasi-MB);178;47;891;1116
162; KC Banjar (Konsolidasi-MB);156;62;1141;1359
165; KC Jatibarang (Konsolidasi-MB);136;24;1328;1488
181; KC Cibadak (Konsolidasi-MB);158;89;953;1199
286; KC Bandung Dewi Sartika (Konsolidasi-MB);405;289;1052;1747
337; KC Bandung Naripan (Konsolidasi-MB);290;260;847;1397
354; KC Bandung A.H. Nasution (Konsolidasi-MB);409;190;1114;1713
355; KC Pamanukan (Konsolidasi-MB);100;69;857;1026
389; KC Bandung Martadinata (Konsolidasi-MB);289;121;730;1140
401; KC Bandung Kopo (Konsolidasi-MB);638;89;810;1537
405; KC Bandung Dago (Konsolidasi-MB);444;140;851;1436
406; KC Cirebon Gunung Jati (Konsolidasi-MB);220;95;1180;1495
407; KC Bandung Sukarno Hatta (Konsolidasi-MB);336;163;806;1304
408; KC Bandung Setiabudi (Konsolidasi-MB);303;108;701;1112
544; KC Soreang (Konsolidasi-MB);203;77;1001;1282
