UKER;KC Purwakarta;KC Indramayu;KC Subang;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Kartini;KC Kuningan;KC Cirebon Gunung Jati;KC Garut;KC Tasikmalaya;KC Ciamis;KC Singaparna;KC Banjar;KC Sukabumi;KC Cianjur;KC Majalaya;KC Cimahi;KC Cibadak;KC Soreang;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Naripan;KC Bandung A.H. Nasution;KC Bandung Martadinata;KC Bandung Kopo;KC Bandung Dago;KC Bandung Sukarno Hatta;KC Bandung Setiabudi
01-Dec; 976 ; 1.408 ; 979 ; 1.370 ; 912 ; 1.323 ; 1.467 ; 1.815 ; 1.588 ; 1.216 ; 1.820 ; 1.414 ; 1.135 ; 930 ; 1.174 ; 1.205 ; 1.382 ; 1.157 ; 1.873 ; 980 ; 1.019 ; 1.085 ; 807 ; 1.074 ; 1.724 ; 782 ; 923 ; 626 ; 713 ; 956 
02-Dec; 978 ; 1.409 ; 983 ; 1.363 ; 908 ; 1.318 ; 1.458 ; 1.811 ; 1.582 ; 1.211 ; 1.815 ; 1.412 ; 1.132 ; 921 ; 1.173 ; 1.206 ; 1.367 ; 1.152 ; 1.879 ; 981 ; 1.004 ; 1.069 ; 800 ; 1.070 ; 1.727 ; 783 ; 765 ; 596 ; 708 ; 942 
03-Dec; 975 ; 1.406 ; 962 ; 1.368 ; 905 ; 1.314 ; 1.456 ; 1.697 ; 1.579 ; 1.211 ; 1.816 ; 1.408 ; 1.128 ; 916 ; 1.169 ; 1.208 ; 1.370 ; 1.149 ; 1.881 ; 977 ; 1.008 ; 1.059 ; 799 ; 1.066 ; 1.728 ; 699 ; 761 ; 589 ; 707 ; 925 
04-Dec; 972 ; 1.407 ; 964 ; 1.365 ; 907 ; 1.317 ; 1.455 ; 1.701 ; 1.577 ; 1.205 ; 1.809 ; 1.402 ; 1.131 ; 912 ; 1.167 ; 1.187 ; 1.370 ; 1.152 ; 1.879 ; 974 ; 1.007 ; 1.055 ; 803 ; 1.061 ; 1.729 ; 679 ; 765 ; 578 ; 710 ; 922 
05-Dec; 979 ; 1.412 ; 966 ; 1.370 ; 913 ; 1.317 ; 1.454 ; 1.690 ; 1.582 ; 1.212 ; 1.839 ; 1.407 ; 1.131 ; 912 ; 1.178 ; 1.200 ; 1.365 ; 1.158 ; 1.879 ; 976 ; 1.007 ; 1.057 ; 804 ; 1.055 ; 1.729 ; 676 ; 771 ; 573 ; 712 ; 917 
06-Dec; 975 ; 1.406 ; 961 ; 1.375 ; 911 ; 1.312 ; 1.450 ; 1.687 ; 1.578 ; 1.213 ; 1.831 ; 1.409 ; 1.128 ; 914 ; 1.175 ; 1.197 ; 1.363 ; 1.153 ; 1.866 ; 975 ; 1.003 ; 1.053 ; 802 ; 1.048 ; 1.721 ; 672 ; 771 ; 570 ; 707 ; 913 
07-Dec; 970 ; 1.400 ; 956 ; 1.371 ; 911 ; 1.311 ; 1.445 ; 1.686 ; 1.577 ; 1.207 ; 1.823 ; 1.406 ; 1.125 ; 912 ; 1.170 ; 1.191 ; 1.359 ; 1.148 ; 1.856 ; 972 ; 1.000 ; 1.050 ; 802 ; 1.045 ; 1.718 ; 669 ; 767 ; 568 ; 703 ; 910 
08-Dec; 968 ; 1.402 ; 953 ; 1.362 ; 906 ; 1.308 ; 1.445 ; 1.680 ; 1.571 ; 1.208 ; 1.815 ; 1.403 ; 1.126 ; 913 ; 1.168 ; 1.195 ; 1.360 ; 1.151 ; 1.851 ; 973 ; 994 ; 1.046 ; 803 ; 1.035 ; 1.720 ; 674 ; 774 ; 558 ; 701 ; 908 
09-Dec; 971 ; 1.388 ; 944 ; 1.364 ; 901 ; 1.303 ; 1.448 ; 1.685 ; 1.562 ; 1.214 ; 1.809 ; 1.401 ; 1.130 ; 914 ; 1.162 ; 1.178 ; 1.351 ; 1.147 ; 1.850 ; 971 ; 991 ; 1.044 ; 660 ; 1.023 ; 1.721 ; 675 ; 772 ; 558 ; 691 ; 905 
10-Dec; 973 ; 1.399 ; 959 ; 1.373 ; 911 ; 1.305 ; 1.455 ; 1.698 ; 1.570 ; 1.221 ; 1.794 ; 1.401 ; 1.131 ; 913 ; 1.162 ; 1.178 ; 1.348 ; 1.149 ; 1.853 ; 974 ; 990 ; 1.046 ; 665 ; 1.014 ; 1.729 ; 672 ; 797 ; 550 ; 692 ; 925 
11-Dec; 969 ; 1.403 ; 959 ; 1.369 ; 909 ; 1.301 ; 1.454 ; 1.707 ; 1.572 ; 1.216 ; 1.797 ; 1.398 ; 1.136 ; 909 ; 1.158 ; 1.176 ; 1.346 ; 1.151 ; 1.859 ; 975 ; 992 ; 1.051 ; 686 ; 1.012 ; 1.725 ; 675 ; 755 ; 551 ; 697 ; 919 
12-Dec; 969 ; 1.410 ; 958 ; 1.371 ; 911 ; 1.306 ; 1.461 ; 1.696 ; 1.568 ; 1.209 ; 1.802 ; 1.399 ; 1.142 ; 909 ; 1.156 ; 1.178 ; 1.346 ; 1.150 ; 1.868 ; 974 ; 992 ; 1.062 ; 682 ; 1.009 ; 1.722 ; 698 ; 759 ; 554 ; 689 ; 924 
13-Dec; 964 ; 1.399 ; 952 ; 1.375 ; 907 ; 1.301 ; 1.459 ; 1.696 ; 1.564 ; 1.208 ; 1.796 ; 1.398 ; 1.140 ; 911 ; 1.153 ; 1.176 ; 1.346 ; 1.147 ; 1.860 ; 973 ; 990 ; 1.059 ; 681 ; 1.003 ; 1.715 ; 696 ; 759 ; 552 ; 687 ; 918 
14-Dec; 961 ; 1.402 ; 945 ; 1.370 ; 905 ; 1.295 ; 1.452 ; 1.692 ; 1.561 ; 1.203 ; 1.792 ; 1.395 ; 1.138 ; 909 ; 1.147 ; 1.173 ; 1.341 ; 1.144 ; 1.852 ; 967 ; 991 ; 1.055 ; 680 ; 1.002 ; 1.713 ; 694 ; 756 ; 552 ; 685 ; 911 
15-Dec; 973 ; 1.407 ; 956 ; 1.378 ; 913 ; 1.311 ; 1.469 ; 1.703 ; 1.569 ; 1.217 ; 1.821 ; 1.405 ; 1.143 ; 924 ; 1.159 ; 1.180 ; 1.357 ; 1.171 ; 1.875 ; 985 ; 1.000 ; 1.053 ; 682 ; 1.013 ; 1.655 ; 691 ; 780 ; 547 ; 684 ; 916 
16-Dec; 971 ; 1.409 ; 954 ; 1.371 ; 910 ; 1.306 ; 1.477 ; 1.694 ; 1.567 ; 1.214 ; 1.816 ; 1.403 ; 1.140 ; 919 ; 1.154 ; 1.173 ; 1.351 ; 1.168 ; 1.884 ; 985 ; 992 ; 1.067 ; 678 ; 1.014 ; 1.664 ; 680 ; 764 ; 549 ; 690 ; 912 
17-Dec; 968 ; 1.413 ; 956 ; 1.373 ; 927 ; 1.308 ; 1.477 ; 1.699 ; 1.568 ; 1.212 ; 1.811 ; 1.398 ; 1.140 ; 920 ; 1.153 ; 1.171 ; 1.358 ; 1.167 ; 1.880 ; 985 ; 996 ; 1.069 ; 674 ; 1.012 ; 1.659 ; 689 ; 769 ; 546 ; 689 ; 914 
