Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi-MB); 117,72 ; 3,8779304 ; 1.410 ; 1.531,61 
28; KC Indramayu (Konsolidasi-MB); 122,51 ; 0,7613180 ; 1.031 ; 1.154,36 
46; KC Majalengka (Konsolidasi-MB); 112,01 ; 0,0160250 ; 1.267 ; 1.379,04 
75; KC Purwakarta (Konsolidasi-MB); 154,15 ; 1,1487511 ; 720 ; 875,34 
92; KC Sukabumi (Konsolidasi-MB); 109,14 ; 1,3921528 ; 876 ; 986,64 
94; KC Sumedang (Konsolidasi-MB); 274,12 ; 115,9687628 ; 926 ; 1.315,83 
100; KC Tasikmalaya (Konsolidasi-MB); 69,24 ; 1,1738912 ; 1.010 ; 1.080,68 
104; KC Ciamis (Konsolidasi-MB); 94,25 ; 1,9209989 ; 961 ; 1.057,34 
105; KC Cianjur (Konsolidasi-MB); 91,14 ; 5,1554169 ; 1.018 ; 1.114,35 
107; KC Cirebon Kartini (Konsolidasi-MB); 137,31 ; 0,4201950 ; 1.002 ; 1.140,10 
123; KC Subang (Konsolidasi-MB); 99,63 ; 0,8233235 ; 754 ; 854,06 
132; KC Majalaya (Konsolidasi-MB); 141,74 ; 0,8838559 ; 956 ; 1.098,50 
133; KC Kuningan (Konsolidasi-MB); 128,94 ; 1,0989613 ; 1.255 ; 1.384,60 
137; KC Cimahi (Konsolidasi-MB); 210,90 ; 1,4080716 ; 1.174 ; 1.386,75 
161; KC Singaparna (Konsolidasi-MB); 35,28 ; 1,7765269 ; 701 ; 738,07 
162; KC Banjar (Konsolidasi-MB); 103,20 ; 1,9980143 ; 1.015 ; 1.119,91 
165; KC Jatibarang (Konsolidasi-MB); 81,14 ; 0,3504190 ; 1.244 ; 1.325,39 
181; KC Cibadak (Konsolidasi-MB); 78,65 ; 0,6930344 ; 747 ; 826,76 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 71,73 ; 0,4467773 ; 264 ; 335,91 
337; KC Bandung Naripan (Konsolidasi-MB); 108,98 ; 1,0751169 ; 338 ; 448,17 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 89,83 ; 0,8285546 ; 404 ; 494,60 
355; KC Pamanukan (Konsolidasi-MB); 38,66 ; 1,2521028 ; 666 ; 706,25 
389; KC Bandung Martadinata (Konsolidasi-MB); 122,03 ; 0,0853181 ; 409 ; 530,90 
401; KC Bandung Kopo (Konsolidasi-MB); 94,76 ; 0,1107264 ; 430 ; 524,69 
405; KC Bandung Dago (Konsolidasi-MB); 103,91 ; 0,0047148 ; 356 ; 460,21 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 94,42 ; 1,2312095 ; 880 ; 975,28 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 137,23 ; 0,0511399 ; 441 ; 578,29 
408; KC Bandung Setiabudi (Konsolidasi-MB); 64,96 ; 0,9675786 ; 342 ; 408,17 
544; KC Soreang (Konsolidasi-MB); 113,48 ; 1,4146849 ; 799 ; 914,34 
Grand Total;Grand Total; 3.201 ; 148 ; 23.397 ; 26.746 
