Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi-MB); 117,76 ; 4,3117763 ; 1.435 ; 1.556,90 
28; KC Indramayu (Konsolidasi-MB); 122,65 ; 0,7327630 ; 1.043 ; 1.166,15 
46; KC Majalengka (Konsolidasi-MB); 112,66 ; 0,0160250 ; 1.281 ; 1.393,50 
75; KC Purwakarta (Konsolidasi-MB); 154,03 ; 1,1487511 ; 730 ; 885,61 
92; KC Sukabumi (Konsolidasi-MB); 108,83 ; 1,4054838 ; 890 ; 1.000,42 
94; KC Sumedang (Konsolidasi-MB); 275,03 ; 116,0925166 ; 940 ; 1.331,11 
100; KC Tasikmalaya (Konsolidasi-MB); 69,09 ; 0,9838912 ; 1.020 ; 1.089,74 
104; KC Ciamis (Konsolidasi-MB); 94,10 ; 1,9322589 ; 968 ; 1.063,64 
105; KC Cianjur (Konsolidasi-MB); 91,26 ; 4,8695450 ; 1.039 ; 1.135,29 
107; KC Cirebon Kartini (Konsolidasi-MB); 136,95 ; 0,5359540 ; 1.012 ; 1.149,69 
123; KC Subang (Konsolidasi-MB); 99,29 ; 0,8133970 ; 761 ; 861,42 
132; KC Majalaya (Konsolidasi-MB); 141,85 ; 0,8838559 ; 964 ; 1.106,90 
133; KC Kuningan (Konsolidasi-MB); 128,54 ; 0,9680373 ; 1.260 ; 1.389,26 
137; KC Cimahi (Konsolidasi-MB); 210,84 ; 1,4080716 ; 1.190 ; 1.402,09 
161; KC Singaparna (Konsolidasi-MB); 35,21 ; 1,7652155 ; 716 ; 753,14 
162; KC Banjar (Konsolidasi-MB); 103,02 ; 1,9919143 ; 1.026 ; 1.130,99 
165; KC Jatibarang (Konsolidasi-MB); 81,10 ; 0,3504190 ; 1.264 ; 1.345,61 
181; KC Cibadak (Konsolidasi-MB); 78,70 ; 0,6930344 ; 755 ; 834,24 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 71,73 ; 0,6472078 ; 265 ; 337,27 
337; KC Bandung Naripan (Konsolidasi-MB); 109,21 ; 1,0261169 ; 342 ; 452,04 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 89,70 ; 0,7785546 ; 409 ; 499,26 
355; KC Pamanukan (Konsolidasi-MB); 38,35 ; 1,1750028 ; 680 ; 719,09 
389; KC Bandung Martadinata (Konsolidasi-MB); 122,03 ; 0,0853181 ; 410 ; 532,33 
401; KC Bandung Kopo (Konsolidasi-MB); 92,46 ; 0,0791794 ; 437 ; 529,09 
405; KC Bandung Dago (Konsolidasi-MB); 103,73 ; 0,0047148 ; 360 ; 464,09 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 94,43 ; 0,4456767 ; 883 ; 977,67 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 137,07 ; 0,0511399 ; 447 ; 583,97 
408; KC Bandung Setiabudi (Konsolidasi-MB); 65,36 ; 0,7720786 ; 345 ; 411,48 
544; KC Soreang (Konsolidasi-MB); 115,28 ; 1,3795637 ; 806 ; 922,18 
Grand Total;Grand Total; 3.200 ; 147 ; 23.677 ; 27.024 
