Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi-MB); 118,10 ; 2,8737587 ; 1.437 ; 1.557,58 
28; KC Indramayu (Konsolidasi-MB); 122,54 ; 0,8187114 ; 1.037 ; 1.160,16 
46; KC Majalengka (Konsolidasi-MB); 112,81 ; 0,0160250 ; 1.283 ; 1.395,90 
75; KC Purwakarta (Konsolidasi-MB); 153,22 ; 1,1487511 ; 732 ; 886,44 
92; KC Sukabumi (Konsolidasi-MB); 108,86 ; 1,5641813 ; 891 ; 1.001,85 
94; KC Sumedang (Konsolidasi-MB); 276,15 ; 116,2163767 ; 943 ; 1.335,09 
100; KC Tasikmalaya (Konsolidasi-MB); 69,05 ; 0,8838912 ; 1.031 ; 1.101,36 
104; KC Ciamis (Konsolidasi-MB); 93,80 ; 1,5616899 ; 976 ; 1.071,35 
105; KC Cianjur (Konsolidasi-MB); 91,66 ; 3,5166381 ; 1.043 ; 1.138,54 
107; KC Cirebon Kartini (Konsolidasi-MB); 137,16 ; 0,6046680 ; 1.013 ; 1.151,12 
123; KC Subang (Konsolidasi-MB); 99,03 ; 0,7233970 ; 766 ; 865,70 
132; KC Majalaya (Konsolidasi-MB); 143,25 ; 0,6838559 ; 974 ; 1.118,40 
133; KC Kuningan (Konsolidasi-MB); 128,99 ; 0,9180373 ; 1.265 ; 1.395,30 
137; KC Cimahi (Konsolidasi-MB); 204,44 ; 1,0070182 ; 1.217 ; 1.422,48 
161; KC Singaparna (Konsolidasi-MB); 35,57 ; 1,5878145 ; 714 ; 751,53 
162; KC Banjar (Konsolidasi-MB); 103,98 ; 1,6133143 ; 1.028 ; 1.133,47 
165; KC Jatibarang (Konsolidasi-MB); 81,51 ; 0,3504190 ; 1.259 ; 1.340,80 
181; KC Cibadak (Konsolidasi-MB); 79,06 ; 0,5930344 ; 758 ; 837,43 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 72,90 ; 0,6137623 ; 267 ; 340,50 
337; KC Bandung Naripan (Konsolidasi-MB); 109,09 ; 0,9827669 ; 348 ; 458,02 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 89,63 ; 0,7785546 ; 415 ; 505,82 
355; KC Pamanukan (Konsolidasi-MB); 38,14 ; 1,0750028 ; 684 ; 722,82 
389; KC Bandung Martadinata (Konsolidasi-MB); 120,82 ; 0,0853181 ; 437 ; 557,75 
401; KC Bandung Kopo (Konsolidasi-MB); 94,41 ; 0,0565984 ; 440 ; 534,65 
405; KC Bandung Dago (Konsolidasi-MB); 103,86 ; 0,0047148 ; 369 ; 473,21 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 94,27 ; 0,6263722 ; 887 ; 982,14 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 137,33 ; 0,0511399 ; 452 ; 589,70 
408; KC Bandung Setiabudi (Konsolidasi-MB); 65,31 ; 0,8425306 ; 354 ; 420,60 
544; KC Soreang (Konsolidasi-MB); 115,38 ; 1,3166961 ; 810 ; 926,56 
Grand Total;Grand Total; 3.200 ; 143 ; 23.833 ; 27.176 
