Row L;uker; Deposito ; Giro ; Tabungan ; dpk 
25; KC Garut (Konsolidasi-MB); 114,50 ; 0,3391441 ; 1.314,52 ; 1.429,36 
28; KC Indramayu (Konsolidasi-MB); 123,01 ; 0,0336802 ; 946,85 ; 1.069,89 
46; KC Majalengka (Konsolidasi-MB); 111,79 ; 0,0160250 ; 1.198,39 ; 1.310,20 
75; KC Purwakarta (Konsolidasi-MB); 164,19 ; 0,0045043 ; 668,53 ; 832,73 
92; KC Sukabumi (Konsolidasi-MB); 107,21 ; 0,7940049 ; 828,14 ; 936,15 
94; KC Sumedang (Konsolidasi-MB); 284,57 ; 18,7878481 ; 910,00 ; 1.213,36 
100; KC Tasikmalaya (Konsolidasi-MB); 66,67 ; 0,1397134 ; 948,22 ; 1.015,04 
104; KC Ciamis (Konsolidasi-MB); 104,82 ; 0,0085335 ; 897,04 ; 1.001,87 
105; KC Cianjur (Konsolidasi-MB); 91,56 ; 0,1193346 ; 941,69 ; 1.033,37 
107; KC Cirebon Kartini (Konsolidasi-MB); 142,99 ; 0,6004632 ; 951,63 ; 1.095,23 
123; KC Subang (Konsolidasi-MB); 101,08 ; 0,0959794 ; 700,32 ; 801,50 
132; KC Majalaya (Konsolidasi-MB); 143,36 ; 1,9348078 ; 896,85 ; 1.042,14 
133; KC Kuningan (Konsolidasi-MB); 121,02 ; 0,0909076 ; 1.215,71 ; 1.336,82 
137; KC Cimahi (Konsolidasi-MB); 197,97 ; 0,0776211 ; 1.113,05 ; 1.311,10 
161; KC Singaparna (Konsolidasi-MB); 35,61 ; 0,0229721 ; 637,41 ; 673,04 
162; KC Banjar (Konsolidasi-MB); 105,36 ; 0,0621699 ; 934,32 ; 1.039,75 
165; KC Jatibarang (Konsolidasi-MB); 84,82 ; 0,0086913 ; 1.129,97 ; 1.214,80 
181; KC Cibadak (Konsolidasi-MB); 78,75 ; 0,0240928 ; 710,68 ; 789,46 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 69,94 ; 0,5335575 ; 263,86 ; 334,33 
337; KC Bandung Naripan (Konsolidasi-MB); 112,98 ; 0,3221254 ; 339,36 ; 452,66 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 91,29 ; 0,0027950 ; 394,96 ; 486,25 
355; KC Pamanukan (Konsolidasi-MB); 33,95 ; 0,0403682 ; 645,43 ; 679,42 
389; KC Bandung Martadinata (Konsolidasi-MB); 126,93 ; 0,0074711 ; 409,64 ; 536,58 
401; KC Bandung Kopo (Konsolidasi-MB); 102,05 ; 0,0080773 ; 419,33 ; 521,39 
405; KC Bandung Dago (Konsolidasi-MB); 99,85 ; 0,0047148 ; 360,26 ; 460,11 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 102,90 ; 0,5318042 ; 846,09 ; 949,52 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 132,14 ; 0,0011399 ; 430,94 ; 563,07 
408; KC Bandung Setiabudi (Konsolidasi-MB); 66,09 ; 0,2487153 ; 322,87 ; 389,21 
544; KC Soreang (Konsolidasi-MB); 111,54 ; 0,0188682 ; 744,20 ; 855,76 
;;;;;
