Row L;uker;Deposito;Giro;Tabungan;Grand Total
25; KC Garut (Konsolidasi MB);115,68;0,4613780;1315;1431,06
28; KC Indramayu (Konsolidasi MB);122,56;0,0423560;951;1073,71
46; KC Majalengka (Konsolidasi MB);111,52;0,0160250;1203;1314,23
75; KC Purwakarta (Konsolidasi MB);163,13;0,0045043;675;837,74
92; KC Sukabumi (Konsolidasi MB);107,79;1,7749942;837;947,00
94; KC Sumedang (Konsolidasi MB);288,20;30,2955365;909;1227,97
100; KC Tasikmalaya (Konsolidasi MB);68,26;0,1397173;949;1017,70
104; KC Ciamis (Konsolidasi MB);104,52;0,0512570;903;1007,08
105; KC Cianjur (Konsolidasi MB);91,76;0,0738988;945;1036,84
107; KC Cirebon Kartini (Konsolidasi MB);142,17;0,1418371;951;1093,81
123; KC Subang (Konsolidasi MB);102,39;0,1018203;705;807,97
132; KC Majalaya (Konsolidasi MB);142,15;0,1190916;896;1038,61
133; KC Kuningan (Konsolidasi MB);121,14;0,0909631;1223;1344,28
137; KC Cimahi (Konsolidasi MB);197,89;0,0674891;1113;1311,10
161; KC Singaparna (Konsolidasi MB);36,77;0,0229721;648;685,18
162; KC Banjar (Konsolidasi MB);101,11;0,0621771;940;1040,89
165; KC Jatibarang (Konsolidasi MB);85,24;0,0086913;1135;1220,66
181; KC Cibadak (Konsolidasi MB);79,10;0,0240956;711;790,17
286; KC Bandung Dewi Sartika (Konsolidasi MB);70,89;0,0310519;259;329,96
337; KC Bandung Naripan (Konsolidasi MB);111,75;1,8611192;336;450,09
354; KC Bandung A.H. Nasution (Konsolidasi MB);91,86;0,0027950;394;485,88
355; KC Pamanukan (Konsolidasi MB);34,01;0,0403385;647;680,85
389; KC Bandung Martadinata (Konsolidasi MB);126,28;0,0074361;403;529,58
401; KC Bandung Kopo (Konsolidasi MB);100,97;0,0131074;420;520,97
405; KC Bandung Dago (Konsolidasi MB);94,79;0,0047148;358;453,29
406; KC Cirebon Gunung Jati (Konsolidasi MB);103,64;0,2643202;845;948,69
407; KC Bandung Sukarno Hatta (Konsolidasi MB);130,60;0,0011399;432;562,85
408; KC Bandung Setiabudi (Konsolidasi MB);65,81;0,2487193;327;392,88
544; KC Soreang (Konsolidasi MB);109,70;0,0216312;745;854,23
