Row L;uker;Deposito;Giro;Tabungan;Grand Total
25; KC Garut (Konsolidasi;113,57;0,3761761;1.302;1.416,05
28; KC Indramayu (Konsolidasi;122,81;0,0346251;944;1.066,77
46; KC Majalengka (Konsolidasi;109,04;0,0160250;1.190;1.298,95
75; KC Purwakarta (Konsolidasi;160,95;0,0045043;673;834,07
92; KC Sukabumi (Konsolidasi;107,83;0,9608580;837;945,84
94; KC Sumedang (Konsolidasi;296,94;2,4823092;888;1.187,08
100; KC Tasikmalaya (Konsolidasi;66,95;0,1397173;967;1.033,66
104; KC Ciamis (Konsolidasi;104,60;0,0794004;900;1.004,69
105; KC Cianjur (Konsolidasi;92,24;0,1220485;956;1.048,11
107; KC Cirebon Kartini (Konsolidasi;136,07;0,8439548;953;1.090,21
123; KC Subang (Konsolidasi;98,77;0,0870413;690;788,69
132; KC Majalaya (Konsolidasi;142,12;0,0423351;881;1.023,25
133; KC Kuningan (Konsolidasi;122,77;0,0984631;1.219;1.342,08
137; KC Cimahi (Konsolidasi;194,42;0,0611884;1.118;1.312,36
161; KC Singaparna (Konsolidasi;34,96;0,0229721;660;694,80
162; KC Banjar (Konsolidasi;98,75;0,0621771;958;1.057,25
165; KC Jatibarang (Konsolidasi;84,12;0,0086913;1.155;1.239,11
181; KC Cibadak (Konsolidasi;73,94;0,0240956;701;774,78
286; KC Bandung Dewi Sartika (Konsolidasi;66,19;0,0309509;263;329,07
337; KC Bandung Naripan (Konsolidasi;109,06;0,1034113;335;443,70
354; KC Bandung A.H. Nasution (Konsolidasi;89,09;0,0027950;390;479,13
355; KC Pamanukan (Konsolidasi;35,00;0,0403385;641;675,62
389; KC Bandung Martadinata (Konsolidasi;123,72;0,0074361;398;521,22
401; KC Bandung Kopo (Konsolidasi;90,88;0,0108924;419;509,57
405; KC Bandung Dago (Konsolidasi;95,40;0,0047148;354;449,50
406; KC Cirebon Gunung Jati (Konsolidasi;100,96;0,5567018;836;937,28
407; KC Bandung Sukarno Hatta (Konsolidasi;129,39;0,0011399;425;554,62
408; KC Bandung Setiabudi (Konsolidasi;64,56;0,1488969;320;384,60
544; KC Soreang (Konsolidasi;105,83;0,0250580;745;851,29
