Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi; 112,52 ; 0,3224427 ; 1.302 ; 1.415,24 
28; KC Indramayu (Konsolidasi; 123,01 ; 0,0477211 ; 943 ; 1.066,38 
46; KC Majalengka (Konsolidasi; 108,86 ; 0,0160250 ; 1.186 ; 1.294,52 
75; KC Purwakarta (Konsolidasi; 160,88 ; 0,0045043 ; 672 ; 832,85 
92; KC Sukabumi (Konsolidasi; 107,80 ; 1,1470871 ; 836 ; 945,30 
94; KC Sumedang (Konsolidasi; 297,02 ; 2,4987081 ; 884 ; 1.184,00 
100; KC Tasikmalaya (Konsolidasi; 66,89 ; 0,1397173 ; 963 ; 1.030,31 
104; KC Ciamis (Konsolidasi; 104,79 ; 0,0819804 ; 895 ; 999,71 
105; KC Cianjur (Konsolidasi; 91,57 ; 0,1506970 ; 953 ; 1.044,23 
107; KC Cirebon Kartini (Konsolidasi; 135,82 ; 0,9143698 ; 952 ; 1.088,26 
123; KC Subang (Konsolidasi; 99,10 ; 0,0870413 ; 689 ; 788,06 
132; KC Majalaya (Konsolidasi; 142,22 ; 0,0423351 ; 881 ; 1.023,43 
133; KC Kuningan (Konsolidasi; 122,94 ; 0,0909631 ; 1.217 ; 1.340,25 
137; KC Cimahi (Konsolidasi; 193,80 ; 0,0611884 ; 1.117 ; 1.310,44 
161; KC Singaparna (Konsolidasi; 35,01 ; 0,0229721 ; 659 ; 693,69 
162; KC Banjar (Konsolidasi; 99,02 ; 0,0621771 ; 952 ; 1.051,27 
165; KC Jatibarang (Konsolidasi; 84,18 ; 0,0086913 ; 1.155 ; 1.239,33 
181; KC Cibadak (Konsolidasi; 73,48 ; 0,0240956 ; 699 ; 772,63 
286; KC Bandung Dewi Sartika (Konsolidasi; 66,23 ; 0,0309509 ; 263 ; 329,60 
337; KC Bandung Naripan (Konsolidasi; 108,97 ; 0,0661507 ; 334 ; 443,31 
354; KC Bandung A.H. Nasution (Konsolidasi; 89,21 ; 0,0027950 ; 389 ; 478,51 
355; KC Pamanukan (Konsolidasi; 34,98 ; 0,0403385 ; 637 ; 671,78 
389; KC Bandung Martadinata (Konsolidasi; 123,82 ; 0,0074361 ; 394 ; 518,05 
401; KC Bandung Kopo (Konsolidasi; 90,59 ; 0,0121724 ; 414 ; 504,78 
405; KC Bandung Dago (Konsolidasi; 95,55 ; 0,0047148 ; 352 ; 447,46 
406; KC Cirebon Gunung Jati (Konsolidasi; 100,80 ; 0,4985614 ; 835 ; 936,13 
407; KC Bandung Sukarno Hatta (Konsolidasi; 129,52 ; 0,0011399 ; 426 ; 555,47 
408; KC Bandung Setiabudi (Konsolidasi; 64,41 ; 0,1488969 ; 320 ; 384,83 
544; KC Soreang (Konsolidasi; 105,98 ; 0,0422580 ; 743 ; 848,70 
