Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi; 109,59 ; 0,4370887 ; 1.302 ; 1.411,95 
28; KC Indramayu (Konsolidasi; 123,57 ; 0,0305432 ; 945 ; 1.069,05 
46; KC Majalengka (Konsolidasi; 108,21 ; 0,0160250 ; 1.185 ; 1.293,04 
75; KC Purwakarta (Konsolidasi; 160,07 ; 0,0045043 ; 681 ; 841,26 
92; KC Sukabumi (Konsolidasi; 107,99 ; 0,6612171 ; 838 ; 946,27 
94; KC Sumedang (Konsolidasi; 287,69 ; 12,7496220 ; 894 ; 1.194,16 
100; KC Tasikmalaya (Konsolidasi; 66,38 ; 0,1397211 ; 970 ; 1.036,59 
104; KC Ciamis (Konsolidasi; 104,89 ; 0,0655134 ; 895 ; 1.000,45 
105; KC Cianjur (Konsolidasi; 90,56 ; 0,1303484 ; 960 ; 1.050,92 
107; KC Cirebon Kartini (Konsolidasi; 135,54 ; 1,1894166 ; 959 ; 1.095,95 
123; KC Subang (Konsolidasi; 98,84 ; 0,0993574 ; 688 ; 787,04 
132; KC Majalaya (Konsolidasi; 142,79 ; 0,0420551 ; 883 ; 1.025,55 
133; KC Kuningan (Konsolidasi; 124,06 ; 0,0909336 ; 1.217 ; 1.341,57 
137; KC Cimahi (Konsolidasi; 194,13 ; 0,0600173 ; 1.130 ; 1.324,55 
161; KC Singaparna (Konsolidasi; 34,53 ; 0,0229721 ; 666 ; 700,25 
162; KC Banjar (Konsolidasi; 100,00 ; 0,0621842 ; 954 ; 1.054,22 
165; KC Jatibarang (Konsolidasi; 83,61 ; 0,0086913 ; 1.166 ; 1.250,04 
181; KC Cibadak (Konsolidasi; 73,41 ; 0,0240983 ; 706 ; 779,51 
286; KC Bandung Dewi Sartika (Konsolidasi; 65,55 ; 0,0308918 ; 265 ; 330,76 
337; KC Bandung Naripan (Konsolidasi; 110,04 ; 0,1774390 ; 332 ; 442,36 
354; KC Bandung A.H. Nasution (Konsolidasi; 89,11 ; 0,0027950 ; 387 ; 476,02 
355; KC Pamanukan (Konsolidasi; 33,47 ; 0,0403088 ; 631 ; 664,68 
389; KC Bandung Martadinata (Konsolidasi; 121,96 ; 0,0074011 ; 396 ; 517,89 
401; KC Bandung Kopo (Konsolidasi; 90,98 ; 0,0154629 ; 413 ; 503,57 
405; KC Bandung Dago (Konsolidasi; 97,44 ; 0,0047148 ; 353 ; 450,41 
406; KC Cirebon Gunung Jati (Konsolidasi; 100,50 ; 0,3227690 ; 838 ; 938,98 
407; KC Bandung Sukarno Hatta (Konsolidasi; 130,12 ; 0,0011399 ; 428 ; 558,35 
408; KC Bandung Setiabudi (Konsolidasi; 64,41 ; 0,1518630 ; 323 ; 388,01 
544; KC Soreang (Konsolidasi; 106,04 ; 0,0225612 ; 754 ; 860,18 
