Row L;uker;Deposito;Giro;Tabungan;Grand Total
25; KC Garut (Konsolidasi MB);115,55;0,6047606;1327;1442,76
28; KC Indramayu (Konsolidasi MB);122,34;0,0759030;956;1078,73
46; KC Majalengka (Konsolidasi MB);111,74;0,0160250;1211;1322,48
75; KC Purwakarta (Konsolidasi MB);163,85;0,0045043;683;846,67
92; KC Sukabumi (Konsolidasi MB);107,75;1,4222395;847;956,24
94; KC Sumedang (Konsolidasi MB);300,93;20,3562352;919;1240,39
100; KC Tasikmalaya (Konsolidasi MB);68,00;0,1397173;959;1026,96
104; KC Ciamis (Konsolidasi MB);104,19;0,0569785;909;1013,46
105; KC Cianjur (Konsolidasi MB);91,51;0,0738988;957;1048,10
107; KC Cirebon Kartini (Konsolidasi MB);142,15;0,2283906;958;1100,17
123; KC Subang (Konsolidasi MB);102,42;0,1013203;711;813,29
132; KC Majalaya (Konsolidasi MB);142,27;0,1173351;907;1048,95
133; KC Kuningan (Konsolidasi MB);121,42;0,0909631;1233;1354,78
137; KC Cimahi (Konsolidasi MB);197,91;0,0674891;1129;1327,02
161; KC Singaparna (Konsolidasi MB);35,07;0,0229721;656;691,46
162; KC Banjar (Konsolidasi MB);98,60;0,0621771;950;1048,50
165; KC Jatibarang (Konsolidasi MB);85,11;0,0086913;1139;1224,03
181; KC Cibadak (Konsolidasi MB);78,98;0,0240956;717;796,26
286; KC Bandung Dewi Sartika (Konsolidasi MB);71,51;0,0310519;260;331,91
337; KC Bandung Naripan (Konsolidasi MB);111,78;0,1527507;340;451,81
354; KC Bandung A.H. Nasution (Konsolidasi MB);91,14;0,0027950;397;488,13
355; KC Pamanukan (Konsolidasi MB);33,88;0,0403385;650;684,24
389; KC Bandung Martadinata (Konsolidasi MB);126,11;0,0074361;406;531,75
401; KC Bandung Kopo (Konsolidasi MB);100,97;0,0131274;422;523,19
405; KC Bandung Dago (Konsolidasi MB);96,59;0,0047148;362;458,18
406; KC Cirebon Gunung Jati (Konsolidasi MB);103,78;0,3579742;846;950,40
407; KC Bandung Sukarno Hatta (Konsolidasi MB);130,63;0,0011399;434;564,19
408; KC Bandung Setiabudi (Konsolidasi MB);65,73;0,2487193;327;393,00
544; KC Soreang (Konsolidasi MB);109,57;0,0233912;754;863,32

