Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi-MB); 114,22 ; 1,2512277 ; 1.352 ; 1.467,84 
28; KC Indramayu (Konsolidasi-MB); 120,87 ; 0,0236176 ; 1.019 ; 1.140,39 
46; KC Majalengka (Konsolidasi-MB); 113,84 ; 0,0160250 ; 1.236 ; 1.349,71 
75; KC Purwakarta (Konsolidasi-MB); 159,13 ; 0,0045043 ; 691 ; 850,30 
92; KC Sukabumi (Konsolidasi-MB); 111,35 ; 1,0985263 ; 861 ; 973,20 
94; KC Sumedang (Konsolidasi-MB); 277,65 ; 6,5387385 ; 925 ; 1.209,49 
100; KC Tasikmalaya (Konsolidasi-MB); 67,72 ; 0,1397284 ; 992 ; 1.059,47 
104; KC Ciamis (Konsolidasi-MB); 106,23 ; 0,0678434 ; 905 ; 1.010,99 
105; KC Cianjur (Konsolidasi-MB); 93,06 ; 1,4629653 ; 1.009 ; 1.103,89 
107; KC Cirebon Kartini (Konsolidasi-MB); 135,43 ; 1,5869682 ; 980 ; 1.116,94 
123; KC Subang (Konsolidasi-MB); 94,62 ; 0,2619905 ; 742 ; 836,98 
132; KC Majalaya (Konsolidasi-MB); 149,21 ; 0,0154106 ; 936 ; 1.085,25 
133; KC Kuningan (Konsolidasi-MB); 123,94 ; 1,5222475 ; 1.217 ; 1.342,51 
137; KC Cimahi (Konsolidasi-MB); 199,36 ; 2,1377648 ; 1.144 ; 1.345,28 
161; KC Singaparna (Konsolidasi-MB); 36,83 ; 0,0729721 ; 691 ; 727,75 
162; KC Banjar (Konsolidasi-MB); 98,11 ; 0,1681959 ; 994 ; 1.092,76 
165; KC Jatibarang (Konsolidasi-MB); 84,52 ; 0,0586913 ; 1.270 ; 1.354,30 
181; KC Cibadak (Konsolidasi-MB); 78,93 ; 0,6741036 ; 720 ; 799,27 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 64,91 ; 0,3268922 ; 263 ; 327,92 
337; KC Bandung Naripan (Konsolidasi-MB); 108,47 ; 0,0760669 ; 340 ; 448,91 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 88,98 ; 0,0027950 ; 398 ; 487,07 
355; KC Pamanukan (Konsolidasi-MB); 38,20 ; 1,1367118 ; 736 ; 775,40 
389; KC Bandung Martadinata (Konsolidasi-MB); 119,67 ; 0,0073311 ; 401 ; 520,28 
401; KC Bandung Kopo (Konsolidasi-MB); 94,69 ; 0,0313607 ; 431 ; 525,24 
405; KC Bandung Dago (Konsolidasi-MB); 96,55 ; 0,0047148 ; 353 ; 449,59 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 99,38 ; 0,4452063 ; 845 ; 945,03 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 127,34 ; 0,0011399 ; 439 ; 565,89 
408; KC Bandung Setiabudi (Konsolidasi-MB); 63,68 ; 0,0725314 ; 325 ; 388,75 
544; KC Soreang (Konsolidasi-MB); 107,18 ; 0,0297702 ; 787 ; 894,45 
Grand Total;Grand Total; 3.174 ; 19 ; 23.002 ; 26.195 
