Row Labels;Row Labels; Deposito ; Giro ; Tabungan ; Grand Total ;;;
25; KC Garut (Konsolidasi-MB); 114,22 ; 1,2242290 ; 1.352 ; 1.467,59 ;;;
28; KC Indramayu (Konsolidasi-MB); 120,88 ; 0,0267276 ; 1.016 ; 1.136,76 ;;;
46; KC Majalengka (Konsolidasi-MB); 113,83 ; 0,0160250 ; 1.226 ; 1.339,68 ;;;
75; KC Purwakarta (Konsolidasi-MB); 159,13 ; 0,0045043 ; 690 ; 849,04 ;;;
92; KC Sukabumi (Konsolidasi-MB); 111,36 ; 1,1052793 ; 857 ; 969,90 ;;;
94; KC Sumedang (Konsolidasi-MB); 276,12 ; 6,5525249 ; 921 ; 1.203,91 ;;;
100; KC Tasikmalaya (Konsolidasi-MB); 67,77 ; 0,1397284 ; 988 ; 1.056,01 ;;;
104; KC Ciamis (Konsolidasi-MB); 106,23 ; 0,0646954 ; 902 ; 1.008,02 ;;;
105; KC Cianjur (Konsolidasi-MB); 93,05 ; 1,4629653 ; 1.000 ; 1.094,07 ;;;
107; KC Cirebon Kartini (Konsolidasi-MB); 135,43 ; 1,5878682 ; 978 ; 1.114,99 ;;;
123; KC Subang (Konsolidasi-MB); 94,65 ; 0,2698555 ; 736 ; 830,52 ;;;
132; KC Majalaya (Konsolidasi-MB); 149,39 ; 0,0154106 ; 932 ; 1.081,19 ;;;
133; KC Kuningan (Konsolidasi-MB); 123,95 ; 1,5222475 ; 1.215 ; 1.340,94 ;;;
137; KC Cimahi (Konsolidasi-MB); 199,21 ; 2,1377648 ; 1.140 ; 1.340,97 ;;;
161; KC Singaparna (Konsolidasi-MB); 36,89 ; 0,0729721 ; 689 ; 726,38 ;;;
162; KC Banjar (Konsolidasi-MB); 97,89 ; 0,1681959 ; 994 ; 1.091,56 ;;;
165; KC Jatibarang (Konsolidasi-MB); 84,48 ; 0,0586913 ; 1.266 ; 1.351,03 ;;;
181; KC Cibadak (Konsolidasi-MB); 78,63 ; 0,6741036 ; 718 ; 797,07 ;;;
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 64,91 ; 0,1669617 ; 262 ; 326,84 ;;;
337; KC Bandung Naripan (Konsolidasi-MB); 108,47 ; 0,0760669 ; 339 ; 447,58 ;;;
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 88,98 ; 0,0027950 ; 396 ; 485,18 ;;;
355; KC Pamanukan (Konsolidasi-MB); 38,20 ; 1,1367118 ; 735 ; 774,37 ;;;
389; KC Bandung Martadinata (Konsolidasi-MB); 119,67 ; 0,0073311 ; 399 ; 518,95 ;;;
401; KC Bandung Kopo (Konsolidasi-MB); 94,69 ; 0,0319007 ; 429 ; 523,58 ;;;
405; KC Bandung Dago (Konsolidasi-MB); 96,55 ; 0,0047148 ; 352 ; 448,60 ;;;
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 99,38 ; 0,4602695 ; 842 ; 941,43 ;;;
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 127,45 ; 0,0011399 ; 437 ; 564,93 ;;;
408; KC Bandung Setiabudi (Konsolidasi-MB); 63,68 ; 0,0725314 ; 323 ; 387,15 ;;;
544; KC Soreang (Konsolidasi-MB); 107,20 ; 0,0297702 ; 786 ; 893,22 ;;;
Grand Total;Grand Total; 3.172 ; 19 ; 22.920 ; 26.111 ;;;
