Row Labels;Row Labels; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi-MB); 114,63 ; 1,3411103 ; 1.345 ; 1.461,12 
28; KC Indramayu (Konsolidasi-MB); 120,52 ; 0,0542824 ; 1.015 ; 1.135,74 
46; KC Majalengka (Konsolidasi-MB); 112,87 ; 0,0160250 ; 1.223 ; 1.335,69 
75; KC Purwakarta (Konsolidasi-MB); 158,79 ; 0,0045043 ; 690 ; 848,88 
92; KC Sukabumi (Konsolidasi-MB); 111,82 ; 1,1203543 ; 853 ; 965,92 
94; KC Sumedang (Konsolidasi-MB); 276,39 ; 7,3788377 ; 921 ; 1.205,02 
100; KC Tasikmalaya (Konsolidasi-MB); 68,29 ; 0,1397284 ; 983 ; 1.051,11 
104; KC Ciamis (Konsolidasi-MB); 106,39 ; 0,0650404 ; 899 ; 1.005,07 
105; KC Cianjur (Konsolidasi-MB); 93,25 ; 1,4629653 ; 987 ; 1.082,09 
107; KC Cirebon Kartini (Konsolidasi-MB); 136,43 ; 1,6869922 ; 976 ; 1.114,12 
123; KC Subang (Konsolidasi-MB); 94,92 ; 0,2615800 ; 736 ; 831,16 
132; KC Majalaya (Konsolidasi-MB); 146,57 ; 0,0154106 ; 940 ; 1.086,32 
133; KC Kuningan (Konsolidasi-MB); 123,76 ; 1,5222475 ; 1.214 ; 1.339,32 
137; KC Cimahi (Konsolidasi-MB); 199,15 ; 2,0612648 ; 1.140 ; 1.340,80 
161; KC Singaparna (Konsolidasi-MB); 36,89 ; 0,0729721 ; 681 ; 718,25 
162; KC Banjar (Konsolidasi-MB); 97,79 ; 0,1681959 ; 993 ; 1.090,68 
165; KC Jatibarang (Konsolidasi-MB); 83,91 ; 0,0586913 ; 1.254 ; 1.338,47 
181; KC Cibadak (Konsolidasi-MB); 78,95 ; 0,6741036 ; 717 ; 797,05 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 65,43 ; 0,1669617 ; 262 ; 327,41 
337; KC Bandung Naripan (Konsolidasi-MB); 108,71 ; 0,0838669 ; 339 ; 447,52 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 87,04 ; 0,0027950 ; 399 ; 485,75 
355; KC Pamanukan (Konsolidasi-MB); 37,75 ; 1,1367118 ; 731 ; 769,94 
389; KC Bandung Martadinata (Konsolidasi-MB); 119,63 ; 0,0073311 ; 399 ; 518,30 
401; KC Bandung Kopo (Konsolidasi-MB); 93,66 ; 0,0324715 ; 430 ; 523,38 
405; KC Bandung Dago (Konsolidasi-MB); 96,74 ; 0,0047148 ; 352 ; 448,72 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 98,15 ; 0,4115252 ; 844 ; 942,12 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 127,74 ; 0,0011399 ; 437 ; 564,26 
408; KC Bandung Setiabudi (Konsolidasi-MB); 63,61 ; 0,0725314 ; 324 ; 387,87 
544; KC Soreang (Konsolidasi-MB); 106,80 ; 0,0444302 ; 785 ; 892,00 
Grand Total;Grand Total; 3.167 ; 20 ; 22.867 ; 26.054 
