Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi-MB); 118,74 ; 5,5230972 ; 1.410 ; 1.533,84 
28; KC Indramayu (Konsolidasi-MB); 121,50 ; 0,9716021 ; 1.028 ; 1.150,12 
46; KC Majalengka (Konsolidasi-MB); 112,01 ; 0,0160250 ; 1.256 ; 1.367,91 
75; KC Purwakarta (Konsolidasi-MB); 155,68 ; 1,3287511 ; 709 ; 865,65 
92; KC Sukabumi (Konsolidasi-MB); 108,99 ; 1,6044346 ; 868 ; 978,50 
94; KC Sumedang (Konsolidasi-MB); 274,94 ; 102,2775892 ; 918 ; 1.295,43 
100; KC Tasikmalaya (Konsolidasi-MB); 69,66 ; 1,5404174 ; 1.010 ; 1.081,54 
104; KC Ciamis (Konsolidasi-MB); 95,78 ; 2,7215178 ; 958 ; 1.056,78 
105; KC Cianjur (Konsolidasi-MB); 91,75 ; 3,6698003 ; 1.012 ; 1.107,90 
107; KC Cirebon Kartini (Konsolidasi-MB); 136,76 ; 0,5887257 ; 1.006 ; 1.143,32 
123; KC Subang (Konsolidasi-MB); 99,63 ; 1,8966659 ; 750 ; 851,66 
132; KC Majalaya (Konsolidasi-MB); 148,96 ; 0,9839159 ; 954 ; 1.104,24 
133; KC Kuningan (Konsolidasi-MB); 129,37 ; 0,5565225 ; 1.242 ; 1.371,50 
137; KC Cimahi (Konsolidasi-MB); 211,48 ; 2,7630400 ; 1.171 ; 1.384,99 
161; KC Singaparna (Konsolidasi-MB); 35,21 ; 2,2540672 ; 693 ; 730,54 
162; KC Banjar (Konsolidasi-MB); 101,47 ; 3,0125775 ; 1.013 ; 1.117,37 
165; KC Jatibarang (Konsolidasi-MB); 82,28 ; 0,2509190 ; 1.225 ; 1.307,83 
181; KC Cibadak (Konsolidasi-MB); 79,16 ; 1,0661592 ; 744 ; 824,46 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 71,62 ; 0,6447325 ; 264 ; 336,22 
337; KC Bandung Naripan (Konsolidasi-MB); 110,38 ; 1,2339328 ; 336 ; 447,89 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 89,52 ; 0,8285546 ; 400 ; 490,71 
355; KC Pamanukan (Konsolidasi-MB); 37,71 ; 1,7467665 ; 667 ; 706,28 
389; KC Bandung Martadinata (Konsolidasi-MB); 121,70 ; 0,0853481 ; 417 ; 539,27 
401; KC Bandung Kopo (Konsolidasi-MB); 97,01 ; 0,1223208 ; 431 ; 528,07 
405; KC Bandung Dago (Konsolidasi-MB); 103,57 ; 0,0047148 ; 357 ; 460,66 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 94,68 ; 0,3691404 ; 873 ; 967,60 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 136,45 ; 0,0511399 ; 437 ; 573,89 
408; KC Bandung Setiabudi (Konsolidasi-MB); 65,12 ; 1,2976079 ; 341 ; 407,60 
544; KC Soreang (Konsolidasi-MB); 113,32 ; 1,5807302 ; 794 ; 908,50 
Grand Total;Grand Total; 3.214 ; 141 ; 23.285 ; 26.640 
