Row Labels;Row Labels; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi-MB); 114,50 ; 1,1061077 ; 1.344 ; 1.460,06 
28; KC Indramayu (Konsolidasi-MB); 119,96 ; 0,0235299 ; 1.019 ; 1.139,29 
46; KC Majalengka (Konsolidasi-MB); 113,44 ; 0,0160250 ; 1.215 ; 1.328,26 
75; KC Purwakarta (Konsolidasi-MB); 158,31 ; 0,0045043 ; 688 ; 846,50 
92; KC Sukabumi (Konsolidasi-MB); 111,34 ; 1,4304707 ; 858 ; 971,18 
94; KC Sumedang (Konsolidasi-MB); 275,54 ; 4,4579750 ; 923 ; 1.203,23 
100; KC Tasikmalaya (Konsolidasi-MB); 68,48 ; 0,1397284 ; 983 ; 1.051,94 
104; KC Ciamis (Konsolidasi-MB); 106,28 ; 0,0622509 ; 903 ; 1.009,63 
105; KC Cianjur (Konsolidasi-MB); 93,21 ; 1,4629653 ; 984 ; 1.078,23 
107; KC Cirebon Kartini (Konsolidasi-MB); 136,47 ; 1,7466147 ; 980 ; 1.117,81 
123; KC Subang (Konsolidasi-MB); 94,97 ; 0,2615800 ; 735 ; 829,75 
132; KC Majalaya (Konsolidasi-MB); 146,85 ; 0,0154106 ; 940 ; 1.086,90 
133; KC Kuningan (Konsolidasi-MB); 124,02 ; 1,5222475 ; 1.216 ; 1.341,38 
137; KC Cimahi (Konsolidasi-MB); 199,65 ; 1,8612648 ; 1.139 ; 1.340,64 
161; KC Singaparna (Konsolidasi-MB); 36,89 ; 0,0729721 ; 679 ; 716,33 
162; KC Banjar (Konsolidasi-MB); 97,46 ; 0,1129712 ; 991 ; 1.088,60 
165; KC Jatibarang (Konsolidasi-MB); 84,00 ; 0,0586913 ; 1.249 ; 1.332,96 
181; KC Cibadak (Konsolidasi-MB); 79,11 ; 0,5741036 ; 717 ; 796,39 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 65,56 ; 0,3826867 ; 263 ; 329,35 
337; KC Bandung Naripan (Konsolidasi-MB); 108,76 ; 0,0984669 ; 338 ; 446,83 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 86,98 ; 0,0027950 ; 400 ; 486,99 
355; KC Pamanukan (Konsolidasi-MB); 37,34 ; 1,1367118 ; 725 ; 763,82 
389; KC Bandung Martadinata (Konsolidasi-MB); 118,89 ; 0,0073311 ; 397 ; 515,77 
401; KC Bandung Kopo (Konsolidasi-MB); 93,74 ; 0,0335515 ; 429 ; 523,00 
405; KC Bandung Dago (Konsolidasi-MB); 96,97 ; 0,0047148 ; 352 ; 449,41 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 97,88 ; 0,3392513 ; 844 ; 942,12 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 128,20 ; 0,0011399 ; 436 ; 564,60 
408; KC Bandung Setiabudi (Konsolidasi-MB); 63,91 ; 0,0725314 ; 324 ; 387,56 
544; KC Soreang (Konsolidasi-MB); 106,92 ; 0,0444302 ; 785 ; 891,82 
Grand Total;Grand Total; 3.166 ; 17 ; 22.858 ; 26.040 
