Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi; 112,52 ; 0,3629831 ; 1.300 ; 1.412,45 
28; KC Indramayu (Konsolidasi; 123,00 ; 0,0313806 ; 938 ; 1.061,28 
46; KC Majalengka (Konsolidasi; 108,83 ; 0,0160250 ; 1.180 ; 1.288,68 
75; KC Purwakarta (Konsolidasi; 160,88 ; 0,0045043 ; 669 ; 830,37 
92; KC Sukabumi (Konsolidasi; 107,85 ; 1,1318851 ; 835 ; 944,00 
94; KC Sumedang (Konsolidasi; 296,90 ; 2,4995872 ; 886 ; 1.185,16 
100; KC Tasikmalaya (Konsolidasi; 66,89 ; 0,1397173 ; 965 ; 1.032,01 
104; KC Ciamis (Konsolidasi; 104,79 ; 0,0807994 ; 893 ; 998,20 
105; KC Cianjur (Konsolidasi; 91,57 ; 0,1506970 ; 950 ; 1.041,53 
107; KC Cirebon Kartini (Konsolidasi; 135,82 ; 0,9261623 ; 948 ; 1.084,73 
123; KC Subang (Konsolidasi; 99,07 ; 0,0910213 ; 686 ; 784,89 
132; KC Majalaya (Konsolidasi; 142,22 ; 0,0423351 ; 882 ; 1.023,93 
133; KC Kuningan (Konsolidasi; 123,69 ; 0,0909631 ; 1.213 ; 1.336,92 
137; KC Cimahi (Konsolidasi; 193,70 ; 0,0611884 ; 1.115 ; 1.308,34 
161; KC Singaparna (Konsolidasi; 34,48 ; 0,0229721 ; 661 ; 695,26 
162; KC Banjar (Konsolidasi; 99,01 ; 0,0621771 ; 957 ; 1.055,73 
165; KC Jatibarang (Konsolidasi; 84,18 ; 0,0086913 ; 1.154 ; 1.237,73 
181; KC Cibadak (Konsolidasi; 73,48 ; 0,0240956 ; 698 ; 771,89 
286; KC Bandung Dewi Sartika (Konsolidasi; 66,21 ; 0,0309509 ; 261 ; 327,54 
337; KC Bandung Naripan (Konsolidasi; 108,97 ; 0,0661507 ; 333 ; 442,14 
354; KC Bandung A.H. Nasution (Konsolidasi; 89,21 ; 0,0027950 ; 389 ; 478,35 
355; KC Pamanukan (Konsolidasi; 34,94 ; 0,0403385 ; 635 ; 670,07 
389; KC Bandung Martadinata (Konsolidasi; 123,82 ; 0,0074361 ; 393 ; 517,17 
401; KC Bandung Kopo (Konsolidasi; 90,57 ; 0,0123674 ; 412 ; 502,36 
405; KC Bandung Dago (Konsolidasi; 95,60 ; 0,0047148 ; 350 ; 445,78 
406; KC Cirebon Gunung Jati (Konsolidasi; 100,30 ; 0,3152291 ; 834 ; 934,90 
407; KC Bandung Sukarno Hatta (Konsolidasi; 129,52 ; 0,0011399 ; 425 ; 554,28 
408; KC Bandung Setiabudi (Konsolidasi; 64,41 ; 0,1488969 ; 319 ; 383,99 
544; KC Soreang (Konsolidasi; 105,36 ; 0,0299455 ; 741 ; 846,16 
