Row L;uker;Deposito;Giro;Tabungan;Grand Total
25; KC Garut (Konsolidasi;115,56;0,4511332;1.308;1.424,46
28; KC Indramayu (Konsolidasi;122,63;0,0284840;943;1.065,46
46; KC Majalengka (Konsolidasi;110,91;0,0160250;1.197;1.307,45
75; KC Purwakarta (Konsolidasi;163,14;0,0045043;667;830,13
92; KC Sukabumi (Konsolidasi;107,75;0,7163638;832;940,34
94; KC Sumedang (Konsolidasi;289,08;20,2992075;903;1.212,08
100; KC Tasikmalaya (Konsolidasi;67,89;0,1397173;945;1.012,54
104; KC Ciamis (Konsolidasi;104,62;0,0084985;898;1.002,29
105; KC Cianjur (Konsolidasi;91,80;0,1325826;934;1.026,00
107; KC Cirebon Kartini (Konsolidasi;142,33;0,2116448;944;1.086,51
123; KC Subang (Konsolidasi;102,32;0,0768268;704;806,16
132; KC Majalaya (Konsolidasi;142,21;0,1198931;893;1.035,30
133; KC Kuningan (Konsolidasi;121,26;0,0909131;1.217;1.338,75
137; KC Cimahi (Konsolidasi;197,90;0,0674891;1.103;1.300,53
161; KC Singaparna (Konsolidasi;36,57;0,0229721;641;677,32
162; KC Banjar (Konsolidasi;100,60;0,0621771;936;1.036,48
165; KC Jatibarang (Konsolidasi;85,48;0,0086913;1.125;1.210,83
181; KC Cibadak (Konsolidasi;78,95;0,0240956;705;783,53
286; KC Bandung Dewi Sartika (Konsolidasi;71,68;0,0310519;260;331,40
337; KC Bandung Naripan (Konsolidasi;112,21;0,1198007;337;449,59
354; KC Bandung A.H. Nasution (Konsolidasi;91,69;0,0027950;393;484,96
355; KC Pamanukan (Konsolidasi;33,84;0,0403385;641;674,61
389; KC Bandung Martadinata (Konsolidasi;125,68;0,0074361;403;529,15
401; KC Bandung Kopo (Konsolidasi;101,05;0,0178074;418;518,94
405; KC Bandung Dago (Konsolidasi;97,94;0,0047148;354;452,38
406; KC Cirebon Gunung Jati (Konsolidasi;103,71;0,2648578;841;944,99
407; KC Bandung Sukarno Hatta (Konsolidasi;131,03;0,0011399;433;563,66
408; KC Bandung Setiabudi (Konsolidasi;65,81;0,2487193;322;387,66
544; KC Soreang (Konsolidasi;109,21;0,0230337;741;849,94
