Rows L;uker;Deposito;Giro;Tabungan;Grand Total
25; KC Garut (Konsolidasi;115,41;0,3582030;1.310;1.425,31
28; KC Indramayu (Konsolidasi;122,45;0,0269815;948;1.070,28
46; KC Majalengka (Konsolidasi;110,99;0,0160250;1.197;1.307,75
75; KC Purwakarta (Konsolidasi;163,29;0,0045043;671;834,60
92; KC Sukabumi (Konsolidasi;107,67;0,7161435;833;941,72
94; KC Sumedang (Konsolidasi;288,94;20,1942234;903;1.211,79
100; KC Tasikmalaya (Konsolidasi;68,29;0,1397173;947;1.015,29
104; KC Ciamis (Konsolidasi;104,62;0,0084985;899;1.003,95
105; KC Cianjur (Konsolidasi;91,87;0,0839052;940;1.031,93
107; KC Cirebon Kartini (Konsolidasi;142,51;0,2703198;946;1.088,94
123; KC Subang (Konsolidasi;102,37;0,0768268;704;806,19
132; KC Majalaya (Konsolidasi;142,32;0,1190916;894;1.036,32
133; KC Kuningan (Konsolidasi;121,70;0,0909631;1.216;1.338,10
137; KC Cimahi (Konsolidasi;197,47;0,0674891;1.106;1.303,22
161; KC Singaparna (Konsolidasi;36,77;0,0229721;643;679,74
162; KC Banjar (Konsolidasi;100,56;0,0621771;937;1.037,37
165; KC Jatibarang (Konsolidasi;84,68;0,0086913;1.129;1.213,20
181; KC Cibadak (Konsolidasi;79,35;0,0240956;705;784,48
286; KC Bandung Dewi Sartika (Konsolidasi;71,75;0,0310519;259;331,25
337; KC Bandung Naripan (Konsolidasi;111,71;0,1417507;337;449,31
354; KC Bandung A.H. Nasution (Konsolidasi;91,81;0,0027950;393;485,01
355; KC Pamanukan (Konsolidasi;34,09;0,0403385;641;675,40
389; KC Bandung Martadinata (Konsolidasi;125,74;0,0074361;404;529,75
401; KC Bandung Kopo (Konsolidasi;101,04;0,0178074;418;518,98
405; KC Bandung Dago (Konsolidasi;97,55;0,0047148;355;452,13
406; KC Cirebon Gunung Jati (Konsolidasi;103,42;0,2456791;843;946,69
407; KC Bandung Sukarno Hatta (Konsolidasi;130,70;0,0011399;434;564,24
408; KC Bandung Setiabudi (Konsolidasi;65,82;0,2487193;324;390,41
544; KC Soreang (Konsolidasi;109,21;0,0230337;743;852,14
