kode bo;nama bo;Deposito;Giro;Tabungan;Grand Total
25; KC Garut (Konsolidasi;107,75;0,2661599;1332;1440,39
28; KC Indramayu (Konsolidasi;122,47;0,0352170;967;1089,90
46; KC Majalengka (Konsolidasi;108,69;0,0160250;1214;1322,41
75; KC Purwakarta (Konsolidasi;159,68;0,0045043;711;870,43
92; KC Sukabumi (Konsolidasi;109,44;1,2944396;869;979,73
94; KC Sumedang (Konsolidasi;275,22;5,8087925;929;1209,57
100; KC Tasikmalaya (Konsolidasi;66,15;0,1397211;1015;1081,66
104; KC Ciamis (Konsolidasi;103,93;0,0543686;907;1011,23
105; KC Cianjur (Konsolidasi;88,77;0,1129174;995;1083,90
107; KC Cirebon Kartini (Konsolidasi;134,13;1,2329736;998;1133,65
123; KC Subang (Konsolidasi;95,50;0,3038589;751;846,68
132; KC Majalaya (Konsolidasi;141,83;0,0157051;944;1085,78
133; KC Kuningan (Konsolidasi;122,39;0,0909336;1242;1364,43
137; KC Cimahi (Konsolidasi;195,25;0,0550173;1177;1372,64
161; KC Singaparna (Konsolidasi;34,38;0,0229721;702;736,83
162; KC Banjar (Konsolidasi;98,24;0,0621842;985;1082,88
165; KC Jatibarang (Konsolidasi;83,18;0,0086913;1211;1293,80
181; KC Cibadak (Konsolidasi;73,38;0,0240983;741;814,30
286; KC Bandung Dewi Sartika (Konsolidasi;64,89;0,0308918;273;338,06
337; KC Bandung Naripan (Konsolidasi;108,57;0,3591890;345;454,30
354; KC Bandung A.H. Nasution (Konsolidasi;88,29;0,0027950;404;491,94
355; KC Pamanukan (Konsolidasi;34,01;0,0403088;654;687,77
389; KC Bandung Martadinata (Konsolidasi;121,62;0,0074011;407;528,33
401; KC Bandung Kopo (Konsolidasi;88,75;0,0250779;430;518,86
405; KC Bandung Dago (Konsolidasi;93,61;0,0047148;372;465,55
406; KC Cirebon Gunung Jati (Konsolidasi;99,75;0,5907505;868;968,77
407; KC Bandung Sukarno Hatta (Konsolidasi;129,02;0,0011399;444;572,98
408; KC Bandung Setiabudi (Konsolidasi;61,37;0,1016659;336;397,46
544; KC Soreang (Konsolidasi;105,33;0,0220567;780;885,03
