Row L;uker;Deposito;Giro;Tabungan;Grand Total
25; KC Garut (Konsolidasi;109,41;0,2615254;1.282;1.391,40
28; KC Indramayu (Konsolidasi;122,25;0,0461332;936;1.058,24
46; KC Majalengka (Konsolidasi;108,91;0,0160250;1.176;1.284,81
75; KC Purwakarta (Konsolidasi;160,48;0,0045043;669;829,32
92; KC Sukabumi (Konsolidasi;107,75;0,3542292;827;934,94
94; KC Sumedang (Konsolidasi;298,10;2,6258081;881;1.181,50
100; KC Tasikmalaya (Konsolidasi;66,56;0,1397211;962;1.028,97
104; KC Ciamis (Konsolidasi;104,80;0,0668194;889;993,86
105; KC Cianjur (Konsolidasi;91,74;0,1355549;944;1.036,04
107; KC Cirebon Kartini (Konsolidasi;135,21;1,0700131;950;1.086,16
123; KC Subang (Konsolidasi;98,85;0,0919326;681;779,94
132; KC Majalaya (Konsolidasi;142,56;0,0420551;875;1.017,43
133; KC Kuningan (Konsolidasi;123,78;0,0909336;1.211;1.335,15
137; KC Cimahi (Konsolidasi;194,02;0,0600173;1.105;1.299,04
161; KC Singaparna (Konsolidasi;34,56;0,0229721;654;688,13
162; KC Banjar (Konsolidasi;100,17;0,0621842;948;1.048,01
165; KC Jatibarang (Konsolidasi;84,25;0,0086913;1.159;1.243,57
181; KC Cibadak (Konsolidasi;73,43;0,0240983;698;771,87
286; KC Bandung Dewi Sartika (Konsolidasi;65,81;0,0308918;263;328,46
337; KC Bandung Naripan (Konsolidasi;108,96;0,1090890;328;437,28
354; KC Bandung A.H. Nasution (Konsolidasi;89,13;0,0027950;387;476,23
355; KC Pamanukan (Konsolidasi;33,58;0,0403088;628;661,75
389; KC Bandung Martadinata (Konsolidasi;122,99;0,0074011;394;517,25
401; KC Bandung Kopo (Konsolidasi;90,96;0,0136629;413;504,24
405; KC Bandung Dago (Konsolidasi;97,70;0,0047148;348;445,62
406; KC Cirebon Gunung Jati (Konsolidasi;100,45;0,1887596;834;934,29
407; KC Bandung Sukarno Hatta (Konsolidasi;130,03;0,0011399;422;552,48
408; KC Bandung Setiabudi (Konsolidasi;64,35;0,1518633;321;385,41
544; KC Soreang (Konsolidasi;106,25;0,0200613;743;849,41
